#SNOWEX IOP GRAND MESA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
#SMP MEASUREMENTS,,,,,,,,
#Level_1=omitted files removed from level_0,,,,,,,,
#OBSERVER:,"Megan Mason (MM), HP Marshall (HP), Ioanna Merkouriadi (IM)",,,,,,,
"#P=pitwall measurement, P_top=top portion of pit, P_mid=mid portion, P_bot=bottom portion",,,,,,,,
#SMP instrument number: ,,"06=SMP06 (short), 19=SMP19 (1.75m, longest), 19b=SMP19re-born (parts harvested from SMP06)",,,,,,
#Orientation:,"ex, N5,N4,N3,N2,N1=10,20,30,40,50m, C=Center (transect crossing point)",,,,,,,
"#CK=check when plotting, something doesn't align with notes",,,,,,,,
#NA=measurement not taken or not applicable,,,,,,,,
Date,Pit ID,SMP instrument # ,Fname sufix,Orientation,Snow depth,Flag,Observer,Comments
2020-01-28 00:00:00,6N18,19,689,N1,,,MM,
2020-01-28 00:00:00,6N18,19,690,N2,,,MM,
2020-01-28 00:00:00,6N18,19,691,N3,,,MM,
2020-01-28 00:00:00,6N18,19,692,N4,,,MM,
2020-01-28 00:00:00,6N18,19,693,N5,,,MM,
2020-01-28 00:00:00,6N18,19,694,N6,,,MM,
2020-01-28 00:00:00,6N18,19,695,C,,,MM,transect cross (tx)
2020-01-28 00:00:00,6N18,19,696,S6,,,MM,
2020-01-28 00:00:00,6N18,19,697,S5,,,MM,
2020-01-28 00:00:00,6N18,19,698,S4,,,MM,
2020-01-28 00:00:00,6N18,19,699,S3,,,MM,
2020-01-28 00:00:00,6N18,19,700,S2,,,MM,
2020-01-28 00:00:00,6N18,19,701,S1,,,MM,
2020-01-28 00:00:00,6N18,19,702,E1,,,MM,
2020-01-28 00:00:00,6N18,19,704,E3,,,MM,
2020-01-28 00:00:00,6N18,19,705,E4,,,MM,
2020-01-28 00:00:00,6N18,19,706,E5,,,MM,
2020-01-28 00:00:00,6N18,19,707,E6,,,MM,
2020-01-28 00:00:00,6N18,19,708,C,,,MM,tx
2020-01-28 00:00:00,6N18,19,709,W6,,,MM,
2020-01-28 00:00:00,6N18,19,710,W5,,,MM,
2020-01-28 00:00:00,6N18,19,711,W4,,,MM,
2020-01-28 00:00:00,6N18,19,712,W3,,,MM,
2020-01-28 00:00:00,6N18,19,713,W2,,,MM,
2020-01-28 00:00:00,6N18,19,714,W1,,,MM,
2020-01-28 00:00:00,6N18,19,715,P,,,MM,
2020-01-28 00:00:00,6N18,19,716,P,,,MM,
2020-01-28 00:00:00,6N18,19,717,P,,,MM,
2020-01-28 00:00:00,5N19,19,718,N1,,,MM,
2020-01-28 00:00:00,5N19,19,719,N2,,,MM,
2020-01-28 00:00:00,5N19,19,720,N3,,,MM,
2020-01-28 00:00:00,5N19,19,721,N4,,,MM,
2020-01-28 00:00:00,5N19,19,722,N5,,,MM,
2020-01-28 00:00:00,5N19,19,723,C,,,MM,
2020-01-28 00:00:00,5N19,19,724,S5,,,MM,
2020-01-28 00:00:00,5N19,19,725,S4,,,MM,
2020-01-28 00:00:00,5N19,19,726,S3,,,MM,
2020-01-28 00:00:00,5N19,19,727,S2,,,MM,
2020-01-28 00:00:00,5N19,19,728,S1,,,MM,
2020-01-28 00:00:00,5N19,19,729,E1,,,MM,canopy edge
2020-01-28 00:00:00,5N19,19,730,E2,,,MM,canopy edge
2020-01-28 00:00:00,5N19,19,731,E3,,,MM,
2020-01-28 00:00:00,5N19,19,732,E4,,,MM,"on snowmobile track, didn't hit the bottom"
2020-01-28 00:00:00,5N19,19,733,E5,,,MM,repeat on fresh
2020-01-28 00:00:00,5N19,19,734,E6,,,MM,
2020-01-28 00:00:00,5N19,19,735,C,,,MM,tx
2020-01-28 00:00:00,5N19,19,736,W6,,,MM,
2020-01-28 00:00:00,5N19,19,737,W5,,,MM,
2020-01-28 00:00:00,5N19,19,738,W4,,,MM,
2020-01-28 00:00:00,5N19,19,739,W3,,,MM,
2020-01-28 00:00:00,5N19,19,742,W1,,,MM,repeat
2020-01-28 00:00:00,5N19,19,743,P,,,MM,
2020-01-28 00:00:00,5N19,19,744,P,,,MM,
2020-01-28 00:00:00,5N19,19,745,P,,,MM,
2020-01-28 00:00:00,3N22,19,746,N1,,,MM,
2020-01-28 00:00:00,3N22,19,747,N2,,,MM,
2020-01-28 00:00:00,3N22,19,748,N3,,,MM,
2020-01-28 00:00:00,3N22,19,749,N4,,,MM,
2020-01-28 00:00:00,3N22,19,750,N5,,,MM,
2020-01-28 00:00:00,3N22,19,751,C,,,MM,tx
2020-01-28 00:00:00,3N22,19,752,S5,,,MM,
2020-01-28 00:00:00,3N22,19,753,S4,,,MM,
2020-01-28 00:00:00,3N22,19,755,S3,,,MM,repeat
2020-01-28 00:00:00,3N22,19,756,S2,,,MM,
2020-01-28 00:00:00,3N22,19,757,S1,,,MM,
2020-01-28 00:00:00,3N22,19,758,E1,,,MM,near solo tree
2020-01-28 00:00:00,3N22,19,759,E2,,,MM,near solo tree
2020-01-28 00:00:00,3N22,19,760,E3,,,MM,
2020-01-28 00:00:00,3N22,19,761,E4,,,MM,
2020-01-28 00:00:00,3N22,19,762,E5,,,MM,
2020-01-28 00:00:00,3N22,19,763,C,,,MM,tx
2020-01-28 00:00:00,3N22,19,764,W5,,,MM,
2020-01-28 00:00:00,3N22,19,765,W4,,,MM,
2020-01-28 00:00:00,3N22,19,766,W3,,,MM,
2020-01-28 00:00:00,3N22,19,767,W4,,,MM,
2020-01-28 00:00:00,3N22,19,768,W5,,,MM,
2020-01-28 00:00:00,3N22,19,769,P,,,MM,
2020-01-28 00:00:00,3N22,19,770,P,,,MM,
2020-01-28 00:00:00,3N22,19,771,P,,,MM,
2020-01-28 00:00:00,8N25,19,772,W1,,,MM,medium canopy cover
2020-01-28 00:00:00,8N25,19,773,W2,,,MM,medium canopy cover
2020-01-28 00:00:00,8N25,19,774,W3,,,MM,medium canopy cover
2020-01-28 00:00:00,8N25,19,775,W4,,,MM,medium canopy cover
2020-01-28 00:00:00,8N25,19,776,W5,,,MM,
2020-01-28 00:00:00,8N25,19,777,C,,,MM,tx
2020-01-28 00:00:00,8N25,19,778,E5,,,MM,
2020-01-28 00:00:00,8N25,19,779,E4,,,MM,
2020-01-28 00:00:00,8N25,19,780,E3,,,MM,
2020-01-28 00:00:00,8N25,19,781,E2,,,MM,forested
2020-01-28 00:00:00,8N25,19,782,E1,,,MM,forested
2020-01-28 00:00:00,8N25,19,783,N1,,,MM,
2020-01-28 00:00:00,8N25,19,785,N2,,,MM,repeat
2020-01-28 00:00:00,8N25,19,786,N3,,,MM,
2020-01-28 00:00:00,8N25,19,787,N4,,,MM,
2020-01-28 00:00:00,8N25,19,788,N5,,,MM,
2020-01-28 00:00:00,8N25,19,789,C,,,MM,tx
2020-01-28 00:00:00,8N25,19,790,S5,,,MM,
2020-01-28 00:00:00,8N25,19,791,S4,,,MM,
2020-01-28 00:00:00,8N25,19,792,S3,,,MM,
2020-01-28 00:00:00,8N25,19,793,S2,,,MM,
2020-01-28 00:00:00,8N25,19,794,S1,,,MM,
2020-01-28 00:00:00,8N25,19,795,P,,,MM,
2020-01-28 00:00:00,8N25,19,796,P,,,MM,
2020-01-28 00:00:00,8N25,19,797,P,,,MM,
2020-01-28 00:00:00,2N4,6,602,W4,,,IM,
2020-01-28 00:00:00,2N4,6,603,W3,,,IM,
2020-01-28 00:00:00,2N4,6,604,W1,,,IM,
2020-01-28 00:00:00,2N4,6,605,W2,,,IM,
2020-01-28 00:00:00,2N4,6,606,N1,,,IM,
2020-01-28 00:00:00,2N4,6,607,N2,,,IM,
2020-01-28 00:00:00,2N4,6,608,N3,,,IM,
2020-01-28 00:00:00,2N4,6,609,N4,,,IM,
2020-01-28 00:00:00,2N4,6,610,N5,,,IM,
2020-01-28 00:00:00,2N4,6,611,S5,,,IM,
2020-01-28 00:00:00,2N4,6,612,S4,,,IM,
2020-01-28 00:00:00,2N4,6,613,S3,,,IM,
2020-01-28 00:00:00,2N4,6,614,S2,,,IM,
2020-01-28 00:00:00,2N4,6,615,S1,,,IM,
2020-01-28 00:00:00,2N4,6,616,E1,,,IM,
2020-01-28 00:00:00,2N4,6,617,E2,,,IM,
2020-01-28 00:00:00,2N4,6,618,E3,,,IM,
2020-01-28 00:00:00,2N4,6,619,E4,,,IM,
2020-01-28 00:00:00,2N4,6,620,E5,,,IM,
2020-01-28 00:00:00,2N4,6,621,C,,,IM,
