
<<<<< Begin of task (d92ae44b-f9d7-4443-ae0b-e9174ab7c454) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_11-9cm_20um\1s17_11-9cm_20um_Rec\VOI\1s17_11-9cm_20um_rec_voi_0129.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 565, 570
Total number of images, 961
Total Z-position range, 100, 1060
Number of images inside VOI, 961
Z-position range of VOI, 100, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/23/20 22:14:12 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/23/20 22:14:12 ]	Thresholding done

-----------------------------------------------------------------
[ 11/23/20 22:14:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
959 speckles removed
[ 11/23/20 22:14:15 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 22:14:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/23/20 22:14:18 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 22:14:57 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:39
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_11-9cm_20um\1s17_11-9cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_11-9cm_20um_rec_voi_1060.bmp,21.82687,75,136.55085,36.05353,26.40300,46.71832,245.66275,6.81383,0.48071,0.78234,-0.11281,61,14,6.24014,0.73345,14.75431,94.25719,100.49732,69.02717,73.59700,,,,,,,,,,,,39.64963,0.38535,0.29352,0.81817,0.89953,1.58985,0.10296,
1s17_11-9cm_20um_rec_voi_1059.bmp,21.80628,74,136.55085,36.07266,26.41702,46.71832,247.91988,6.87279,0.48747,0.78782,-0.55536,56,18,7.27020,4.05699,16.77370,93.20799,100.47819,68.25881,73.58298,,,,,,,,,,,,39.91019,0.37586,0.29100,0.81057,0.90779,1.58778,0.12355,
1s17_11-9cm_20um_rec_voi_1058.bmp,21.78568,81,136.55085,36.00938,26.37067,46.71832,249.65006,6.93292,0.44456,0.75235,0.07927,68,13,6.81482,-0.52358,15.91348,93.72665,100.54147,68.63864,73.62933,,,,,,,,,,,,40.53324,0.36492,0.28848,0.80546,0.91413,1.59218,0.18532,
1s17_11-9cm_20um_rec_voi_1057.bmp,21.76509,75,136.55085,36.04658,26.39792,46.71832,252.43686,7.00307,0.48062,0.78227,-0.59739,62,13,6.61888,3.97447,15.51344,93.88539,100.50427,68.75489,73.60208,,,,,,,,,,,,43.24025,0.34503,0.28559,0.79627,0.92433,1.59231,0.18532,
1s17_11-9cm_20um_rec_voi_1056.bmp,21.74450,70,136.55085,36.01558,26.37521,46.71832,253.23261,7.03120,0.51451,0.80938,-0.70778,56,14,8.19321,5.81992,18.53299,92.34206,100.53527,67.62467,73.62479,,,,,,,,,,,,47.27065,0.31816,0.28445,0.79402,0.92725,1.58974,0.18532,
1s17_11-9cm_20um_rec_voi_1055.bmp,21.72391,79,136.55085,35.99051,26.35685,46.71832,253.69647,7.04898,0.45558,0.76162,-0.91086,63,16,6.76023,6.17972,15.81313,93.80011,100.56034,68.69244,73.64315,,,,,,,,,,,,53.18872,0.29803,0.28373,0.79276,0.92895,1.58942,0.18532,
1s17_11-9cm_20um_rec_voi_1054.bmp,21.70332,72,136.55085,35.97917,26.34855,46.71832,249.98709,6.94811,0.49971,0.79765,-1.17442,52,20,6.54102,7.70520,15.38333,94.03066,100.57168,68.86128,73.65145,,,,,,,,,,,,61.60526,0.28888,0.28785,0.80461,0.91536,1.58506,0.16473,
1s17_11-9cm_20um_rec_voi_1053.bmp,21.68273,71,136.55085,36.01690,26.37618,46.71832,246.10370,6.83301,0.50728,0.80367,-1.36962,53,18,6.77306,9.31254,15.82861,93.76089,100.53395,68.66372,73.62382,,,,,,,,,,,,69.03294,0.27745,0.29270,0.81700,0.90114,1.58323,0.16473,
