
<<<<< Begin of task (3b8bc8af-fa6f-4967-9d9e-b6bfa2e9e3c5) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_13-11cm_20um\1s17_13-11cm_20um_Rec\VOI\1s17_13-11cm_20um_rec_voi_0066.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 597, 600
Total number of images, 1011
Total Z-position range, 50, 1060
Number of images inside VOI, 1011
Z-position range of VOI, 50, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/23/20 23:57:31 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/23/20 23:57:32 ]	Thresholding done

-----------------------------------------------------------------
[ 11/23/20 23:57:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1101 speckles removed
[ 11/23/20 23:57:35 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 23:57:35 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/23/20 23:57:38 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 23:58:19 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:41
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_13-11cm_20um\1s17_13-11cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_13-11cm_20um_rec_voi_1060.bmp,21.82687,66,151.87863,38.39525,25.28022,49.27165,266.45878,6.93989,0.58175,0.86064,-1.31776,49,17,7.30995,9.66905,15.99370,106.17343,113.48338,69.90676,74.71978,,,,,,,,,,,,28.37948,0.29391,0.28819,0.85179,0.87721,1.61643,0.18532,
1s17_13-11cm_20um_rec_voi_1059.bmp,21.80628,67,151.87863,38.85010,25.57970,49.27165,267.62774,6.88873,0.57985,0.85924,-2.14864,44,23,8.15961,17.57315,17.35728,104.86892,113.02853,69.04784,74.42030,,,,,,,,,,,,25.01449,0.27020,0.29033,0.84467,0.88106,1.61206,0.18532,
1s17_13-11cm_20um_rec_voi_1058.bmp,21.78568,70,151.87863,39.11347,25.75311,49.27165,266.08728,6.80296,0.55876,0.84347,-0.93946,50,20,7.39232,6.97925,15.89548,105.37285,112.76517,69.37964,74.24689,,,,,,,,,,,,22.20824,0.25120,0.29399,0.84758,0.87599,1.61681,0.18532,
1s17_13-11cm_20um_rec_voi_1057.bmp,21.76509,74,151.87863,39.30416,25.87866,49.27165,268.34112,6.82730,0.53114,0.82235,-1.16385,51,23,7.45878,8.71649,15.95019,105.11569,112.57447,69.21032,74.12134,,,,,,,,,,,,17.69435,0.23159,0.29294,0.83904,0.88341,1.61961,0.18532,
1s17_13-11cm_20um_rec_voi_1056.bmp,21.74450,66,151.87863,39.48648,25.99871,49.27165,269.72478,6.83081,0.59828,0.87279,-1.70535,40,26,7.99016,13.66357,16.82967,104.40199,112.39215,68.74040,74.00129,,,,,,,,,,,,11.18836,0.21516,0.29279,0.83338,0.88796,1.62121,0.16473,
1s17_13-11cm_20um_rec_voi_1055.bmp,21.72391,66,151.87863,39.66907,26.11893,49.27165,272.93083,6.88019,0.60105,0.87480,-1.54286,40,26,7.34334,11.36632,15.62001,104.86622,112.20956,69.04606,73.88107,,,,,,,,,,,,4.79468,0.20325,0.29069,0.82226,0.89852,1.62627,0.16473,
1s17_13-11cm_20um_rec_voi_1054.bmp,21.70332,57,151.87863,39.82012,26.21838,49.27165,272.58552,6.84542,0.69860,0.94312,-1.12908,38,19,8.21521,9.31011,17.10242,103.84331,112.05851,68.37256,73.78162,,,,,,,,,,,,1.15497,0.20343,0.29217,0.82219,0.89738,1.62382,0.16473,
1s17_13-11cm_20um_rec_voi_1053.bmp,21.68273,58,151.87863,39.94732,26.30214,49.27165,273.77690,6.85345,0.68875,0.93645,-1.24557,37,21,8.20196,10.25146,17.03443,103.72935,111.93131,68.29753,73.69786,,,,,,,,,,,,178.75372,0.20299,0.29182,0.81768,0.90130,1.62421,0.16473,
