
<<<<< Begin of task (c40ac05c-6729-4c47-a45c-17d00953e298) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_15-13cm_20um\1s17_15-13cm_20um_Rec\VOI\1s17_15-13cm_20um_rec_voi_0055.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 633, 561
Total number of images, 961
Total Z-position range, 40, 1000
Number of images inside VOI, 961
Z-position range of VOI, 40, 1000
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 01:53:37 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/24/20 01:53:38 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 01:53:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1072 speckles removed
[ 11/24/20 01:53:41 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 01:53:41 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 01:53:44 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 01:54:24 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_15-13cm_20um\1s17_15-13cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_15-13cm_20um_rec_voi_1000.bmp,20.59138,60,150.56973,32.26462,21.42836,49.14810,213.44160,6.61535,0.53774,0.82745,-1.10502,48,12,5.77007,6.37685,15.17056,112.53504,118.30511,74.73948,78.57164,,,,,,,,,,,,147.02384,0.37434,0.30233,1.10855,0.70878,1.57255,0.00000,
1s17_15-13cm_20um_rec_voi_0999.bmp,20.57079,53,150.56973,32.54080,21.61178,49.14810,213.54310,6.56232,0.61398,0.88416,-1.35302,42,11,5.96326,8.06913,15.48735,112.06567,118.02893,74.42775,78.38822,,,,,,,,,,,,147.05725,0.38861,0.30477,1.10543,0.70912,1.57292,0.00000,
1s17_15-13cm_20um_rec_voi_0998.bmp,20.55020,56,150.56973,32.70097,21.71816,49.14810,213.75850,6.53676,0.58395,0.86227,-1.20599,47,9,6.07165,7.32284,15.65963,111.79711,117.86876,74.24939,78.28184,,,,,,,,,,,,147.71330,0.39892,0.30596,1.10282,0.70983,1.57237,0.00000,
1s17_15-13cm_20um_rec_voi_0997.bmp,20.52961,55,150.56973,32.95977,21.89004,49.14810,214.47774,6.50726,0.59927,0.87351,-0.71998,45,10,6.00132,4.32100,15.40336,111.60864,117.60996,74.12422,78.10996,,,,,,,,,,,,147.28528,0.40505,0.30735,1.09671,0.71222,1.57478,0.00000,
1s17_15-13cm_20um_rec_voi_0996.bmp,20.50902,54,150.56973,33.14581,22.01359,49.14810,214.70777,6.47768,0.61381,0.88404,-2.91114,43,11,8.43039,24.54268,20.27696,108.99354,117.42392,72.38742,77.98641,,,,,,,,,,,,146.99891,0.41016,0.30875,1.09380,0.71298,1.57228,0.00000,
1s17_15-13cm_20um_rec_voi_0995.bmp,20.48843,51,150.56973,33.24455,22.07917,49.14810,214.27974,6.44556,0.65185,0.91102,-2.87032,39,12,7.47934,21.49001,18.36599,109.84584,117.32518,72.95347,77.92083,,,,,,,,,,,,146.41375,0.41644,0.31029,1.09507,0.71156,1.57270,0.00000,
1s17_15-13cm_20um_rec_voi_0994.bmp,20.46784,56,150.56973,33.26453,22.09244,49.14810,214.55596,6.44999,0.59401,0.86966,-3.53005,40,16,8.41284,29.74013,20.18564,108.89236,117.30520,72.32022,77.90756,,,,,,,,,,,,146.37393,0.42352,0.31008,1.09347,0.71248,1.57640,0.10296,
1s17_15-13cm_20um_rec_voi_0993.bmp,20.44724,57,150.56973,33.36671,22.16031,49.14810,213.98768,6.41321,0.58538,0.86333,-2.60122,41,16,7.22356,18.79143,17.79629,109.97945,117.20302,73.04221,77.83969,,,,,,,,,,,,144.90482,0.43143,0.31186,1.09542,0.71059,1.58578,0.00000,
