
<<<<< Begin of task (13d5a06f-6098-4811-9063-08d5fb11cfa4) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_16.5-14.5cm_20um\1s17_16.5-14.5cm_20um_Rec\VOI\1s17_16.5-14.5cm_20um_rec_voi_0133.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 651, 587
Total number of images, 981
Total Z-position range, 90, 1070
Number of images inside VOI, 981
Z-position range of VOI, 90, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 04:03:44 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/24/20 04:03:45 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 04:03:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
946 speckles removed
[ 11/24/20 04:03:48 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 04:03:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 04:03:51 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 04:04:27 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_16.5-14.5cm_20um\1s17_16.5-14.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_16.5-14.5cm_20um_rec_voi_1070.bmp,22.03278,47,162.02804,35.54589,21.93811,50.96014,232.02511,6.52748,0.75630,0.98130,-3.11238,29,18,8.77023,27.29657,19.79016,117.71193,126.48216,72.64911,78.06189,,,,,,,,,,,,59.74480,0.33431,0.30640,1.09025,0.71600,1.57602,0.00000,
1s17_16.5-14.5cm_20um_rec_voi_1069.bmp,22.01219,53,162.02804,35.67303,22.01658,50.96014,234.22107,6.56577,0.67308,0.92574,-2.83382,38,15,8.99882,25.50194,20.14427,117.35619,126.35501,72.42955,77.98342,,,,,,,,,,,,59.39934,0.33297,0.30461,1.07894,0.72278,1.57267,0.00000,
1s17_16.5-14.5cm_20um_rec_voi_1068.bmp,21.99160,44,162.02804,35.72105,22.04622,50.96014,234.18453,6.55592,0.81184,1.01670,-2.68439,26,18,7.62685,20.47372,17.59450,118.68015,126.30699,73.24667,77.95378,,,,,,,,,,,,59.30736,0.33070,0.30507,1.07870,0.72267,1.58592,0.00000,
1s17_16.5-14.5cm_20um_rec_voi_1067.bmp,21.97101,51,162.02804,35.69180,22.02816,50.96014,236.11719,6.61545,0.69984,0.94396,-1.04777,38,13,6.68995,7.05405,15.78498,119.64629,126.33625,73.84295,77.97184,,,,,,,,,,,,58.41540,0.32743,0.30232,1.07011,0.72863,1.56936,0.08237,
1s17_16.5-14.5cm_20um_rec_voi_1066.bmp,21.95042,55,162.02804,35.67134,22.01553,50.96014,236.15888,6.62041,0.64857,0.90873,-1.31473,43,12,6.80523,8.98222,16.02114,119.55148,126.35671,73.78443,77.98447,,,,,,,,,,,,58.85281,0.31664,0.30210,1.07010,0.72876,1.59451,0.14414,
1s17_16.5-14.5cm_20um_rec_voi_1065.bmp,21.92982,62,162.02804,35.67404,22.01720,50.96014,236.34980,6.62526,0.57539,0.85592,-1.19648,50,12,7.01776,8.43150,16.43819,119.33624,126.35400,73.65160,77.98280,,,,,,,,,,,,58.14164,0.30218,0.30187,1.06921,0.72935,1.59627,0.14414,
1s17_16.5-14.5cm_20um_rec_voi_1064.bmp,21.90923,48,162.02804,35.81343,22.10323,50.96014,233.68776,6.52514,0.74611,0.97467,-2.55767,34,14,9.63658,24.68914,21.20258,116.57803,126.21461,71.94929,77.89677,,,,,,,,,,,,58.93200,0.28261,0.30651,1.08020,0.72113,1.59665,0.16473,
1s17_16.5-14.5cm_20um_rec_voi_1063.bmp,21.88864,54,162.02804,35.92712,22.17340,50.96014,233.62039,6.50262,0.66532,0.92038,-1.84140,39,15,8.32290,15.36498,18.80881,117.77802,126.10092,72.68990,77.82660,,,,,,,,,,,,60.88911,0.26107,0.30757,1.07954,0.72093,1.59500,0.18532,
