
<<<<< Begin of task (425432f8-c0d4-4026-9184-787a2cf32764) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_18-16cm_20um\1s17_18-16cm_20um_Rec\VOI\1s17_18-16cm_20um_rec_voi_0069.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 602, 605
Total number of images, 1031
Total Z-position range, 40, 1070
Number of images inside VOI, 1031
Z-position range of VOI, 40, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 05:41:14 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/24/20 05:41:15 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 05:41:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1077 speckles removed
[ 11/24/20 05:41:18 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 05:41:18 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 05:41:21 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 05:41:57 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_18-16cm_20um\1s17_18-16cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_18-16cm_20um_rec_voi_1070.bmp,22.03278,53,154.42690,27.86180,18.04206,49.68348,185.07029,6.64244,0.52569,0.81813,-1.24335,43,10,13.60988,16.92230,32.81728,112.95523,126.56510,73.14479,81.95794,,,,,,,,,,,,26.12978,0.25079,0.30109,1.36775,0.59922,1.46073,0.00000,
1s17_18-16cm_20um_rec_voi_1069.bmp,22.01219,56,154.42690,27.68133,17.92520,49.68348,185.25293,6.69234,0.49431,0.79333,0.06972,47,9,10.14491,11.83896,26.81976,116.60067,126.74557,75.50541,82.07480,,,,,,,,,,,,25.86960,0.29439,0.29885,1.36835,0.59981,1.45278,0.00000,
1s17_18-16cm_20um_rec_voi_1068.bmp,21.99160,50,154.42690,27.39471,17.73959,49.68348,183.24154,6.68894,0.54789,0.83522,0.26394,41,9,5.91286,6.32810,17.75230,121.11934,127.03220,78.43150,82.26041,,,,,,,,,,,,24.35255,0.33574,0.29900,1.38650,0.59330,1.45866,0.00000,
1s17_18-16cm_20um_rec_voi_1067.bmp,21.97101,49,154.42690,27.26215,17.65376,49.68348,181.97865,6.67514,0.55637,0.84166,0.15253,39,10,9.87079,9.02804,26.58229,117.29397,127.16475,75.95436,82.34624,,,,,,,,,,,,23.48569,0.35134,0.29962,1.39758,0.58921,1.45310,0.00000,
1s17_18-16cm_20um_rec_voi_1066.bmp,21.95042,49,154.42690,27.21689,17.62445,49.68348,181.13501,6.65524,0.55545,0.84096,0.08299,40,9,10.06774,12.49789,27.00238,117.14228,127.21002,75.85613,82.37555,,,,,,,,,,,,22.62025,0.35900,0.30051,1.40459,0.58647,1.45104,0.00000,
1s17_18-16cm_20um_rec_voi_1065.bmp,21.92982,45,154.42690,27.16277,17.58941,49.68348,179.17444,6.59632,0.60362,0.87667,-0.76034,35,10,10.57532,8.04101,28.02294,116.68881,127.26413,75.56248,82.41059,,,,,,,,,,,,21.51623,0.36563,0.30320,1.42056,0.58013,1.44824,0.00000,
1s17_18-16cm_20um_rec_voi_1064.bmp,21.90923,55,154.42690,27.00001,17.48401,49.68348,176.01250,6.51898,0.49091,0.79060,1.63478,45,10,4.76062,-2.48602,14.98907,122.66627,127.42689,79.43323,82.51599,,,,,,,,,,,,22.21156,0.36737,0.30680,1.44793,0.56989,1.44615,0.00000,
1s17_18-16cm_20um_rec_voi_1063.bmp,21.88864,51,154.42690,26.86189,17.39457,49.68348,175.25879,6.52444,0.52670,0.81891,1.04547,41,10,5.14398,-1.57742,16.07198,122.42104,127.56501,79.27442,82.60543,,,,,,,,,,,,23.59980,0.36474,0.30654,1.45573,0.56745,1.44262,0.00000,
