
<<<<< Begin of task (ee11a6df-d5a4-41f6-bb97-dc9b43388572) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_20-18cm_20um\1s17_20-18cm_20um_Rec\VOI\1s17_20-18cm_20um_rec_voi_0076.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 637, 614
Total number of images, 941
Total Z-position range, 60, 1000
Number of images inside VOI, 941
Z-position range of VOI, 60, 1000
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 07:01:10 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/24/20 07:01:11 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 07:01:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1481 speckles removed
[ 11/24/20 07:01:14 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 07:01:14 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 07:01:17 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 07:01:58 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:41
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_20-18cm_20um\1s17_20-18cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_20-18cm_20um_rec_voi_1000.bmp,20.59138,62,165.83603,37.91369,22.86215,51.49552,262.63978,6.92731,0.61151,0.88238,-3.28788,37,25,10.83805,35.66832,22.23110,117.08430,127.92234,70.60245,77.13785,,,,,,,,,,,,113.59710,0.49231,0.28871,0.97413,0.79187,1.67109,0.18532,
1s17_20-18cm_20um_rec_voi_0999.bmp,20.57079,60,165.83603,38.04815,22.94324,51.49552,261.04935,6.86103,0.63414,0.89856,-2.30848,32,28,8.34765,19.29990,17.99226,119.44023,127.78788,72.02309,77.05676,,,,,,,,,,,,114.66484,0.49697,0.29150,0.97903,0.78707,1.67463,0.18532,
1s17_20-18cm_20um_rec_voi_0998.bmp,20.55020,58,165.83603,38.11472,22.98338,51.49552,259.21854,6.80101,0.65715,0.91472,-3.17215,30,28,10.88294,34.55624,22.21114,116.83837,127.72131,70.45415,77.01662,,,,,,,,,,,,115.79403,0.49975,0.29407,0.98543,0.78155,1.67144,0.18532,
1s17_20-18cm_20um_rec_voi_0997.bmp,20.52961,55,165.83603,38.11181,22.98162,51.49552,258.89114,6.79294,0.69294,0.93930,-3.11802,31,24,11.23714,35.07127,22.77078,116.48709,127.72423,70.24232,77.01838,,,,,,,,,,,,116.86284,0.50408,0.29442,0.98670,0.78056,1.67246,0.18532,
1s17_20-18cm_20um_rec_voi_0996.bmp,20.50902,66,165.83603,38.06596,22.95397,51.49552,261.21822,6.86225,0.57676,0.85694,-3.19534,41,25,11.33143,36.24281,22.93933,116.43864,127.77007,70.21311,77.04603,,,,,,,,,,,,117.88607,0.51120,0.29145,0.97826,0.78758,1.67389,0.18532,
1s17_20-18cm_20um_rec_voi_0995.bmp,20.48843,67,165.83603,38.22544,23.05014,51.49552,265.31323,6.94075,0.57053,0.85230,-2.82055,45,22,11.00770,31.07983,22.35832,116.60289,127.61059,70.31216,76.94986,,,,,,,,,,,,118.34003,0.51267,0.28815,0.96196,0.79993,1.67358,0.18532,
1s17_20-18cm_20um_rec_voi_0994.bmp,20.46784,67,165.83603,38.43500,23.17651,51.49552,267.80176,6.96765,0.57366,0.85464,-1.82855,44,23,8.29942,15.20282,17.75869,119.10161,127.40103,71.81889,76.82349,,,,,,,,,,,,119.18271,0.51469,0.28704,0.95146,0.80743,1.67641,0.18532,
1s17_20-18cm_20um_rec_voi_0993.bmp,20.44724,66,165.83603,38.69333,23.33228,51.49552,270.93800,7.00219,0.58626,0.86397,-1.65549,45,21,8.24923,13.68234,17.57303,118.89347,127.14270,71.69339,76.66772,,,,,,,,,,,,120.28284,0.51657,0.28562,0.93854,0.81689,1.68023,0.18532,
