
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_20-18cm_20um_redo\1s17_20-18cm_20um_redo_Rec\VOI\1s17_20-18cm_20um_redo_rec_voi_

<<<<< Begin of task (6319e565-fd65-4399-bc4f-decc230c4dac) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_20-18cm_20um_redo\1s17_20-18cm_20um_redo_Rec\VOI\1s17_20-18cm_20um_redo_rec_voi_0174.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 613, 580
Total number of images, 911
Total Z-position range, 160, 1070
Number of images inside VOI, 911
Z-position range of VOI, 160, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 11:04:07 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 11:04:08 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 11:04:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
837 speckles removed
[ 11/24/20 11:04:10 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 11:04:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 11:04:13 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 11:04:46 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_20-18cm_20um_redo\1s17_20-18cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_20-18cm_20um_redo_rec_voi_1070.bmp,22.03278,58,150.75078,24.91984,16.53049,49.10692,180.87771,7.25838,0.42965,0.73963,-0.96548,45,13,11.55531,11.19047,31.67994,114.27563,125.83094,75.80434,83.46951,,,,,,,,,,,,113.37399,0.15274,0.27554,1.39134,0.59992,1.49359,0.16473,
1s17_20-18cm_20um_redo_rec_voi_1069.bmp,22.01219,56,150.75078,25.25390,16.75209,49.10692,180.55446,7.14957,0.45096,0.75775,-1.73035,43,13,13.53234,23.46344,34.88953,111.96454,125.49688,74.27128,83.24791,,,,,,,,,,,,98.19058,0.10442,0.27974,1.39013,0.59885,1.49125,0.12355,
1s17_20-18cm_20um_redo_rec_voi_1068.bmp,21.99160,51,150.75078,25.65226,17.01633,49.10692,182.64358,7.11998,0.50299,0.80026,-1.10465,38,13,8.27568,9.14210,24.39193,116.82284,125.09852,77.49402,82.98367,,,,,,,,,,,,68.18549,0.13905,0.28090,1.36987,0.60578,1.49469,0.00000,
1s17_20-18cm_20um_redo_rec_voi_1067.bmp,21.97101,47,150.75078,25.96682,17.22500,49.10692,183.35575,7.06116,0.55249,0.83872,-0.52228,35,12,10.72309,5.60053,29.22627,114.06087,124.78396,75.66188,82.77500,,,,,,,,,,,,62.98487,0.19236,0.28324,1.36111,0.60814,1.49407,0.00000,
1s17_20-18cm_20um_redo_rec_voi_1066.bmp,21.95042,47,150.75078,26.31254,17.45433,49.10692,184.51557,7.01246,0.55984,0.84428,-1.27564,32,15,11.36943,14.53441,30.17207,113.06881,124.43824,75.00380,82.54567,,,,,,,,,,,,59.89109,0.22589,0.28521,1.34881,0.61199,1.49491,0.00000,
1s17_20-18cm_20um_redo_rec_voi_1065.bmp,21.92982,45,150.75078,26.69314,17.70680,49.10692,184.74476,6.92106,0.59318,0.86906,0.07261,33,12,11.48455,-0.80486,30.08184,112.57309,124.05764,74.67497,82.29320,,,,,,,,,,,,54.75978,0.25561,0.28897,1.34302,0.61275,1.49283,0.02059,
1s17_20-18cm_20um_redo_rec_voi_1064.bmp,21.90923,50,150.75078,27.06181,17.95136,49.10692,185.63543,6.85968,0.54124,0.83013,-1.15965,34,16,10.55714,12.27471,28.06337,113.13183,123.68897,75.04560,82.04864,,,,,,,,,,,,53.43664,0.27143,0.29156,1.33260,0.61570,1.49679,0.04118,
1s17_20-18cm_20um_redo_rec_voi_1063.bmp,21.88864,42,150.75078,27.47097,18.22277,49.10692,188.31938,6.85521,0.65407,0.91257,-1.17614,28,14,10.80604,12.74185,28.23114,112.47377,123.27981,74.60908,81.77723,,,,,,,,,,,,52.96005,0.28832,0.29175,1.30926,0.62460,1.37642,0.06177,
