
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_22-20cm_20um\1s17_22-20cm_20um_Rec\VOI\1s17_22-20cm_20um_rec_voi_

<<<<< Begin of task (97745e62-a3c7-48b7-8f27-507bf5fad2dd) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_22-20cm_20um\1s17_22-20cm_20um_Rec\VOI\1s17_22-20cm_20um_rec_voi_0065.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1021
Total Z-position range, 50, 1070
Number of images inside VOI, 1021
Z-position range of VOI, 50, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 11:28:34 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 11/24/20 11:28:35 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 11:28:35 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
732 speckles removed
[ 11/24/20 11:28:37 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 11:28:37 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 11:28:40 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 11:29:10 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:30
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_22-20cm_20um\1s17_22-20cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_22-20cm_20um_rec_voi_1070.bmp,22.03278,41,95.39543,27.62563,28.95907,36.54877,170.45304,6.17011,0.67380,0.92623,0.00405,33,8,5.81035,0.44139,17.37755,61.95944,67.76980,64.95012,71.04093,,,,,,,,,,,,131.84289,0.40434,0.32414,0.79517,0.89340,1.46151,6.87499,
1s17_22-20cm_20um_rec_voi_1069.bmp,22.01219,41,95.39543,27.70365,29.04085,36.54877,170.73304,6.16284,0.67570,0.92754,-0.04899,35,6,4.31134,-1.32719,13.46662,63.38044,67.69178,66.43971,70.95915,,,,,,,,,,,,132.23362,0.39810,0.32453,0.79295,0.89487,1.44412,6.80969,
1s17_22-20cm_20um_rec_voi_1068.bmp,21.99160,37,95.39543,27.73619,29.07497,36.54877,170.63069,6.15192,0.74963,0.97696,-0.09999,30,7,5.44322,-2.01802,16.40541,62.21602,67.65924,65.21908,70.92503,,,,,,,,,,,,132.58913,0.38738,0.32510,0.79305,0.89433,1.46277,6.77703,
1s17_22-20cm_20um_rec_voi_1067.bmp,21.97101,34,95.39543,27.78384,29.12491,36.54877,171.15985,6.16041,0.81717,1.02003,0.06742,27,7,6.02638,1.57916,17.82415,61.58521,67.61159,64.55782,70.87509,,,,,,,,,,,,133.43269,0.37640,0.32465,0.79004,0.89711,1.46326,6.87146,
1s17_22-20cm_20um_rec_voi_1066.bmp,21.95042,41,95.39543,27.82046,29.16331,36.54877,173.88755,6.25035,0.67855,0.92949,0.06870,29,12,5.70176,1.60243,17.00889,61.87321,67.57497,64.85972,70.83669,,,,,,,,,,,,134.39874,0.36315,0.31998,0.77723,0.91140,1.45478,6.96485,
1s17_22-20cm_20um_rec_voi_1065.bmp,21.92982,42,95.39543,27.88321,29.22909,36.54877,175.69838,6.30122,0.66389,0.91939,-0.21140,33,9,5.38126,-1.93065,16.17720,62.13095,67.51221,65.12991,70.77091,,,,,,,,,,,,135.77067,0.34483,0.31740,0.76850,0.92090,1.46880,6.70423,
1s17_22-20cm_20um_rec_voi_1064.bmp,21.90923,45,95.39543,27.93123,29.27942,36.54877,178.45107,6.38894,0.62069,0.88898,-0.32735,31,14,5.45944,-0.29783,16.35019,62.00476,67.46420,64.99762,70.72058,,,,,,,,,,,,138.30282,0.32760,0.31304,0.75611,0.93532,1.47351,6.43758,
1s17_22-20cm_20um_rec_voi_1063.bmp,21.88864,50,95.39543,28.03601,29.38926,36.54877,180.16454,6.42618,0.56072,0.84494,-0.09243,34,16,5.69921,-4.40783,16.89395,61.66020,67.35941,64.63643,70.61074,,,,,,,,,,,,140.41697,0.30942,0.31123,0.74775,0.94430,1.47475,6.42905,
