
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_23.5-21.5cm_20um\1s17_23.5-21.5cm_20um_Rec\VOI\1s17_23.5-21.5cm_20um_rec_voi_

<<<<< Begin of task (cde9f2cd-668d-45b1-be55-d63ab770314c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_23.5-21.5cm_20um\1s17_23.5-21.5cm_20um_Rec\VOI\1s17_23.5-21.5cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 571, 576
Total number of images, 871
Total Z-position range, 50, 920
Number of images inside VOI, 871
Z-position range of VOI, 50, 920
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 11:52:22 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 11:52:23 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 11:52:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
568 speckles removed
[ 11/24/20 11:52:25 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 11:52:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 11:52:28 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 11:52:56 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:28
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_23.5-21.5cm_20um\1s17_23.5-21.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_23.5-21.5cm_20um_rec_voi_0920.bmp,18.94407,42,139.45359,19.16667,13.74412,47.21251,147.82962,7.71285,0.45635,0.76226,-1.10001,34,8,8.61753,9.47934,31.01594,111.66938,120.28691,80.07638,86.25588,,,,,,,,,,,,171.13067,0.45263,0.25931,1.62737,0.53003,1.42610,0.00000,
1s17_23.5-21.5cm_20um_rec_voi_0919.bmp,18.92348,46,139.45359,19.26356,13.81360,47.21251,149.62804,7.76741,0.41877,0.73020,1.33402,37,9,4.14237,2.60445,17.69795,116.04766,120.19003,83.21597,86.18640,,,,,,,,,,,,175.07494,0.44487,0.25749,1.60652,0.53648,1.42969,0.00000,
1s17_23.5-21.5cm_20um_rec_voi_0918.bmp,18.90289,58,139.45359,19.36076,13.88330,47.21251,151.70837,7.83587,0.33381,0.65193,-0.13852,50,8,12.90958,1.78830,40.00447,107.18325,120.09282,76.85944,86.11670,,,,,,,,,,,,1.08249,0.44405,0.25524,1.58321,0.54394,1.43942,0.00000,
1s17_23.5-21.5cm_20um_rec_voi_0917.bmp,18.88230,50,139.45359,19.52088,13.99812,47.21251,152.60233,7.81739,0.39042,0.70505,-1.08135,44,6,8.56994,9.26757,30.50797,111.36277,119.93271,79.85651,86.00188,,,,,,,,,,,,5.21248,0.44298,0.25584,1.57183,0.54714,1.43048,0.00000,
1s17_23.5-21.5cm_20um_rec_voi_0916.bmp,18.86171,51,139.45359,19.73892,14.15447,47.21251,154.44728,7.82450,0.38704,0.70199,-1.03665,45,6,8.69232,9.01134,30.57312,111.02235,119.71467,79.61240,85.84553,,,,,,,,,,,,8.99646,0.44414,0.25561,1.55023,0.55376,1.42888,0.00000,
1s17_23.5-21.5cm_20um_rec_voi_0915.bmp,18.84112,55,139.45359,19.92146,14.28537,47.21251,156.45988,7.85384,0.36221,0.67910,0.78434,46,9,9.06544,-7.11111,31.27427,110.46669,119.53213,79.21395,85.71463,,,,,,,,,,,,12.89417,0.44053,0.25465,1.52796,0.56097,1.43239,0.00000,
1s17_23.5-21.5cm_20um_rec_voi_0914.bmp,18.82053,46,139.45359,20.15932,14.45594,47.21251,156.50107,7.76321,0.43825,0.74699,-1.13748,34,12,9.01212,10.25146,30.89364,110.28214,119.29426,79.08161,85.54406,,,,,,,,,,,,16.83604,0.43665,0.25763,1.52452,0.56112,1.43191,0.00000,
1s17_23.5-21.5cm_20um_rec_voi_0913.bmp,18.79993,44,139.45359,20.39194,14.62275,47.21251,157.94332,7.74538,0.46345,0.76817,-1.03309,32,12,9.10646,9.40782,30.87104,109.95518,119.06164,78.84715,85.37725,,,,,,,,,,,,20.40274,0.43209,0.25822,1.50765,0.56629,1.43755,0.00000,
