
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_24.5-22.5cm_20um\1s17_24.5-22.5cm_20um_Rec\VOI\1s17_24.5-22.5cm_20um_rec_voi_

<<<<< Begin of task (366712eb-22b6-411b-aaca-7053fba068f3) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_24.5-22.5cm_20um\1s17_24.5-22.5cm_20um_Rec\VOI\1s17_24.5-22.5cm_20um_rec_voi_0140.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 599, 631
Total number of images, 961
Total Z-position range, 110, 1070
Number of images inside VOI, 961
Z-position range of VOI, 110, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 12:20:47 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 12:20:48 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 12:20:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1280 speckles removed
[ 11/24/20 12:20:51 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 12:20:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 12:20:54 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 12:21:31 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_24.5-22.5cm_20um\1s17_24.5-22.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_24.5-22.5cm_20um_rec_voi_1070.bmp,22.03278,94,160.26079,36.15916,22.56270,50.63068,277.73931,7.68102,0.38467,0.69984,-0.80351,71,23,7.53653,6.10699,17.24777,116.56510,124.10163,72.73464,77.43730,,,,,,,,,,,,83.75453,0.45108,0.26038,0.89366,0.86652,1.63573,0.16473,
1s17_24.5-22.5cm_20um_rec_voi_1069.bmp,22.01219,92,160.26079,36.17543,22.57285,50.63068,281.42128,7.77935,0.39321,0.70757,-0.88613,66,26,7.76242,6.89996,17.66682,116.32294,124.08536,72.58353,77.42715,,,,,,,,,,,,82.77739,0.44978,0.25709,0.88185,0.87801,1.63701,0.16473,
1s17_24.5-22.5cm_20um_rec_voi_1068.bmp,21.99160,96,160.26079,36.15099,22.55760,50.63068,282.46997,7.81362,0.37657,0.69244,-0.90525,75,21,7.69204,6.98475,17.54449,116.41776,124.10980,72.64270,77.44240,,,,,,,,,,,,82.02109,0.45283,0.25596,0.87875,0.88128,1.64088,0.16473,
1s17_24.5-22.5cm_20um_rec_voi_1067.bmp,21.97101,97,160.26079,36.22721,22.60516,50.63068,283.79539,7.83376,0.37348,0.68958,-0.97482,74,23,7.85528,7.68001,17.81950,116.17830,124.03358,72.49328,77.39484,,,,,,,,,,,,81.81776,0.46133,0.25531,0.87411,0.88542,1.64409,0.18532,
1s17_24.5-22.5cm_20um_rec_voi_1066.bmp,21.95042,98,160.26079,36.36602,22.69177,50.63068,286.36079,7.87441,0.37108,0.68737,-0.93756,75,23,7.96096,7.51649,17.95963,115.93381,123.89477,72.34072,77.30823,,,,,,,,,,,,82.22928,0.47025,0.25399,0.86531,0.89342,1.56491,0.18532,
1s17_24.5-22.5cm_20um_rec_voi_1065.bmp,21.92982,98,160.26079,36.50981,22.78150,50.63068,289.18084,7.92063,0.37255,0.68873,-0.69823,78,20,8.96898,6.31355,19.72124,114.78200,123.75098,71.62201,77.21850,,,,,,,,,,,,83.61791,0.48005,0.25251,0.85587,0.90222,1.64675,0.18532,
1s17_24.5-22.5cm_20um_rec_voi_1064.bmp,21.90923,96,160.26079,36.64501,22.86586,50.63068,290.71081,7.93316,0.38172,0.69715,-1.24571,74,22,8.90331,11.13401,19.54696,114.71246,123.61578,71.57862,77.13414,,,,,,,,,,,,85.72092,0.48671,0.25211,0.85044,0.90699,1.64729,0.18532,
1s17_24.5-22.5cm_20um_rec_voi_1063.bmp,21.88864,86,160.26079,36.61835,22.84923,50.63068,289.85511,7.91557,0.42579,0.73630,-1.35124,62,24,8.14206,11.05785,18.19032,115.50037,123.64244,72.07026,77.15077,,,,,,,,,,,,87.64768,0.49407,0.25267,0.85313,0.90432,1.65032,0.20591,
