
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_26.5-24.5cm_20um\1s17_26.5-24.5cm_20um_Rec\VOI\1s17_26.5-24.5cm_20um_rec_voi_

<<<<< Begin of task (910cb05a-e980-476c-9a4d-cd347194a5f5) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_26.5-24.5cm_20um\1s17_26.5-24.5cm_20um_Rec\VOI\1s17_26.5-24.5cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1031
Total Z-position range, 50, 1080
Number of images inside VOI, 1031
Z-position range of VOI, 50, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 12:42:28 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 11/24/20 12:42:29 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 12:42:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1039 speckles removed
[ 11/24/20 12:42:32 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 12:42:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 12:42:35 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 12:43:12 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_26.5-24.5cm_20um\1s17_26.5-24.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_26.5-24.5cm_20um_rec_voi_1080.bmp,22.23870,73,95.39543,35.20594,36.90527,36.54877,258.33150,7.33772,0.48227,0.78361,-1.93826,48,25,8.23524,16.07801,18.95722,51.95425,60.18949,54.46199,63.09473,,,,,,,,,,,,64.29267,0.38035,0.27256,0.46599,1.35400,1.61428,12.42793,
1s17_26.5-24.5cm_20um_rec_voi_1079.bmp,22.21810,74,95.39543,35.05696,36.74909,36.54877,257.83644,7.35479,0.47374,0.77665,-0.85627,48,26,8.51148,7.40258,19.53588,51.82699,60.33847,54.32859,63.25091,,,,,,,,,,,,64.29703,0.36582,0.27193,0.46804,1.35141,1.61646,12.64030,
1s17_26.5-24.5cm_20um_rec_voi_1078.bmp,22.19751,74,95.39543,34.82773,36.50880,36.54877,257.83559,7.40317,0.47064,0.77411,-1.56791,51,23,9.26838,14.64211,21.01859,51.29932,60.56770,53.77545,63.49120,,,,,,,,,,,,63.80201,0.34952,0.27015,0.46982,1.35140,1.61336,13.01844,
1s17_26.5-24.5cm_20um_rec_voi_1077.bmp,22.17692,74,95.39543,34.62129,36.29240,36.54877,255.06257,7.36722,0.46786,0.77181,-1.11678,53,21,8.20211,9.25323,19.15334,52.57202,60.77414,55.10958,63.70760,,,,,,,,,,,,63.58990,0.33783,0.27147,0.47654,1.33687,1.61351,13.29362,
1s17_26.5-24.5cm_20um_rec_voi_1076.bmp,22.15633,75,95.39543,34.69353,36.36813,36.54877,255.70822,7.37049,0.46258,0.76745,-1.39029,52,23,8.61695,12.06208,19.89576,52.08495,60.70190,54.59900,63.63187,,,,,,,,,,,,63.23450,0.32683,0.27135,0.47477,1.34025,1.61461,13.63161,
1s17_26.5-24.5cm_20um_rec_voi_1075.bmp,22.13574,75,95.39543,34.77383,36.45230,36.54877,257.97241,7.41858,0.46365,0.76834,-1.61837,50,25,8.50040,13.84208,19.64310,52.12120,60.62160,54.63700,63.54770,,,,,,,,,,,,62.13115,0.31514,0.26959,0.46999,1.35212,1.61793,13.93945,
1s17_26.5-24.5cm_20um_rec_voi_1074.bmp,22.11515,73,95.39543,34.94279,36.62942,36.54877,260.51918,7.45559,0.47867,0.78068,-2.04007,49,24,8.04449,16.50190,18.71365,52.40815,60.45264,54.93780,63.37058,,,,,,,,,,,,61.23440,0.31290,0.26826,0.46409,1.36547,1.60256,14.24022,
1s17_26.5-24.5cm_20um_rec_voi_1073.bmp,22.09456,76,95.39543,35.13089,36.82660,36.54877,262.53971,7.47319,0.46225,0.76717,-1.64388,50,26,8.30706,13.74144,19.12396,51.95748,60.26454,54.46538,63.17340,,,,,,,,,,,,60.05949,0.30714,0.26762,0.45909,1.37606,1.62475,14.49834,
