
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_28.5-26.5cm_20um\1s17_28.5-26.5cm_20um_Rec\VOI\1s17_28.5-26.5cm_20um_rec_voi_

<<<<< Begin of task (fc5236bd-9080-4d99-a47f-ca4801438b9b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_28.5-26.5cm_20um\1s17_28.5-26.5cm_20um_Rec\VOI\1s17_28.5-26.5cm_20um_rec_voi_0089.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 587, 571
Total number of images, 871
Total Z-position range, 60, 930
Number of images inside VOI, 871
Z-position range of VOI, 60, 930
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 13:00:28 ] Thresholding
Mode, Global
Lower grey threshold, 90
Upper grey threshold, 200
[ 11/24/20 13:00:28 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 13:00:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7972 speckles removed
[ 11/24/20 13:00:31 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 13:00:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 13:00:34 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 13:01:04 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:30
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_28.5-26.5cm_20um\1s17_28.5-26.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,90
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_28.5-26.5cm_20um_rec_voi_0930.bmp,19.14999,38,142.11676,11.86430,8.34828,47.66552,97.97888,8.25829,0.31222,0.63050,0.30696,28,10,2.79144,4.39151,19.04672,127.46103,130.25246,89.68754,91.65172,,,,,,,,,,,,118.54740,0.82143,0.24218,2.65879,0.34471,1.33534,0.00000,
1s17_28.5-26.5cm_20um_rec_voi_0929.bmp,19.12940,39,142.11676,12.16322,8.55861,47.66552,100.99400,8.30323,0.31188,0.63015,0.06143,28,11,3.21703,5.11453,20.91664,126.73651,129.95354,89.17773,91.44139,,,,,,,,,,,,118.86942,0.81886,0.24087,2.57349,0.35532,1.34706,0.00000,
1s17_28.5-26.5cm_20um_rec_voi_0928.bmp,19.10880,37,142.11676,12.55903,8.83712,47.66552,103.01781,8.20269,0.33943,0.65740,-0.23866,25,12,2.94445,6.20854,18.99219,126.61328,129.55773,89.09103,91.16288,,,,,,,,,,,,119.17773,0.81626,0.24382,2.51525,0.36244,1.35651,0.00000,
1s17_28.5-26.5cm_20um_rec_voi_0927.bmp,19.08821,40,142.11676,13.00662,9.15207,47.66552,108.39170,8.33358,0.32517,0.64344,-0.33868,26,14,3.07976,8.47617,19.14514,126.03038,129.11014,88.68087,90.84793,,,,,,,,,,,,119.60015,0.81231,0.23999,2.38229,0.38135,1.36620,0.00000,
1s17_28.5-26.5cm_20um_rec_voi_0926.bmp,19.06762,37,142.11676,13.40556,9.43278,47.66552,111.69011,8.33163,0.36231,0.67920,-0.05728,23,14,3.27401,12.99229,19.62886,125.43720,128.71121,88.26348,90.56722,,,,,,,,,,,,120.10639,0.80786,0.24005,2.30479,0.39295,1.37540,0.00000,
1s17_28.5-26.5cm_20um_rec_voi_0925.bmp,19.04703,40,142.11676,13.84880,9.74466,47.66552,114.16779,8.24387,0.34622,0.66394,-0.49280,27,13,3.25859,11.74888,19.04783,125.00938,128.26796,87.96244,90.25534,,,,,,,,,,,,120.54510,0.80239,0.24260,2.24701,0.40167,1.37711,0.00000,
1s17_28.5-26.5cm_20um_rec_voi_0924.bmp,19.02644,37,142.11676,14.28558,10.05200,47.66552,115.97483,8.11831,0.38610,0.70114,-0.06339,23,14,3.32802,11.85123,18.89459,124.50317,127.83118,87.60625,89.94800,,,,,,,,,,,,120.93667,0.79595,0.24636,2.20446,0.40803,1.38732,0.00000,
1s17_28.5-26.5cm_20um_rec_voi_0923.bmp,19.00585,37,142.11676,14.66623,10.31985,47.66552,118.35273,8.06974,0.39638,0.71042,0.01182,23,14,3.97134,15.02281,21.30824,123.47919,127.45053,86.88573,89.68015,,,,,,,,,,,,121.37624,0.79149,0.24784,2.15374,0.41639,1.37731,0.00000,
