
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_30.5-28.5cm_20um\1s17_30.5-28.5cm_20um_Rec\VOI\1s17_30.5-28.5cm_20um_rec_voi_

<<<<< Begin of task (bfff748d-d1a1-4157-83c1-d59c35a51284) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_30.5-28.5cm_20um\1s17_30.5-28.5cm_20um_Rec\VOI\1s17_30.5-28.5cm_20um_rec_voi_0130.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 556, 617
Total number of images, 971
Total Z-position range, 100, 1070
Number of images inside VOI, 971
Z-position range of VOI, 100, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 13:47:04 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 13:47:05 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 13:47:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
958 speckles removed
[ 11/24/20 13:47:08 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 13:47:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 13:47:11 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 13:47:45 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:34
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_30.5-28.5cm_20um\1s17_30.5-28.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_30.5-28.5cm_20um_rec_voi_1070.bmp,22.03278,72,145.45580,34.85084,23.95974,48.28326,264.62418,7.59305,0.48404,0.78505,-1.19743,47,25,6.94107,8.36705,16.60865,103.66390,110.60497,71.26831,76.04026,,,,,,,,,,,,108.16653,0.27236,0.26340,0.83594,0.90964,1.60962,0.24710,
1s17_30.5-28.5cm_20um_rec_voi_1069.bmp,22.01219,73,145.45580,34.62081,23.80160,48.28326,266.20033,7.68903,0.47426,0.77707,-1.21809,49,24,7.05449,8.64826,16.92727,103.78050,110.83499,71.34848,76.19840,,,,,,,,,,,,109.01305,0.26393,0.26011,0.83272,0.91506,1.59410,0.22651,
1s17_30.5-28.5cm_20um_rec_voi_1068.bmp,21.99160,77,145.45580,34.41544,23.66041,48.28326,266.28406,7.73734,0.44695,0.75437,-1.01313,55,22,8.22861,8.42079,19.29604,102.81175,111.04037,70.68247,76.33959,,,,,,,,,,,,111.81581,0.25795,0.25849,0.83400,0.91534,1.54509,0.22651,
1s17_30.5-28.5cm_20um_rec_voi_1067.bmp,21.97101,81,145.45580,34.21250,23.52089,48.28326,266.60388,7.79259,0.42238,0.73334,-0.84461,58,23,7.07680,6.05995,17.13956,104.16650,111.24331,71.61385,76.47911,,,,,,,,,,,,113.90394,0.25182,0.25665,0.83452,0.91644,1.61397,0.22651,
1s17_30.5-28.5cm_20um_rec_voi_1066.bmp,21.95042,83,145.45580,34.17232,23.49327,48.28326,269.65776,7.89112,0.41171,0.72402,-0.99605,56,27,7.16399,7.22099,17.33099,104.11949,111.28348,71.58153,76.50673,,,,,,,,,,,,115.31167,0.22764,0.25345,0.82537,0.92694,1.61663,0.28828,
1s17_30.5-28.5cm_20um_rec_voi_1065.bmp,21.92982,86,145.45580,34.00357,23.37725,48.28326,268.96714,7.90997,0.39539,0.70953,-0.80543,62,24,7.13823,5.79201,17.35032,104.31400,111.45224,71.71526,76.62275,,,,,,,,,,,,113.91161,0.20443,0.25285,0.82874,0.92457,1.61538,0.32946,
1s17_30.5-28.5cm_20um_rec_voi_1064.bmp,21.90923,84,145.45580,33.88267,23.29414,48.28326,267.78077,7.90318,0.40337,0.71665,-0.86258,61,23,7.25149,6.29827,17.62888,104.32164,111.57313,71.72050,76.70586,,,,,,,,,,,,115.67238,0.19504,0.25306,0.83332,0.92049,1.61185,0.37064,
1s17_30.5-28.5cm_20um_rec_voi_1063.bmp,21.88864,84,145.45580,33.93133,23.32759,48.28326,268.72091,7.91955,0.40394,0.71716,-0.87106,60,24,7.17024,6.28913,17.44518,104.35423,111.52448,71.74291,76.67241,,,,,,,,,,,,119.59027,0.19241,0.25254,0.83004,0.92372,1.61317,0.37064,
