
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_31-29cm_20um\1s17_31-29cm_20um_Rec\VOI\1s17_31-29cm_20um_rec_voi_

<<<<< Begin of task (97e33223-7076-4865-9d1a-38ffbdedd5d9) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_31-29cm_20um\1s17_31-29cm_20um_Rec\VOI\1s17_31-29cm_20um_rec_voi_0074.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1021
Total Z-position range, 60, 1080
Number of images inside VOI, 1021
Z-position range of VOI, 60, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 14:07:18 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 14:07:19 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 14:07:19 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1149 speckles removed
[ 11/24/20 14:07:22 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 14:07:22 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 14:07:25 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 14:08:00 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:35
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_31-29cm_20um\1s17_31-29cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_31-29cm_20um_rec_voi_1080.bmp,22.23870,95,95.39543,35.42287,37.13267,36.54877,287.08366,8.10447,0.37287,0.68903,-0.42396,69,26,7.38813,3.19422,17.25755,52.58443,59.97256,55.12259,62.86733,,,,,,,,,,,,89.30552,0.16018,0.24678,0.41781,1.50470,1.65216,11.11154,
1s17_31-29cm_20um_rec_voi_1079.bmp,22.21810,91,95.39543,35.29297,36.99650,36.54877,285.04193,8.07645,0.38783,0.70271,-0.22363,70,21,7.36751,1.70785,17.27011,52.73495,60.10246,55.28037,63.00350,,,,,,,,,,,,112.91380,0.13804,0.24763,0.42171,1.49400,1.65222,11.29686,
1s17_31-29cm_20um_rec_voi_1078.bmp,22.19751,91,95.39543,35.18522,36.88355,36.54877,283.44787,8.05588,0.38665,0.70164,-0.49311,70,21,7.47277,3.74751,17.51787,52.73744,60.21021,55.28298,63.11645,,,,,,,,,,,,134.66211,0.16555,0.24827,0.42484,1.48565,1.65115,11.44100,
1s17_31-29cm_20um_rec_voi_1077.bmp,22.17692,92,95.39543,35.13031,36.82599,36.54877,284.23448,8.09086,0.38185,0.69727,-0.73427,64,28,7.46350,5.56334,17.52249,52.80162,60.26512,55.35027,63.17401,,,,,,,,,,,,145.40367,0.19349,0.24719,0.42405,1.48977,1.65215,11.74531,
1s17_31-29cm_20um_rec_voi_1076.bmp,22.15633,84,95.39543,35.03984,36.73115,36.54877,284.01065,8.10536,0.41714,0.72878,-0.65975,59,25,7.29697,4.89684,17.23552,53.05862,60.35559,55.61967,63.26885,,,,,,,,,,,,150.87483,0.21228,0.24675,0.42502,1.48860,1.64988,12.43938,
1s17_31-29cm_20um_rec_voi_1075.bmp,22.13574,92,95.39543,34.86880,36.55186,36.54877,282.03716,8.08852,0.37901,0.69467,-0.76621,67,25,7.28706,5.65605,17.28599,53.23957,60.52662,55.80935,63.44814,,,,,,,,,,,,154.02185,0.23496,0.24726,0.42921,1.47825,1.64832,12.61514,
1s17_31-29cm_20um_rec_voi_1074.bmp,22.11515,86,95.39543,34.62468,36.29596,36.54877,277.99782,8.02889,0.40261,0.71598,-0.96073,59,27,7.25393,7.04420,17.32133,53.51681,60.77075,56.09998,63.70404,,,,,,,,,,,,158.16350,0.24963,0.24910,0.43720,1.45708,1.64334,12.65736,
1s17_31-29cm_20um_rec_voi_1073.bmp,22.09456,85,95.39543,34.42566,36.08733,36.54877,275.63077,8.00655,0.40501,0.71810,-0.63501,58,27,7.21598,4.64147,17.32877,53.75378,60.96976,56.34838,63.91267,,,,,,,,,,,,161.90416,0.26156,0.24980,0.44240,1.44467,1.64125,12.80649,
