
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_33-31cm_20um\1s17_33-31cm_20um_Rec\VOI\1s17_33-31cm_20um_rec_voi_

<<<<< Begin of task (9d4d0947-aeab-436c-8d8d-ff4dd75220bd) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_33-31cm_20um\1s17_33-31cm_20um_Rec\VOI\1s17_33-31cm_20um_rec_voi_0100.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 582, 564
Total number of images, 1001
Total Z-position range, 70, 1070
Number of images inside VOI, 1001
Z-position range of VOI, 70, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 14:20:21 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 11/24/20 14:20:22 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 14:20:22 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1106 speckles removed
[ 11/24/20 14:20:25 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 14:20:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 14:20:28 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 14:21:01 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_33-31cm_20um\1s17_33-31cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_33-31cm_20um_rec_voi_1070.bmp,22.03278,68,139.17883,27.79931,19.97381,47.17133,201.69937,7.25555,0.40881,0.72147,1.09562,58,10,6.75451,-7.37456,19.54779,104.62501,111.37952,75.17308,80.02619,,,,,,,,,,,,32.99096,0.27432,0.27565,1.10441,0.72461,1.50756,0.04118,
1s17_33-31cm_20um_rec_voi_1069.bmp,22.01219,67,139.17883,27.61985,19.84487,47.17133,199.69626,7.23017,0.41224,0.72448,0.79248,58,9,5.78624,-4.55843,17.32091,105.77274,111.55898,75.99772,80.15513,,,,,,,,,,,,29.01856,0.28650,0.27662,1.11729,0.71741,1.50391,0.04118,
1s17_33-31cm_20um_rec_voi_1068.bmp,21.99160,76,139.17883,27.41426,19.69715,47.17133,199.93351,7.29305,0.36071,0.67770,0.36738,64,12,5.99273,-2.17347,17.93855,105.77184,111.76457,75.99707,80.30285,,,,,,,,,,,,26.23426,0.31606,0.27423,1.11802,0.71826,1.50336,0.04118,
1s17_33-31cm_20um_rec_voi_1067.bmp,21.97101,80,139.17883,27.26120,19.58717,47.17133,199.53581,7.31941,0.34076,0.65869,1.08742,68,12,6.16567,-6.69030,18.44525,105.75196,111.91763,75.98279,80.41283,,,,,,,,,,,,25.41228,0.34570,0.27325,1.12178,0.71683,1.50642,0.04118,
1s17_33-31cm_20um_rec_voi_1066.bmp,21.95042,75,139.17883,27.21943,19.55716,47.17133,200.61948,7.37045,0.36293,0.67977,0.16996,62,13,5.98345,-0.98830,18.02089,105.97595,111.95940,76.14372,80.44284,,,,,,,,,,,,22.75037,0.36962,0.27135,1.11614,0.72073,1.49679,0.06177,
1s17_33-31cm_20um_rec_voi_1065.bmp,21.92982,66,139.17883,27.29851,19.61398,47.17133,197.64918,7.24029,0.41361,0.72569,-0.00922,49,17,5.91540,0.08366,17.81001,105.96492,111.88032,76.13580,80.38602,,,,,,,,,,,,16.58707,0.38168,0.27623,1.13211,0.71005,1.50402,0.06177,
1s17_33-31cm_20um_rec_voi_1064.bmp,21.90923,74,139.17883,27.21710,19.55549,47.17133,196.17831,7.20791,0.36780,0.68432,0.13543,57,17,5.87560,-0.77910,17.75497,106.08613,111.96173,76.22289,80.44451,,,,,,,,,,,,14.38123,0.40226,0.27747,1.14143,0.70477,1.49754,0.06177,
1s17_33-31cm_20um_rec_voi_1063.bmp,21.88864,74,139.17883,27.18058,19.52925,47.17133,194.27890,7.14771,0.36731,0.68386,-0.18974,56,18,5.55060,1.08290,16.95814,106.44765,111.99825,76.48264,80.47075,,,,,,,,,,,,12.31832,0.42150,0.27981,1.15296,0.69795,1.47284,0.08237,
