
<<<<< Begin of task (377e69bd-ecee-4411-ba26-32d4089e63aa) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_35-33cm_20um\1s17_35-33cm_20um_Rec\VOI\1s17_35-33cm_20um_rec_voi_0194.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 619, 683
Total number of images, 921
Total Z-position range, 180, 1100
Number of images inside VOI, 921
Z-position range of VOI, 180, 1100
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 19:20:59 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 19:20:59 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 19:20:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1680 speckles removed
[ 11/24/20 19:21:02 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 19:21:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 19:21:05 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 19:21:49 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_35-33cm_20um\1s17_35-33cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_35-33cm_20um_rec_voi_1100.bmp,22.65052,149,179.25961,35.03999,19.54707,53.59584,323.82078,9.24146,0.23517,0.54720,-3.74801,93,56,8.72804,32.79103,19.94158,135.49158,144.21962,75.58400,80.45293,,,,,,,,,,,,62.24448,0.42048,0.21642,0.89074,0.90322,1.65923,0.37064,
1s17_35-33cm_20um_rec_voi_1099.bmp,22.62993,143,179.25961,34.98201,19.51472,53.59584,319.08598,9.12143,0.24463,0.55810,-3.39609,93,50,9.43062,32.10020,21.23409,134.84698,144.27760,75.22441,80.48528,,,,,,,,,,,,61.67123,0.42490,0.21926,0.90432,0.89001,1.65707,0.32946,
1s17_35-33cm_20um_rec_voi_1098.bmp,22.60934,139,179.25961,34.79222,19.40884,53.59584,316.93412,9.10934,0.25030,0.56453,-2.72855,87,52,9.21602,25.21960,20.94157,135.25138,144.46739,75.45000,80.59116,,,,,,,,,,,,60.61108,0.42405,0.21955,0.91166,0.88401,1.65528,0.28828,
1s17_35-33cm_20um_rec_voi_1097.bmp,22.58875,145,179.25961,34.78172,19.40299,53.59584,311.89933,8.96733,0.23987,0.55265,-3.15204,99,46,8.39853,26.56350,19.44994,136.07935,144.47789,75.91189,80.59701,,,,,,,,,,,,59.61951,0.42169,0.22303,0.92644,0.86997,1.65369,0.28828,
1s17_35-33cm_20um_rec_voi_1096.bmp,22.56816,120,179.25961,34.69581,19.35506,53.59584,308.56923,8.89356,0.28913,0.60674,-2.11253,71,49,8.11450,17.22143,18.95455,136.44930,144.56380,76.11826,80.64494,,,,,,,,,,,,58.36470,0.41173,0.22488,0.93699,0.86068,1.64987,0.28828,
1s17_35-33cm_20um_rec_voi_1095.bmp,22.54757,129,179.25961,34.53633,19.26610,53.59584,307.09236,8.89186,0.26772,0.58385,-2.61181,86,43,8.40781,22.04496,19.57848,136.31547,144.72328,76.04361,80.73390,,,,,,,,,,,,56.29165,0.39334,0.22492,0.94254,0.85656,1.64681,0.30887,
1s17_35-33cm_20um_rec_voi_1094.bmp,22.52697,117,179.25961,34.51990,19.25693,53.59584,304.80854,8.82994,0.29504,0.61291,-3.75283,71,46,9.40067,35.37155,21.40380,135.33904,144.73971,75.49890,80.74307,,,,,,,,,,,,54.38298,0.38028,0.22650,0.94971,0.85019,1.64368,0.26769,
1s17_35-33cm_20um_rec_voi_1093.bmp,22.50638,115,179.25961,34.48921,19.23981,53.59584,298.03271,8.64133,0.29991,0.61794,-2.43535,70,45,10.53292,25.71829,23.39499,134.23748,144.77040,74.88440,80.76019,,,,,,,,,,,,53.09202,0.36516,0.23145,0.97151,0.83129,1.63930,0.22651,
