
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_35-33cm_20um\1s17_35-33cm_20um_Rec\VOI\1s17_35-33cm_20um_rec_voi_

<<<<< Begin of task (71161110-78fb-46ce-aa5d-e373411452c1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_35-33cm_20um\1s17_35-33cm_20um_Rec\VOI\1s17_35-33cm_20um_rec_voi_0088.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 607, 645
Total number of images, 851
Total Z-position range, 60, 910
Number of images inside VOI, 851
Z-position range of VOI, 60, 910
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 14:48:43 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 14:48:44 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 14:48:44 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
893 speckles removed
[ 11/24/20 14:48:47 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 14:48:47 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 14:48:50 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 14:49:26 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\35-18\1s17_35-33cm_20um\1s17_35-33cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_35-33cm_20um_rec_voi_0910.bmp,18.73816,54,166.00436,36.68678,22.09989,51.53670,254.07504,6.92552,0.67938,0.93006,-1.57367,32,22,7.04988,11.11958,16.11893,122.26771,129.31759,73.65331,77.90011,,,,,,,,,,,,145.97596,0.62451,0.28879,1.01795,0.76527,1.65031,0.12355,
1s17_35-33cm_20um_rec_voi_0909.bmp,18.71757,48,166.00436,36.76506,22.14704,51.53670,257.06275,6.99204,0.76594,0.98753,-2.84857,25,23,8.20757,23.41318,18.25015,121.03173,129.23930,72.90876,77.85296,,,,,,,,,,,,144.20573,0.61796,0.28604,1.00551,0.77427,1.65111,0.14414,
1s17_35-33cm_20um_rec_voi_0908.bmp,18.69698,50,166.00436,36.81642,22.17798,51.53670,260.09044,7.06452,0.73633,0.96826,-2.66732,25,25,7.33863,19.60595,16.62013,121.84932,129.18795,73.40127,77.82202,,,,,,,,,,,,142.59211,0.61149,0.28310,0.99341,0.78338,1.65789,0.18532,
1s17_35-33cm_20um_rec_voi_0907.bmp,18.67639,57,166.00436,36.63796,22.07048,51.53670,260.07959,7.09864,0.64277,0.90466,-2.68412,30,27,7.33343,19.71537,16.67774,122.03297,129.36640,73.51190,77.92952,,,,,,,,,,,,140.99616,0.60590,0.28174,0.99482,0.78335,1.65606,0.18532,
1s17_35-33cm_20um_rec_voi_0906.bmp,18.65579,65,166.00436,36.35261,21.89859,51.53670,261.60093,7.19621,0.55927,0.84385,-3.13765,41,24,9.23748,29.01797,20.26204,120.41427,129.65176,72.53681,78.10141,,,,,,,,,,,,139.58615,0.59948,0.27792,0.99122,0.78793,1.65186,0.18532,
1s17_35-33cm_20um_rec_voi_0905.bmp,18.63520,71,166.00436,36.14087,21.77104,51.53670,263.49327,7.29073,0.50903,0.80505,-2.21130,49,22,8.75337,19.38555,19.49776,121.11012,129.86349,72.95599,78.22896,,,,,,,,,,,,138.54979,0.59103,0.27432,0.98571,0.79363,1.65143,0.18532,
1s17_35-33cm_20um_rec_voi_0904.bmp,18.61461,73,166.00436,36.02342,21.70029,51.53670,266.08536,7.38645,0.49347,0.79266,-1.88569,49,24,8.87199,16.75692,19.76146,121.10895,129.98094,72.95528,78.29971,,,,,,,,,,,,137.92968,0.57855,0.27077,0.97699,0.80144,1.65452,0.18532,
1s17_35-33cm_20um_rec_voi_0903.bmp,18.59402,74,166.00436,36.13759,21.76906,51.53670,267.20022,7.39397,0.48835,0.78853,-1.95732,53,21,8.97391,17.59264,19.89273,120.89287,129.86678,72.82512,78.23094,,,,,,,,,,,,137.74649,0.56325,0.27049,0.97206,0.80480,1.65582,0.18532,
