
<<<<< Begin of task (7bc235e8-f368-458a-b8ac-a4f1ee32d3da) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_37-35cm_20um\1s17_37-35cm_20um_Rec\VOI\1s17_37-35cm_20um_rec_voi_0055.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 605, 554
Total number of images, 1021
Total Z-position range, 40, 1060
Number of images inside VOI, 1021
Z-position range of VOI, 40, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 19:41:55 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 19:41:56 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 19:41:56 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1418 speckles removed
[ 11/24/20 19:41:59 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 19:41:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 19:42:01 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 19:42:43 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_37-35cm_20um\1s17_37-35cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_37-35cm_20um_rec_voi_1060.bmp,21.82687,60,142.11380,31.60391,22.23845,47.70671,213.65095,6.76027,0.52673,0.81894,-0.29981,43,17,5.99066,1.82626,15.93491,104.51922,110.50988,73.54615,77.76155,,,,,,,,,,,,98.71881,0.55144,0.29585,1.03449,0.75169,1.57492,0.10296,
1s17_37-35cm_20um_rec_voi_1059.bmp,21.80628,63,142.11380,31.83611,22.40184,47.70671,216.46808,6.79945,0.50534,0.80213,-0.93543,46,17,8.72454,8.21210,21.50987,101.55315,110.27769,71.45904,77.59816,,,,,,,,,,,,98.76789,0.53943,0.29414,1.01888,0.76160,1.57627,0.10296,
1s17_37-35cm_20um_rec_voi_1058.bmp,21.78568,57,142.11380,32.11208,22.59603,47.70671,218.26271,6.79690,0.56337,0.84694,-1.46474,38,19,7.55683,11.12265,19.04976,102.44488,110.00171,72.08652,77.40397,,,,,,,,,,,,99.12991,0.52845,0.29425,1.00798,0.76792,1.58196,0.12355,
1s17_37-35cm_20um_rec_voi_1057.bmp,21.76509,57,142.11380,32.35594,22.76763,47.70671,220.82860,6.82498,0.56765,0.85015,-1.21870,38,19,7.73915,9.48534,19.30200,102.01871,109.75786,71.78663,77.23237,,,,,,,,,,,,99.33448,0.52149,0.29304,0.99405,0.77694,1.58101,0.16473,
1s17_37-35cm_20um_rec_voi_1056.bmp,21.74450,53,142.11380,32.54160,22.89827,47.70671,221.68259,6.81228,0.61399,0.88417,-1.30057,39,14,7.66299,10.02157,19.05999,101.90921,109.57220,71.70958,77.10173,,,,,,,,,,,,99.50270,0.51681,0.29359,0.98855,0.77995,1.58099,0.20591,
1s17_37-35cm_20um_rec_voi_1055.bmp,21.72391,58,142.11380,32.67474,22.99195,47.70671,223.14983,6.82943,0.56336,0.84693,-0.56884,43,15,7.70057,4.43106,19.07247,101.73849,109.43906,71.58945,77.00805,,,,,,,,,,,,101.03122,0.51201,0.29285,0.98086,0.78511,1.58286,0.24710,
1s17_37-35cm_20um_rec_voi_1054.bmp,21.70332,54,142.11380,32.72811,23.02951,47.70671,224.35205,6.85503,0.60608,0.87845,-1.65173,38,16,7.28001,12.08485,18.19633,102.10568,109.38569,71.84783,76.97049,,,,,,,,,,,,103.21183,0.50294,0.29176,0.97513,0.78934,1.58683,0.26769,
1s17_37-35cm_20um_rec_voi_1053.bmp,21.68273,62,142.11380,32.66000,22.98158,47.70671,224.17697,6.86396,0.52677,0.81897,-0.79360,39,23,7.26331,5.81714,18.19316,102.19048,109.45379,71.90750,77.01842,,,,,,,,,,,,106.78161,0.48993,0.29138,0.97649,0.78872,1.58601,0.26769,
