
<<<<< Begin of task (21d66803-1369-4de9-959d-3d7e2acb9a97) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_40-38cm_20um\1s17_40-38cm_20um_Rec\VOI\1s17_40-38cm_20um_rec_voi_0189.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 542, 563
Total number of images, 931
Total Z-position range, 150, 1080
Number of images inside VOI, 931
Z-position range of VOI, 150, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 20:12:17 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 20:12:17 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 20:12:17 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2314 speckles removed
[ 11/24/20 20:12:20 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:12:20 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 20:12:22 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:12:59 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_40-38cm_20um\1s17_40-38cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_40-38cm_20um_rec_voi_1080.bmp,22.23870,73,129.38347,38.01428,29.38110,45.48284,268.42828,7.06125,0.52074,0.81427,-2.40055,46,27,7.80085,18.72784,17.02679,83.56833,91.36918,64.58966,70.61890,,,,,,,,,,,,12.26888,0.24255,0.28324,0.68077,1.03734,1.61696,0.00000,
1s17_40-38cm_20um_rec_voi_1079.bmp,22.21810,81,129.38347,37.82301,29.23326,45.48284,267.57258,7.07433,0.46695,0.77106,-1.76806,56,25,7.53521,13.32361,16.61266,84.02525,91.56046,64.94281,70.76674,,,,,,,,,,,,12.94571,0.24663,0.28271,0.68438,1.03403,1.61333,0.00000,
1s17_40-38cm_20um_rec_voi_1078.bmp,22.19751,75,129.38347,37.49021,28.97605,45.48284,263.81602,7.03693,0.49987,0.79778,-1.74873,47,28,7.40753,12.98744,16.49867,84.48572,91.89325,65.29870,71.02395,,,,,,,,,,,,15.99850,0.25153,0.28421,0.69665,1.01951,1.60815,0.04118,
1s17_40-38cm_20um_rec_voi_1077.bmp,22.17692,75,129.38347,37.21684,28.76476,45.48284,260.25724,6.99300,0.49622,0.79487,-1.61137,52,23,7.30842,11.81312,16.41409,84.85821,92.16663,65.58660,71.23524,,,,,,,,,,,,17.18332,0.25624,0.28600,0.70827,1.00576,1.60508,0.12355,
1s17_40-38cm_20um_rec_voi_1076.bmp,22.15633,74,129.38347,37.03584,28.62486,45.48284,258.70557,6.98528,0.50048,0.79827,-1.71280,53,21,7.37318,12.66797,16.60290,84.97444,92.34763,65.67643,71.37514,,,,,,,,,,,,15.24220,0.26262,0.28632,0.71392,0.99976,1.60214,0.18532,
1s17_40-38cm_20um_rec_voi_1075.bmp,22.13574,75,129.38347,36.83020,28.46592,45.48284,257.79491,6.99955,0.49107,0.79073,-1.62295,49,26,7.29167,11.86016,16.52620,85.26160,92.55327,65.89837,71.53408,,,,,,,,,,,,14.64818,0.26816,0.28573,0.71804,0.99624,1.60190,0.18532,
1s17_40-38cm_20um_rec_voi_1074.bmp,22.11515,73,129.38347,36.73655,28.39354,45.48284,260.64616,7.09501,0.50324,0.80047,-2.26147,48,25,7.42073,16.81173,16.80522,85.22619,92.64692,65.87101,71.60646,,,,,,,,,,,,16.89847,0.26946,0.28189,0.71090,1.00726,1.60261,0.18532,
1s17_40-38cm_20um_rec_voi_1073.bmp,22.09456,73,129.38347,36.77884,28.42623,45.48284,260.58791,7.08527,0.50382,0.80093,-1.69608,53,20,7.32750,12.45499,16.61325,85.27713,92.60463,65.91038,71.57377,,,,,,,,,,,,22.57759,0.26704,0.28228,0.71074,1.00704,1.60313,0.18532,
