
<<<<< Begin of task (0c45f360-7885-4679-922d-c92038249627) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_46-44cm_20um\1s17_46-44cm_20um_Rec\VOI\1s17_46-44cm_20um_rec_voi_0230.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 561, 541
Total number of images, 871
Total Z-position range, 200, 1070
Number of images inside VOI, 871
Z-position range of VOI, 200, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 20:36:01 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 20:36:02 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 20:36:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5040 speckles removed
[ 11/24/20 20:36:04 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:36:04 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 20:36:06 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:36:41 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:35
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_46-44cm_20um\1s17_46-44cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_46-44cm_20um_rec_voi_1070.bmp,22.03278,62,128.68598,31.77219,24.68970,45.35929,217.75453,6.85362,0.51245,0.80776,-0.77412,43,19,5.82382,4.56310,15.49052,91.08997,96.91379,70.78469,75.31030,,,,,,,,,,,,101.57076,0.32259,0.29182,0.89012,0.84607,1.53953,0.37064,
1s17_46-44cm_20um_rec_voi_1069.bmp,22.01219,61,128.68598,31.77288,24.69024,45.35929,218.99087,6.89238,0.52087,0.81436,-1.53005,45,16,8.96485,13.76763,22.00625,87.94825,96.91310,68.34331,75.30976,,,,,,,,,,,,99.03611,0.32123,0.29018,0.88509,0.85087,1.54121,0.37064,
1s17_46-44cm_20um_rec_voi_1068.bmp,21.99160,66,128.68598,31.68929,24.62529,45.35929,220.05784,6.94423,0.48014,0.78188,-1.16070,49,17,7.25870,8.47197,18.63691,89.73798,96.99668,69.73408,75.37471,,,,,,,,,,,,95.00658,0.32259,0.28801,0.88156,0.85502,1.54136,0.37064,
1s17_46-44cm_20um_rec_voi_1067.bmp,21.97101,65,128.68598,31.60195,24.55741,45.35929,221.40102,7.00593,0.48618,0.78678,-1.94037,44,21,7.53240,14.67159,19.24754,89.55163,97.08403,69.58927,75.44259,,,,,,,,,,,,91.12230,0.32351,0.28547,0.87700,0.86024,1.54146,0.37064,
1s17_46-44cm_20um_rec_voi_1066.bmp,21.95042,62,128.68598,31.45620,24.44415,45.35929,223.20529,7.09575,0.50736,0.80373,-2.63881,37,25,14.17348,37.46381,31.06198,83.05630,97.22978,64.54184,75.55585,,,,,,,,,,,,86.72111,0.32668,0.28186,0.87121,0.86725,1.54774,0.37064,
1s17_46-44cm_20um_rec_voi_1065.bmp,21.92982,73,128.68598,31.34431,24.35721,45.35929,224.85053,7.17357,0.42937,0.73939,-2.52353,51,22,14.36524,36.31362,31.42722,82.97642,97.34166,64.47977,75.64279,,,,,,,,,,,,82.70782,0.32752,0.27880,0.86583,0.87364,1.54805,0.37064,
1s17_46-44cm_20um_rec_voi_1064.bmp,21.90923,70,128.68598,31.21833,24.25931,45.35929,225.32317,7.21766,0.44598,0.75355,-2.11214,50,20,14.23571,30.13691,31.31890,83.23194,97.46765,64.67833,75.74069,,,,,,,,,,,,79.07067,0.32808,0.27710,0.86514,0.87548,1.55180,0.37064,
1s17_46-44cm_20um_rec_voi_1063.bmp,21.88864,72,128.68598,30.97352,24.06907,45.35929,226.12013,7.30043,0.43019,0.74009,-2.17860,55,17,14.01088,30.59285,31.14608,83.70158,97.71246,65.04328,75.93093,,,,,,,,,,,,75.37841,0.32922,0.27396,0.86425,0.87857,1.55262,0.35005,
