
<<<<< Begin of task (619068b5-6136-4321-b298-ca36c40c8280) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_48-46cm_20um\1s17_48-46cm_20um_Rec\VOI\1s17_48-46cm_20um_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 577, 602
Total number of images, 1021
Total Z-position range, 60, 1080
Number of images inside VOI, 1021
Z-position range of VOI, 60, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 20:43:17 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 20:43:17 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 20:43:17 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1662 speckles removed
[ 11/24/20 20:43:20 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:43:20 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 20:43:23 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:43:59 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_48-46cm_20um\1s17_48-46cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_48-46cm_20um_rec_voi_1080.bmp,22.23870,70,147.27987,32.67648,22.18666,48.53036,237.97435,7.28274,0.46681,0.77095,-0.77378,49,21,6.27952,4.89135,16.11951,108.32387,114.60339,73.54968,77.81334,,,,,,,,,,,,133.35483,0.45584,0.27462,0.96316,0.80790,1.58180,0.06177,
1s17_48-46cm_20um_rec_voi_1079.bmp,22.21810,72,147.27987,32.69233,22.19742,48.53036,235.18669,7.19394,0.45406,0.76035,-1.08002,47,25,7.42989,8.05772,18.51815,107.15765,114.58754,72.75783,77.80258,,,,,,,,,,,,130.67700,0.45849,0.27801,0.97444,0.79843,1.57856,0.10296,
1s17_48-46cm_20um_rec_voi_1078.bmp,22.19751,77,147.27987,32.79266,22.26554,48.53036,235.18119,7.17176,0.42588,0.73637,-0.29030,54,23,6.90667,2.03575,17.39745,107.58054,114.48721,73.04497,77.73446,,,,,,,,,,,,128.05086,0.45636,0.27887,0.97361,0.79842,1.57548,0.18532,
1s17_48-46cm_20um_rec_voi_1077.bmp,22.17692,69,147.27987,32.95850,22.37814,48.53036,233.86249,7.09567,0.47766,0.77986,-0.09690,49,20,6.56943,0.65416,16.61971,107.75194,114.32137,73.16135,77.62186,,,,,,,,,,,,125.03586,0.44648,0.28186,0.97768,0.79394,1.57378,0.18532,
1s17_48-46cm_20um_rec_voi_1076.bmp,22.15633,64,147.27987,33.07012,22.45393,48.53036,232.32995,7.02537,0.51672,0.81112,-0.90531,38,26,9.27728,8.42109,21.90756,104.93247,114.20975,71.24698,77.54607,,,,,,,,,,,,122.32737,0.43707,0.28468,0.98317,0.78874,1.57038,0.18532,
1s17_48-46cm_20um_rec_voi_1075.bmp,22.13574,55,147.27987,33.21333,22.55117,48.53036,228.61886,6.88335,0.60388,0.87686,-1.33682,29,26,12.47868,16.70604,27.31043,101.58786,114.06655,68.97607,77.44883,,,,,,,,,,,,119.99637,0.43422,0.29056,0.99788,0.77614,1.56853,0.18532,
1s17_48-46cm_20um_rec_voi_1074.bmp,22.11515,57,147.27987,33.43773,22.70353,48.53036,228.36177,6.82946,0.58663,0.86424,-0.34012,38,19,13.05395,4.45891,28.07804,100.78819,113.84214,68.43310,77.29647,,,,,,,,,,,,117.65902,0.42863,0.29285,0.99703,0.77526,1.48334,0.18532,
1s17_48-46cm_20um_rec_voi_1073.bmp,22.09456,51,147.27987,33.58163,22.80123,48.53036,227.31135,6.76892,0.65846,0.91563,-0.88682,28,23,12.76303,11.34021,27.53938,100.93521,113.69824,68.53293,77.19877,,,,,,,,,,,,115.84578,0.42775,0.29547,1.00037,0.77170,1.56447,0.18532,
