
<<<<< Begin of task (add59128-8b4d-4b20-8cbc-3f11b5ffcc38) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_5-3cm_20um\1s17_5-3cm_20um_Rec\VOI\VOI\1s17_5-3cm_20um_rec_voi_0130.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 941
Total Z-position range, 100, 1040
Number of images inside VOI, 941
Z-position range of VOI, 100, 1040
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/23/20 16:08:55 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/23/20 16:08:56 ]	Thresholding done

-----------------------------------------------------------------
[ 11/23/20 16:08:56 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3141 speckles removed
[ 11/23/20 16:08:59 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 16:08:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/23/20 16:09:01 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 16:09:44 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_5-3cm_20um\1s17_5-3cm_20um_Rec\VOI\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_5-3cm_20um_rec_voi_1040.bmp,21.41504,148,93.99345,30.92094,32.89691,36.26756,340.43080,11.00972,0.20893,0.51576,-0.15845,119,29,8.75528,1.45227,22.06682,54.31723,63.07251,57.78831,67.10309,,,,,,,,,,,,166.54420,0.36813,0.18166,0.37055,1.81093,1.68153,12.54751,
1s17_5-3cm_20um_rec_voi_1039.bmp,21.39445,155,93.99345,30.86127,32.83342,36.26756,341.04833,11.05102,0.19910,0.50350,0.09436,136,19,8.84045,-0.77195,22.26718,54.29174,63.13219,57.76119,67.16658,,,,,,,,,,,,166.45915,0.39019,0.18098,0.37022,1.81421,1.67925,13.05919,
1s17_5-3cm_20um_rec_voi_1038.bmp,21.37386,156,93.99345,30.98932,32.96965,36.26756,344.01642,11.10113,0.19865,0.50292,-0.28472,128,28,8.88720,2.59676,22.28680,54.11694,63.00414,57.57522,67.03035,,,,,,,,,,,,165.28339,0.40222,0.18016,0.36629,1.83000,1.66816,13.37806,
1s17_5-3cm_20um_rec_voi_1037.bmp,21.35327,156,93.99345,31.22448,33.21984,36.26756,342.43356,10.96683,0.20016,0.50482,-0.11369,136,20,8.78565,1.07542,21.95857,53.98332,62.76898,57.43307,66.78016,,,,,,,,,,,,164.39114,0.40936,0.18237,0.36661,1.82158,1.68436,13.27157,
1s17_5-3cm_20um_rec_voi_1036.bmp,21.33267,141,93.99345,31.48143,33.49321,36.26756,341.89939,10.86035,0.22327,0.53318,-0.10084,118,23,8.67769,0.96343,21.60827,53.83434,62.51203,57.27456,66.50679,,,,,,,,,,,,163.24694,0.41130,0.18416,0.36567,1.81874,1.68354,12.94667,
1s17_5-3cm_20um_rec_voi_1035.bmp,21.31208,142,93.99345,31.66173,33.68504,36.26756,342.08532,10.80438,0.22297,0.53282,-0.18781,119,23,8.67764,1.70144,21.51158,53.65408,62.33172,57.08279,66.31496,,,,,,,,,,,,162.53283,0.42104,0.18511,0.36442,1.81973,1.68986,12.82916,
1s17_5-3cm_20um_rec_voi_1034.bmp,21.29149,140,93.99345,31.77478,33.80532,36.26756,340.50246,10.71612,0.22696,0.53757,-0.06500,122,18,8.74251,0.59778,21.57723,53.47616,62.21867,56.89350,66.19468,,,,,,,,,,,,162.55928,0.42153,0.18663,0.36545,1.81131,1.67993,12.60265,
1s17_5-3cm_20um_rec_voi_1033.bmp,21.27090,131,93.99345,31.83860,33.87321,36.26756,339.24699,10.65521,0.24304,0.55628,-0.90024,108,23,9.05039,8.21189,22.13405,53.10447,62.15486,56.49805,66.12679,,,,,,,,,,,,162.10152,0.40770,0.18770,0.36643,1.80463,1.68400,12.46101,
