
<<<<< Begin of task (0b78b85c-9a6d-4669-82df-c0ab5f4d37ec) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_50-48cm_20um\1s17_50-48cm_20um_Rec\VOI\1s17_50-48cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 851
Total Z-position range, 50, 900
Number of images inside VOI, 851
Z-position range of VOI, 50, 900
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/24/20 20:58:29 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/24/20 20:58:29 ]	Thresholding done

-----------------------------------------------------------------
[ 11/24/20 20:58:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1786 speckles removed
[ 11/24/20 20:58:31 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:58:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/24/20 20:58:33 ]	Despeckle done

-----------------------------------------------------------------
[ 11/24/20 20:59:10 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\50-33\1s17_50-48cm_20um\1s17_50-48cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_50-48cm_20um_rec_voi_0900.bmp,18.53225,67,95.39543,37.78538,39.60921,36.54877,274.98033,7.27743,0.56396,0.84738,-0.50737,46,21,8.87671,4.50379,19.02338,48.73335,57.61005,51.08562,60.39079,,,,,,,,,,,,165.74761,0.38666,0.27482,0.41901,1.44127,1.65693,10.64543,
1s17_50-48cm_20um_rec_voi_0899.bmp,18.51165,65,95.39543,37.95291,39.78483,36.54877,272.05550,7.16824,0.58389,0.86223,-1.19292,46,19,8.49044,10.12927,18.28128,48.95208,57.44252,51.31491,60.21517,,,,,,,,,,,,165.68121,0.38311,0.27901,0.42229,1.42594,1.65362,10.85634,
1s17_50-48cm_20um_rec_voi_0898.bmp,18.49106,64,95.39543,38.00093,39.83517,36.54877,273.32631,7.19262,0.59376,0.86949,-0.79765,47,17,8.12097,6.47799,17.60762,49.27353,57.39450,51.65188,60.16483,,,,,,,,,,,,165.75671,0.37796,0.27806,0.41997,1.43260,1.65471,11.09181,
1s17_50-48cm_20um_rec_voi_0897.bmp,18.47047,67,95.39543,38.07566,39.91351,36.54877,277.80624,7.29616,0.56829,0.85063,-2.07809,45,22,9.14489,19.00456,19.36633,48.17488,57.31977,50.50020,60.08649,,,,,,,,,,,,165.57373,0.37749,0.27412,0.41266,1.45608,1.65569,11.45185,
1s17_50-48cm_20um_rec_voi_0896.bmp,18.44988,74,95.39543,38.10831,39.94773,36.54877,278.60628,7.31091,0.51498,0.80975,-1.46955,51,23,8.72099,12.81715,18.62294,48.56613,57.28712,50.91033,60.05227,,,,,,,,,,,,165.70758,0.38482,0.27356,0.41124,1.46027,1.65744,11.51509,
1s17_50-48cm_20um_rec_voi_0895.bmp,18.42929,73,95.39543,38.18240,40.02540,36.54877,277.52917,7.26851,0.52305,0.81607,-1.74771,48,25,8.75899,15.30967,18.65942,48.45403,57.21302,50.79283,59.97460,,,,,,,,,,,,165.04548,0.39341,0.27516,0.41230,1.45463,1.65437,11.57833,
1s17_50-48cm_20um_rec_voi_0894.bmp,18.40870,76,95.39543,38.31199,40.16124,36.54877,275.97629,7.20339,0.50411,0.80115,-0.63390,55,21,7.85544,4.98007,17.01511,49.22800,57.08344,51.60415,59.83876,,,,,,,,,,,,164.42106,0.41137,0.27765,0.41368,1.44649,1.65071,11.77364,
1s17_50-48cm_20um_rec_voi_0893.bmp,18.38811,65,95.39543,38.58240,40.44470,36.54877,273.45122,7.08746,0.59358,0.86935,-1.43374,43,22,8.25819,11.84068,17.63041,48.55484,56.81303,50.89850,59.55530,,,,,,,,,,,,163.61039,0.42207,0.28219,0.41553,1.43325,1.64708,11.80630,
