
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_50-48cm_20um\1s17_50-48cm_20um_Rec\VOI\1s17_50-48cm_20um_rec_voi_

<<<<< Begin of task (58e8ce47-2ac9-478d-807c-e68f2d01c437) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_50-48cm_20um\1s17_50-48cm_20um_Rec\VOI\1s17_50-48cm_20um_rec_voi_0155.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 583, 622
Total number of images, 971
Total Z-position range, 110, 1080
Number of images inside VOI, 971
Z-position range of VOI, 110, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/25/20 12:56:39 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 11/25/20 12:56:40 ]	Thresholding done

-----------------------------------------------------------------
[ 11/25/20 12:56:40 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1726 speckles removed
[ 11/25/20 12:56:43 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 12:56:43 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/25/20 12:56:46 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 12:57:32 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:46
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_50-48cm_20um\1s17_50-48cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_50-48cm_20um_rec_voi_1080.bmp,22.23870,64,153.75528,33.19965,21.59253,49.60111,245.37519,7.39090,0.51874,0.81270,-2.39299,36,28,6.96222,16.69611,17.33539,113.59341,120.55563,73.87936,78.40747,,,,,,,,,,,,85.94221,0.60511,0.27060,0.98262,0.79794,1.59081,0.06177,
1s17_50-48cm_20um_rec_voi_1079.bmp,22.21810,65,153.75528,33.07531,21.51166,49.60111,244.68214,7.39773,0.50885,0.80492,-2.51647,36,29,7.03419,17.73859,17.53747,113.64577,120.67997,73.91341,78.48834,,,,,,,,,,,,87.27040,0.60566,0.27035,0.98642,0.79569,1.58987,0.06177,
1s17_50-48cm_20um_rec_voi_1078.bmp,22.19751,62,153.75528,32.90577,21.40139,49.60111,245.79251,7.46959,0.53074,0.82204,-2.20044,38,24,6.90885,15.23800,17.35254,113.94067,120.84951,74.10521,78.59861,,,,,,,,,,,,88.93855,0.60856,0.26775,0.98335,0.79930,1.59009,0.06177,
1s17_50-48cm_20um_rec_voi_1077.bmp,22.17692,62,153.75528,32.76955,21.31280,49.60111,245.15357,7.48114,0.52854,0.82034,-2.74506,38,24,8.07587,22.20561,19.77178,112.90986,120.98573,73.43479,78.68720,,,,,,,,,,,,90.06092,0.61098,0.26734,0.98702,0.79722,1.59419,0.06177,
1s17_50-48cm_20um_rec_voi_1076.bmp,22.15633,58,153.75528,32.67442,21.25092,49.60111,244.15605,7.47239,0.56335,0.84693,-2.46117,36,22,7.79168,19.26114,19.25483,113.28919,121.08086,73.68149,78.74908,,,,,,,,,,,,90.93030,0.61346,0.26765,0.99183,0.79398,1.59454,0.14414,
1s17_50-48cm_20um_rec_voi_1075.bmp,22.13574,61,153.75528,32.72042,21.28084,49.60111,244.50429,7.47253,0.53640,0.82642,-2.51161,41,20,7.00610,17.65916,17.63583,114.02876,121.03486,74.16250,78.71916,,,,,,,,,,,,91.69100,0.61266,0.26765,0.99004,0.79511,1.59759,0.16473,
1s17_50-48cm_20um_rec_voi_1074.bmp,22.11515,60,153.75528,32.65396,21.23762,49.60111,245.15493,7.50766,0.54423,0.83243,-2.57700,37,23,7.78945,20.13526,19.26012,113.31187,121.10132,73.69625,78.76238,,,,,,,,,,,,92.30950,0.61047,0.26639,0.98796,0.79722,1.59954,0.16473,
1s17_50-48cm_20um_rec_voi_1073.bmp,22.09456,62,153.75528,32.47858,21.12355,49.60111,245.07635,7.54578,0.52385,0.81669,-2.20529,37,25,7.50335,16.60718,18.76686,113.77335,121.27670,73.99638,78.87645,,,,,,,,,,,,92.90772,0.60940,0.26505,0.98971,0.79697,1.59952,0.16473,
