
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_52-50cm_20um\1s17_52-50cm_20um_Rec\VOI\1s17_52-50cm_20um_rec_voi_

<<<<< Begin of task (c6ddf529-14c0-4568-8c3b-55b17e66e2a8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_52-50cm_20um\1s17_52-50cm_20um_Rec\VOI\1s17_52-50cm_20um_rec_voi_0069.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 651, 572
Total number of images, 1031
Total Z-position range, 40, 1070
Number of images inside VOI, 1031
Z-position range of VOI, 40, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/25/20 13:15:57 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 11/25/20 13:15:58 ]	Thresholding done

-----------------------------------------------------------------
[ 11/25/20 13:15:58 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1441 speckles removed
[ 11/25/20 13:16:01 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 13:16:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/25/20 13:16:05 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 13:16:47 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_52-50cm_20um\1s17_52-50cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_52-50cm_20um_rec_voi_1070.bmp,22.03278,122,157.88763,31.84639,20.17029,50.34240,282.07178,8.85726,0.26104,0.57651,0.79057,101,21,7.75802,-6.10859,19.58878,118.28322,126.04125,74.91608,79.82971,,,,,,,,,,,,9.03671,0.27607,0.22580,0.89368,0.89327,1.62235,0.18532,
1s17_52-50cm_20um_rec_voi_1069.bmp,22.01219,116,157.88763,32.05707,20.30372,50.34240,283.41461,8.84094,0.27635,0.59318,0.57561,98,18,7.63146,-4.36650,19.22837,118.19911,125.83057,74.86281,79.69628,,,,,,,,,,,,14.39722,0.25311,0.22622,0.88796,0.89752,1.62123,0.16473,
1s17_52-50cm_20um_rec_voi_1068.bmp,21.99160,115,157.88763,32.27548,20.44206,50.34240,284.39143,8.81138,0.28066,0.59778,0.60198,98,17,7.49339,-4.48505,18.84235,118.11876,125.61215,74.81192,79.55794,,,,,,,,,,,,23.71718,0.23057,0.22698,0.88338,0.90061,1.62349,0.16473,
1s17_52-50cm_20um_rec_voi_1067.bmp,21.97101,114,157.88763,32.41191,20.52846,50.34240,284.53083,8.77859,0.28431,0.60167,0.89831,96,18,7.65467,-6.85160,19.10488,117.82106,125.47573,74.62336,79.47154,,,,,,,,,,,,36.05253,0.23346,0.22783,0.88198,0.90105,1.62511,0.14414,
1s17_52-50cm_20um_rec_voi_1066.bmp,21.95042,117,157.88763,32.49469,20.58090,50.34240,283.91087,8.73715,0.27773,0.59466,0.20854,93,24,7.44802,-1.52524,18.64676,117.94492,125.39294,74.70181,79.41910,,,,,,,,,,,,44.92429,0.25610,0.22891,0.88333,0.89909,1.62573,0.14414,
1s17_52-50cm_20um_rec_voi_1065.bmp,21.92982,109,157.88763,32.56773,20.62716,50.34240,284.37922,8.73193,0.29879,0.61679,0.19534,84,25,7.48025,-1.43289,18.67821,117.83966,125.31991,74.63514,79.37284,,,,,,,,,,,,51.06495,0.27892,0.22904,0.88136,0.90057,1.63414,0.12355,
1s17_52-50cm_20um_rec_voi_1064.bmp,21.90923,105,157.88763,32.55204,20.61722,50.34240,287.23426,8.82385,0.31002,0.62827,0.10020,77,28,7.35962,-0.70865,18.43977,117.97598,125.33559,74.72148,79.38278,,,,,,,,,,,,55.97743,0.29362,0.22666,0.87271,0.90962,1.63661,0.10296,
1s17_52-50cm_20um_rec_voi_1063.bmp,21.88864,118,157.88763,32.47683,20.56958,50.34240,288.05170,8.86945,0.27523,0.59197,0.18927,89,29,7.45496,-1.38257,18.66924,117.95584,125.41080,74.70873,79.43042,,,,,,,,,,,,59.75296,0.30757,0.22549,0.87075,0.91220,1.58673,0.10296,
