
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_54-52cm_20um\1s17_54-52cm_20um_Rec\VOI\1s17_54-52cm_20um_rec_voi_

<<<<< Begin of task (005b4c1d-cf3e-4112-9f66-3be7ae0df0f9) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_54-52cm_20um\1s17_54-52cm_20um_Rec\VOI\1s17_54-52cm_20um_rec_voi_0071.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 616, 566
Total number of images, 981
Total Z-position range, 40, 1020
Number of images inside VOI, 981
Z-position range of VOI, 40, 1020
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/25/20 13:34:58 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/25/20 13:34:59 ]	Thresholding done

-----------------------------------------------------------------
[ 11/25/20 13:34:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
881 speckles removed
[ 11/25/20 13:35:02 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 13:35:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/25/20 13:35:05 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 13:35:43 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:38
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_54-52cm_20um\1s17_54-52cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_54-52cm_20um_rec_voi_1020.bmp,21.00321,83,147.83193,26.52422,17.94215,48.65391,221.99520,8.36953,0.31957,0.63788,0.04729,71,12,7.73221,-0.34871,22.57156,113.57550,121.30771,76.82745,82.05785,,,,,,,,,,,,160.58505,0.47868,0.23896,1.09289,0.75084,1.59152,0.06177,
1s17_54-52cm_20um_rec_voi_1019.bmp,20.98262,79,147.83193,26.60378,17.99596,48.65391,222.93327,8.37976,0.33676,0.65481,0.18814,66,13,7.34096,-1.36465,21.62621,113.88719,121.22815,77.03829,82.00404,,,,,,,,,,,,159.12451,0.46416,0.23867,1.08757,0.75401,1.59253,0.08237,
1s17_54-52cm_20um_rec_voi_1018.bmp,20.96203,81,147.83193,26.63680,18.01830,48.65391,223.55187,8.39260,0.32885,0.64707,0.00442,67,14,6.83517,-0.00113,20.42059,114.35996,121.19513,77.35809,81.98170,,,,,,,,,,,,157.81913,0.45552,0.23831,1.08427,0.75610,1.59051,0.10296,
1s17_54-52cm_20um_rec_voi_1017.bmp,20.94144,81,147.83193,26.64353,18.02285,48.65391,224.90469,8.44125,0.32893,0.64716,0.36764,70,11,7.18429,-2.62547,21.23782,114.00411,121.18840,77.11738,81.97715,,,,,,,,,,,,156.82695,0.44680,0.23693,1.07769,0.76068,1.58154,0.10296,
1s17_54-52cm_20um_rec_voi_1016.bmp,20.92085,85,147.83193,26.65105,18.02794,48.65391,228.78051,8.58430,0.31354,0.63183,0.70918,73,12,7.18911,-5.08438,21.24432,113.99176,121.18087,77.10903,81.97206,,,,,,,,,,,,155.11642,0.43401,0.23298,1.05936,0.77379,1.59305,0.14414,
1s17_54-52cm_20um_rec_voi_1015.bmp,20.90026,85,147.83193,26.62466,18.01009,48.65391,233.61232,8.77428,0.31323,0.63152,-0.15692,68,17,7.33990,1.16970,21.61047,113.86737,121.20727,77.02488,81.98991,,,,,,,,,,,,154.40966,0.41976,0.22794,1.03768,0.79013,1.59748,0.18532,
1s17_54-52cm_20um_rec_voi_1014.bmp,20.87966,84,147.83193,26.73400,18.08405,48.65391,236.15994,8.83369,0.31826,0.63657,0.23929,71,13,6.81180,-1.61417,20.30597,114.28613,121.09793,77.30815,81.91595,,,,,,,,,,,,153.35752,0.41658,0.22641,1.02556,0.79874,1.60258,0.18532,
1s17_54-52cm_20um_rec_voi_1013.bmp,20.85907,84,147.83193,26.86300,18.17131,48.65391,235.13865,8.75325,0.31980,0.63811,0.92617,73,11,7.06234,-6.52870,20.81729,113.90659,120.96893,77.05141,81.82869,,,,,,,,,,,,152.06012,0.41413,0.22849,1.02892,0.79529,1.60576,0.18532,
