
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_56-54cm_20um\1s17_56-54cm_20um_Rec\VOI\1s17_56-54cm_20um_rec_voi_

<<<<< Begin of task (3995e927-a1e9-4db2-989a-18aa1fb841a0) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_56-54cm_20um\1s17_56-54cm_20um_Rec\VOI\1s17_56-54cm_20um_rec_voi_0144.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 593, 609
Total number of images, 971
Total Z-position range, 100, 1070
Number of images inside VOI, 971
Z-position range of VOI, 100, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/25/20 14:15:25 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 11/25/20 14:15:26 ]	Thresholding done

-----------------------------------------------------------------
[ 11/25/20 14:15:26 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
879 speckles removed
[ 11/25/20 14:15:29 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 14:15:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/25/20 14:15:32 ]	Despeckle done

-----------------------------------------------------------------
[ 11/25/20 14:16:05 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_56-54cm_20um\1s17_56-54cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_56-54cm_20um_rec_voi_1070.bmp,22.03278,80,153.12394,25.30314,16.52462,49.47756,214.13257,8.46269,0.31629,0.63460,1.61982,72,8,8.27197,-13.39930,24.63721,119.54883,127.82079,78.07325,83.47538,,,,,,,,,,,,17.57595,0.54438,0.23633,1.19385,0.69921,1.52659,0.00000,
1s17_56-54cm_20um_rec_voi_1069.bmp,22.01219,73,153.12394,25.48244,16.64171,49.47756,216.28372,8.48756,0.34907,0.66667,0.08269,63,10,6.12099,-0.50617,19.36812,121.52050,127.64149,79.36088,83.35829,,,,,,,,,,,,16.39698,0.55748,0.23564,1.18032,0.70624,1.53435,0.00000,
1s17_56-54cm_20um_rec_voi_1068.bmp,21.99160,76,153.12394,25.56120,16.69315,49.47756,215.92428,8.44734,0.33633,0.65439,-0.68766,63,13,11.42604,7.85745,30.89184,116.13670,127.56273,75.84490,83.30685,,,,,,,,,,,,15.36534,0.56583,0.23676,1.18155,0.70506,1.53428,0.00000,
1s17_56-54cm_20um_rec_voi_1067.bmp,21.97101,74,153.12394,25.51202,16.66102,49.47756,216.16895,8.47322,0.34476,0.66254,-0.96674,63,11,10.90907,10.62083,29.95262,116.70285,127.61192,76.21464,83.33898,,,,,,,,,,,,14.58257,0.57163,0.23604,1.18067,0.70586,1.53524,0.08237,
1s17_56-54cm_20um_rec_voi_1066.bmp,21.95042,77,153.12394,25.43040,16.60772,49.47756,214.68415,8.44203,0.33026,0.64846,0.05261,67,10,6.40338,-0.30803,20.11505,121.29016,127.69354,79.21045,83.39228,,,,,,,,,,,,14.99943,0.57475,0.23691,1.18959,0.70101,1.52935,0.16473,
1s17_56-54cm_20um_rec_voi_1065.bmp,21.92982,77,153.12394,25.36653,16.56601,49.47756,211.18347,8.32528,0.32944,0.64765,1.45455,68,9,6.05649,-8.78769,19.27405,121.70092,127.75741,79.47870,83.43399,,,,,,,,,,,,14.99803,0.57271,0.24023,1.20992,0.68958,1.52440,0.16473,
1s17_56-54cm_20um_rec_voi_1064.bmp,21.90923,83,153.12394,25.55219,16.68726,49.47756,214.55182,8.39661,0.30786,0.62608,-0.50929,71,12,6.10355,3.14047,19.28103,121.46819,127.57174,79.32672,83.31274,,,,,,,,,,,,15.24439,0.55737,0.23819,1.18919,0.70058,1.53208,0.16473,
1s17_56-54cm_20um_rec_voi_1063.bmp,21.88864,77,153.12394,25.73128,16.80422,49.47756,214.80099,8.34785,0.33417,0.65229,0.94700,66,11,9.28794,-8.77084,26.52240,118.10472,127.39266,77.13015,83.19578,,,,,,,,,,,,14.97286,0.53928,0.23958,1.18615,0.70140,1.53333,0.14414,
