
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_58-56cm_20um\1s17_58-56cm_20um_Rec\VOI\1s17_58-56cm_20um_rec_voi_

<<<<< Begin of task (8f9cdc58-61de-49e1-92db-2dc27eaccc8d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_58-56cm_20um\1s17_58-56cm_20um_Rec\VOI\1s17_58-56cm_20um_rec_voi_0070.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 638, 570
Total number of images, 1051
Total Z-position range, 40, 1090
Number of images inside VOI, 1051
Z-position range of VOI, 40, 1090
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 08:29:06 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 08:29:07 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 08:29:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1091 speckles removed
[ 12/02/20 08:29:11 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:29:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 08:29:14 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:29:46 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_58-56cm_20um\1s17_58-56cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_58-56cm_20um_rec_voi_1090.bmp,22.44461,100,154.19370,26.01298,16.87033,49.72466,231.33621,8.89311,0.26013,0.57551,-0.50988,78,22,10.67825,5.44537,29.10301,117.50247,128.18072,76.20446,83.12967,,,,,,,,,,,,116.22001,0.27310,0.22489,1.10818,0.75015,1.43239,0.00000,
1s17_58-56cm_20um_rec_voi_1089.bmp,22.42402,90,154.19370,25.68459,16.65735,49.72466,227.68921,8.86482,0.28538,0.60280,0.20147,61,29,13.56520,-2.73315,34.56120,114.94392,128.50911,74.54515,83.34265,,,,,,,,,,,,122.46973,0.30633,0.22561,1.12881,0.73832,1.52636,0.00000,
1s17_58-56cm_20um_rec_voi_1088.bmp,22.40343,88,154.19370,25.44222,16.50016,49.72466,222.04703,8.72750,0.28912,0.60672,-1.84577,56,32,11.46330,21.16114,31.06120,117.28819,128.75149,76.06549,83.49984,,,,,,,,,,,,125.89825,0.32590,0.22916,1.15968,0.72003,1.51077,0.00000,
1s17_58-56cm_20um_rec_voi_1087.bmp,22.38284,89,154.19370,25.14372,16.30658,49.72466,214.96208,8.54934,0.28251,0.59976,-0.38741,66,23,11.62596,4.50438,31.61833,117.42403,129.04999,76.15358,83.69342,,,,,,,,,,,,126.67742,0.33984,0.23394,1.20068,0.69705,1.50818,0.00000,
1s17_58-56cm_20um_rec_voi_1086.bmp,22.36224,89,154.19370,24.96473,16.19050,49.72466,208.01911,8.33252,0.28050,0.59762,-1.32719,68,21,12.05531,16.00058,32.56429,117.17366,129.22897,75.99121,83.80950,,,,,,,,,,,,126.97719,0.35324,0.24002,1.24247,0.67454,1.50382,0.00000,
1s17_58-56cm_20um_rec_voi_1085.bmp,22.34165,87,154.19370,24.73455,16.04122,49.72466,202.30869,8.17919,0.28431,0.60165,-0.70094,65,22,11.12738,7.80006,31.02839,118.33177,129.45915,76.74229,83.95878,,,,,,,,,,,,127.13573,0.36640,0.24452,1.27982,0.65602,1.49815,0.00000,
1s17_58-56cm_20um_rec_voi_1084.bmp,22.32106,82,154.19370,24.41681,15.83516,49.72466,200.08931,8.19474,0.29777,0.61573,-0.87704,55,27,11.91438,10.44954,32.79381,117.86250,129.77689,76.43795,84.16484,,,,,,,,,,,,126.20652,0.38551,0.24406,1.29719,0.64882,1.47148,0.00000,
1s17_58-56cm_20um_rec_voi_1083.bmp,22.30047,93,154.19370,24.05837,15.60269,49.72466,200.27488,8.32454,0.25869,0.57391,-0.68216,68,25,11.84400,8.12211,32.98947,118.29133,130.13533,76.71606,84.39731,,,,,,,,,,,,123.64466,0.39585,0.24025,1.29957,0.64943,1.49640,0.00000,
