
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_59.5-57.5cm_20um\1s17_59.5-57.5cm_20um_Rec\VOI\1s17_59.5-57.5cm_20um_rec_voi_

<<<<< Begin of task (b9877f0c-01e7-4eab-9771-ed4cbbd263dd) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_59.5-57.5cm_20um\1s17_59.5-57.5cm_20um_Rec\VOI\1s17_59.5-57.5cm_20um_rec_voi_0071.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 537, 585
Total number of images, 900
Total Z-position range, 41, 940
Number of images inside VOI, 900
Z-position range of VOI, 41, 940
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 08:34:20 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 08:34:21 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 08:34:21 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
839 speckles removed
[ 12/02/20 08:34:25 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:34:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 08:34:29 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:35:21 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:52
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_59.5-57.5cm_20um\1s17_59.5-57.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_59.5-57.5cm_20um_rec_voi_0940.bmp,19.35590,49,133.19909,19.28444,14.47791,46.18294,152.29079,7.89708,0.39356,0.70788,0.44165,40,9,7.10012,-3.10725,26.91014,106.81452,113.91465,80.19163,85.52209,,,,,,,,,,,,151.54504,0.66760,0.25326,1.49601,0.57167,1.45904,0.00000,
1s17_59.5-57.5cm_20um_rec_voi_0939.bmp,19.33531,47,133.19909,19.60213,14.71641,46.18294,155.96533,7.95655,0.41707,0.72872,0.55330,31,16,7.39444,-4.09135,27.39029,106.20252,113.59696,79.73217,85.28359,,,,,,,,,,,,151.71866,0.66902,0.25137,1.45669,0.58546,1.48255,0.00000,
1s17_59.5-57.5cm_20um_rec_voi_0938.bmp,19.31472,46,133.19909,19.84042,14.89531,46.18294,157.74619,7.95075,0.43131,0.74106,0.92443,30,16,7.78092,-7.19297,28.16995,105.57775,113.35867,79.26312,85.10469,,,,,,,,,,,,152.29288,0.66498,0.25155,1.43723,0.59214,1.48476,0.00000,
1s17_59.5-57.5cm_20um_rec_voi_0937.bmp,19.29413,52,133.19909,19.99179,15.00895,46.18294,157.95210,7.90085,0.38446,0.69965,1.86791,38,14,7.60448,-14.20490,27.55619,105.60282,113.20730,79.28194,84.99105,,,,,,,,,,,,152.41361,0.65952,0.25314,1.43344,0.59292,1.44391,0.00000,
1s17_59.5-57.5cm_20um_rec_voi_0936.bmp,19.27354,52,133.19909,20.22467,15.18379,46.18294,160.17476,7.91977,0.38894,0.70371,-0.58908,38,14,6.14749,3.62139,23.31053,106.82692,112.97441,80.20094,84.81621,,,,,,,,,,,,152.65403,0.65428,0.25253,1.41064,0.60126,1.48632,0.00000,
1s17_59.5-57.5cm_20um_rec_voi_0935.bmp,19.25294,49,133.19909,20.60877,15.47215,46.18294,161.78295,7.85020,0.42059,0.73178,-0.78935,35,14,5.20419,4.10802,20.16114,107.38613,112.59032,80.62077,84.52785,,,,,,,,,,,,152.79961,0.64630,0.25477,1.39187,0.60730,1.49214,0.00000,
1s17_59.5-57.5cm_20um_rec_voi_0934.bmp,19.23235,50,133.19909,20.96960,15.74305,46.18294,162.18358,7.73422,0.41939,0.73074,0.57061,31,19,4.26470,4.71062,16.90040,107.96479,112.22949,81.05521,84.25695,,,,,,,,,,,,153.63121,0.63313,0.25859,1.38398,0.60880,1.49406,0.00000,
1s17_59.5-57.5cm_20um_rec_voi_0933.bmp,19.21176,51,133.19909,21.16416,15.88912,46.18294,162.44566,7.67551,0.41498,0.72689,0.32200,36,15,4.25834,4.40114,16.75027,107.77659,112.03493,80.91391,84.11088,,,,,,,,,,,,154.36864,0.61900,0.26057,1.37935,0.60979,1.48549,0.00000,
