
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_61.5-59.5cm_20um\1s17_61.5-59.5cm_20um_Rec\VOI\1s17_61.5-59.5cm_20um_rec_voi_

<<<<< Begin of task (784754d2-8b4d-4724-a30c-6bcad607e394) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_61.5-59.5cm_20um\1s17_61.5-59.5cm_20um_Rec\VOI\1s17_61.5-59.5cm_20um_rec_voi_0139.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 592, 614
Total number of images, 971
Total Z-position range, 110, 1080
Number of images inside VOI, 971
Z-position range of VOI, 110, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 08:39:28 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 08:39:30 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 08:39:30 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1398 speckles removed
[ 12/02/20 08:39:37 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:39:37 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 08:39:46 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:41:37 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:51
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_61.5-59.5cm_20um\1s17_61.5-59.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_61.5-59.5cm_20um_rec_voi_1080.bmp,22.23870,77,154.12077,23.09233,14.98327,49.64230,198.07863,8.57768,0.29990,0.61794,0.44054,64,13,5.11350,-0.90936,18.12924,125.91494,131.02845,81.69888,85.01673,,,,,,,,,,,,130.86474,0.35255,0.23316,1.32299,0.64261,1.49122,0.00000,
1s17_61.5-59.5cm_20um_rec_voi_1079.bmp,22.21810,84,154.12077,22.87221,14.84045,49.64230,198.31952,8.67076,0.27229,0.58880,2.37617,68,16,6.10043,-14.49589,21.05582,125.14813,131.24856,81.20134,85.15955,,,,,,,,,,,,131.89584,0.39129,0.23066,1.32361,0.64339,1.49360,0.00000,
1s17_61.5-59.5cm_20um_rec_voi_1078.bmp,22.19751,84,154.12077,22.77888,14.77989,49.64230,196.16595,8.61175,0.27118,0.58760,0.29292,69,15,5.17578,-1.51626,18.51490,126.16611,131.34189,81.86185,85.22011,,,,,,,,,,,,132.73538,0.42856,0.23224,1.33909,0.63640,1.48863,0.00000,
1s17_61.5-59.5cm_20um_rec_voi_1077.bmp,22.17692,78,154.12077,22.73399,14.75076,49.64230,193.05883,8.49208,0.29146,0.60918,2.17336,65,13,6.59747,-8.30627,22.49280,124.78932,131.38678,80.96853,85.24924,,,,,,,,,,,,131.50745,0.45881,0.23551,1.36111,0.62632,1.48574,0.00000,
1s17_61.5-59.5cm_20um_rec_voi_1076.bmp,22.15633,74,154.12077,22.64860,14.69536,49.64230,190.58115,8.41470,0.30606,0.62425,-0.08662,61,13,5.02377,-1.14732,18.15446,126.44840,131.47217,82.04501,85.30464,,,,,,,,,,,,130.44833,0.48242,0.23768,1.37970,0.61829,1.49282,0.00000,
1s17_61.5-59.5cm_20um_rec_voi_1075.bmp,22.13574,66,154.12077,22.35848,14.50712,49.64230,187.13543,8.36977,0.33876,0.65676,0.59120,49,17,4.78967,-0.93349,17.64271,126.97263,131.76229,82.38515,85.49288,,,,,,,,,,,,129.22593,0.49958,0.23896,1.40820,0.60711,1.48233,0.00000,
1s17_61.5-59.5cm_20um_rec_voi_1074.bmp,22.11515,69,154.12077,22.31862,14.48126,49.64230,184.27333,8.25648,0.32346,0.64175,0.07123,54,15,4.73137,-1.35824,17.49120,127.07078,131.80215,82.44884,85.51874,,,,,,,,,,,,127.87416,0.51124,0.24223,1.43051,0.59782,1.47598,0.00000,
1s17_61.5-59.5cm_20um_rec_voi_1073.bmp,22.09456,72,154.12077,22.10757,14.34432,49.64230,180.48986,8.16416,0.30705,0.62526,0.88358,57,15,4.65150,-2.63283,17.38287,127.36170,132.01320,82.63760,85.65568,,,,,,,,,,,,126.53666,0.52167,0.24497,1.46283,0.58555,1.47065,0.00000,
