
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_62-60cm_20um\1s17_62-60cm_20um_Rec\VOI\1s17_62-60cm_20um_rec_voi_

<<<<< Begin of task (e048fb43-18ae-4b54-8b2c-801cbd099f53) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_62-60cm_20um\1s17_62-60cm_20um_Rec\VOI\1s17_62-60cm_20um_rec_voi_0205.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 657, 546
Total number of images, 941
Total Z-position range, 160, 1100
Number of images inside VOI, 941
Z-position range of VOI, 160, 1100
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 08:49:36 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 08:49:37 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 08:49:37 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1210 speckles removed
[ 12/02/20 08:49:42 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:49:42 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 08:49:48 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:50:57 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:09
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_62-60cm_20um\1s17_62-60cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_62-60cm_20um_rec_voi_1100.bmp,22.65052,168,152.09996,30.48544,20.04303,49.51875,308.12400,10.10725,0.18146,0.48067,-1.04863,140,28,12.10137,12.74465,28.41577,109.51315,121.61453,72.00078,79.95697,,,,,,,,,,,,109.22893,0.15934,0.19788,0.78939,1.01290,1.63849,0.18532,
1s17_62-60cm_20um_rec_voi_1099.bmp,22.62993,169,152.09996,30.46265,20.02804,49.51875,307.39856,10.09100,0.18025,0.47907,-1.00120,135,34,11.74992,11.81850,27.83513,109.88739,121.63732,72.24682,79.97196,,,,,,,,,,,,126.79135,0.15299,0.19820,0.79140,1.01051,1.64066,0.18532,
1s17_62-60cm_20um_rec_voi_1098.bmp,22.60934,160,152.09996,30.17581,19.83946,49.51875,304.14512,10.07910,0.18860,0.49003,-0.33691,129,31,8.78459,2.97890,22.54749,113.13956,121.92416,74.38500,80.16054,,,,,,,,,,,,141.45968,0.19214,0.19843,0.80175,0.99982,1.63724,0.18532,
1s17_62-60cm_20um_rec_voi_1097.bmp,22.58875,167,152.09996,29.74995,19.55947,49.51875,299.34314,10.06197,0.17814,0.47626,-0.54819,147,20,8.03601,4.42636,21.26719,114.31401,122.35002,75.15716,80.44053,,,,,,,,,,,,147.01127,0.20581,0.19877,0.81746,0.98403,1.63008,0.18532,
1s17_62-60cm_20um_rec_voi_1096.bmp,22.56816,158,152.09996,29.41302,19.33796,49.51875,291.65595,9.91588,0.18616,0.48685,-0.07146,140,18,9.18363,0.67373,23.79386,113.50331,122.68694,74.62415,80.66204,,,,,,,,,,,,150.86654,0.21797,0.20170,0.84131,0.95876,1.62428,0.18532,
1s17_62-60cm_20um_rec_voi_1095.bmp,22.54757,143,152.09996,29.11860,19.14439,49.51875,284.47880,9.76966,0.20363,0.50918,1.05824,122,21,9.60843,-10.15769,24.81066,113.37293,122.98136,74.53843,80.85561,,,,,,,,,,,,154.19724,0.22669,0.20472,0.86461,0.93517,1.61965,0.18532,
1s17_62-60cm_20um_rec_voi_1094.bmp,22.52697,133,152.09996,28.81931,18.94761,49.51875,279.97438,9.71482,0.21669,0.52526,0.04013,116,17,7.13707,-0.18726,19.84924,116.14359,123.28065,76.36004,81.05239,,,,,,,,,,,,154.96186,0.22116,0.20587,0.88066,0.92036,1.61553,0.18532,
1s17_62-60cm_20um_rec_voi_1093.bmp,22.50638,144,152.09996,28.55378,18.77303,49.51875,279.27841,9.78079,0.19829,0.50246,0.04855,125,19,6.43025,-0.21310,18.38053,117.11594,123.54619,76.99932,81.22697,,,,,,,,,,,,154.69600,0.21211,0.20448,0.88475,0.91808,1.61863,0.18532,
