
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_62.5-60.5_20um\1s17_62.5-60.5_20um_Rec\VOI\1s17_62.5-60.5_20um_rec_voi_

<<<<< Begin of task (f45a245e-0a10-4610-b4bd-ae10c59e1d49) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_62.5-60.5_20um\1s17_62.5-60.5_20um_Rec\VOI\1s17_62.5-60.5_20um_rec_voi_0110.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 597, 573
Total number of images, 771
Total Z-position range, 50, 820
Number of images inside VOI, 771
Z-position range of VOI, 50, 820
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 08:43:56 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 08:43:57 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 08:43:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
960 speckles removed
[ 12/02/20 08:44:02 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:44:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 08:44:07 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:45:16 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:09
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_62.5-60.5_20um\1s17_62.5-60.5_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_62.5-60.5_20um_rec_voi_0820.bmp,16.88494,37,145.04409,15.09623,10.40802,48.15972,115.76371,7.66839,0.40801,0.72076,0.31989,27,10,2.95245,-0.94448,16.35828,126.99542,129.94787,87.55642,89.59198,,,,,,,,,,,,127.41973,0.79189,0.26081,2.24505,0.39906,1.40423,0.00000,
1s17_62.5-60.5_20um_rec_voi_0819.bmp,16.86434,40,145.04409,15.26657,10.52547,48.15972,118.90703,7.78872,0.38166,0.69710,0.62901,30,10,3.04934,-0.25851,16.64858,126.72819,129.77753,87.37218,89.47453,,,,,,,,,,,,126.94574,0.79608,0.25678,2.18284,0.40990,1.41405,0.00000,
1s17_62.5-60.5_20um_rec_voi_0818.bmp,16.84375,37,145.04409,15.51334,10.69560,48.15972,120.32722,7.75637,0.41928,0.73065,-0.05828,27,10,3.02369,0.17623,16.31160,126.50707,129.53075,87.21973,89.30440,,,,,,,,,,,,125.93179,0.79730,0.25785,2.15298,0.41480,1.41578,0.00000,
1s17_62.5-60.5_20um_rec_voi_0817.bmp,16.82316,42,145.04409,15.76329,10.86793,48.15972,121.36507,7.69922,0.37532,0.69128,0.70130,35,7,3.11766,-1.61133,16.51218,126.16315,129.28080,86.98262,89.13207,,,,,,,,,,,,125.73017,0.79856,0.25977,2.13044,0.41837,1.41199,0.00000,
1s17_62.5-60.5_20um_rec_voi_0816.bmp,16.80257,48,145.04409,16.16769,11.14674,48.15972,126.31629,7.81289,0.33683,0.65487,0.49662,40,8,3.28456,-0.94448,16.88523,125.59185,128.87641,86.58874,88.85326,,,,,,,,,,,,125.74671,0.79140,0.25599,2.04054,0.43544,1.42068,0.00000,
1s17_62.5-60.5_20um_rec_voi_0815.bmp,16.78198,48,145.04409,16.71963,11.52728,48.15972,131.58112,7.86986,0.34833,0.66596,0.69146,38,10,3.36082,-1.43661,16.73679,124.96364,128.32446,86.15562,88.47272,,,,,,,,,,,,126.04196,0.77715,0.25413,1.95050,0.45359,1.43344,0.00000,
1s17_62.5-60.5_20um_rec_voi_0814.bmp,16.76139,45,145.04409,17.32506,11.94469,48.15972,135.22655,7.80526,0.38500,0.70014,1.01596,37,8,4.93696,-1.12320,22.17659,122.78208,127.71903,84.65155,88.05531,,,,,,,,,,,,125.87513,0.76692,0.25624,1.88896,0.46616,1.43949,0.00000,
1s17_62.5-60.5_20um_rec_voi_0813.bmp,16.74080,47,145.04409,17.82147,12.28693,48.15972,136.58850,7.66427,0.37918,0.69483,0.56614,39,8,3.66176,1.32899,17.04475,123.56087,127.22263,85.18849,87.71307,,,,,,,,,,,,125.96411,0.75821,0.26095,1.86286,0.47085,1.44804,0.00000,
