
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_63-61cm_20um\1s17_63-61cm_20um_Rec\VOI\1s17_63-61cm_20um_rec_voi_

<<<<< Begin of task (f30e5499-4f60-4662-bed1-93d51fabda6d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_63-61cm_20um\1s17_63-61cm_20um_Rec\VOI\1s17_63-61cm_20um_rec_voi_0084.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 582, 537
Total number of images, 1036
Total Z-position range, 40, 1075
Number of images inside VOI, 1036
Z-position range of VOI, 40, 1075
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 08:54:16 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 08:54:20 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 08:54:20 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1374 speckles removed
[ 12/02/20 08:54:37 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:54:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 08:54:56 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 08:58:36 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:03:40
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_63-61cm_20um\1s17_63-61cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_63-61cm_20um_rec_voi_1075.bmp,22.13574,105,132.51602,28.31008,21.36352,46.05939,275.76910,9.74102,0.26962,0.58591,-0.74047,81,24,7.26321,5.39946,20.41759,96.94273,104.20594,73.15548,78.63648,,,,,,,,,,,,82.28218,0.26959,0.20532,0.75575,1.04051,1.62084,0.18532,
1s17_63-61cm_20um_rec_voi_1074.bmp,22.11515,110,132.51602,27.89445,21.04987,46.05939,271.56967,9.73562,0.25359,0.56822,0.95910,81,29,7.01999,2.44344,20.10626,97.60158,104.62157,73.65267,78.95013,,,,,,,,,,,,91.95025,0.27708,0.20543,0.77050,1.02467,1.62154,0.18532,
1s17_63-61cm_20um_rec_voi_1073.bmp,22.09456,119,132.51602,27.43785,20.70531,46.05939,269.85983,9.83531,0.23057,0.54182,-0.64459,94,25,4.69072,3.04433,14.59983,100.38745,105.07817,75.75496,79.29469,,,,,,,,,,,,96.30289,0.28412,0.20335,0.77876,1.01822,1.62041,0.18532,
1s17_63-61cm_20um_rec_voi_1072.bmp,22.07396,119,132.51602,26.97759,20.35799,46.05939,264.79577,9.81540,0.22670,0.53726,0.75838,103,16,6.72525,-5.10072,19.95455,98.81317,105.53842,74.56697,79.64201,,,,,,,,,,,,98.03656,0.27286,0.20376,0.79713,0.99911,1.61297,0.00000,
1s17_63-61cm_20um_rec_voi_1071.bmp,22.05337,115,132.51602,26.72366,20.16637,46.05939,263.99831,9.87882,0.23238,0.54394,1.05661,102,13,8.12060,-8.58062,23.30541,97.67175,105.79235,73.70562,79.83363,,,,,,,,,,,,98.60105,0.25190,0.20245,0.80146,0.99610,1.60933,0.00000,
1s17_63-61cm_20um_rec_voi_1070.bmp,22.03278,114,132.51602,26.44456,19.95575,46.05939,264.91967,10.01793,0.23197,0.54346,0.56839,99,15,6.89019,-3.91642,20.66969,99.18126,106.07145,74.84474,80.04425,,,,,,,,,,,,98.12419,0.24406,0.19964,0.80078,0.99958,1.61230,0.00000,
1s17_63-61cm_20um_rec_voi_1069.bmp,22.01219,118,132.51602,26.33517,19.87320,46.05939,264.09894,10.02837,0.22318,0.53307,0.17662,103,15,5.32704,-0.94091,16.82460,100.85380,106.18085,76.10688,80.12680,,,,,,,,,,,,95.05327,0.23448,0.19943,0.80410,0.99648,1.60298,0.00000,
1s17_63-61cm_20um_rec_voi_1068.bmp,21.99160,119,132.51602,26.32780,19.86764,46.05939,266.57127,10.12509,0.22124,0.53075,0.46787,97,22,6.98623,-3.26870,20.97082,99.20199,106.18821,74.86038,80.13236,,,,,,,,,,,,99.13850,0.22888,0.19753,0.79670,1.00581,1.60667,0.00000,
