
<<<<< Begin of task (456203b3-9035-4603-99d6-8bd0c5ab2d84) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_65-63cm_20um\1s17_65-63cm_20um_Rec\VOI\1s17_65-63cm_20um_rec_voi_0259.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 578, 554
Total number of images, 851
Total Z-position range, 230, 1080
Number of images inside VOI, 851
Z-position range of VOI, 230, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 11:05:47 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 11:05:48 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 11:05:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1091 speckles removed
[ 12/02/20 11:05:50 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:05:50 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 11:05:52 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:06:18 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:26
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_65-63cm_20um\1s17_65-63cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_65-63cm_20um_rec_voi_1080.bmp,22.23870,89,135.77153,25.67022,18.90693,46.59477,226.43995,8.82111,0.28843,0.60600,0.78804,74,15,8.17254,-6.42741,24.14856,101.92876,110.10130,75.07374,81.09307,,,,,,,,,,,,67.40420,0.35342,0.22673,0.97245,0.83390,1.54248,0.18532,
1s17_65-63cm_20um_rec_voi_1079.bmp,22.21810,90,135.77153,26.04330,19.18171,46.59477,229.33531,8.80593,0.28937,0.60699,0.71094,75,15,7.66951,-5.43917,22.74955,102.05872,109.72823,75.16946,80.81829,,,,,,,,,,,,60.89226,0.37759,0.22712,0.95692,0.84456,1.54728,0.18532,
1s17_65-63cm_20um_rec_voi_1078.bmp,22.19751,83,135.77153,26.33819,19.39891,46.59477,228.80700,8.68727,0.31733,0.63564,-0.15086,66,17,8.31930,1.27291,24.00433,101.11404,109.43334,74.47367,80.60109,,,,,,,,,,,,55.54403,0.41899,0.23022,0.95656,0.84262,1.54352,0.18532,
1s17_65-63cm_20um_rec_voi_1077.bmp,22.17692,85,135.77153,26.67289,19.64542,46.59477,229.18799,8.59254,0.31380,0.63209,-0.12716,64,21,8.34898,1.07941,23.83933,100.74966,109.09864,74.20529,80.35458,,,,,,,,,,,,52.79381,0.44181,0.23276,0.95204,0.84402,1.54224,0.18532,
1s17_65-63cm_20um_rec_voi_1076.bmp,22.15633,91,135.77153,26.86274,19.78525,46.59477,231.01295,8.59975,0.29519,0.61307,0.27875,73,18,11.71521,-3.24998,30.36763,97.19358,108.90879,71.58613,80.21475,,,,,,,,,,,,50.26941,0.45461,0.23256,0.94288,0.85074,1.54687,0.18532,
1s17_65-63cm_20um_rec_voi_1075.bmp,22.13574,87,135.77153,27.02116,19.90193,46.59477,229.26365,8.48460,0.31059,0.62885,1.19487,72,15,9.98241,-11.91693,26.97688,98.76796,108.75037,72.74571,80.09807,,,,,,,,,,,,49.07238,0.47173,0.23572,0.94869,0.84430,1.54437,0.18532,
1s17_65-63cm_20um_rec_voi_1074.bmp,22.11515,85,135.77153,27.07840,19.94409,46.59477,228.49823,8.43840,0.31857,0.63688,0.60166,63,22,9.53736,-5.72453,26.04714,99.15577,108.69313,73.03134,80.05591,,,,,,,,,,,,49.08440,0.48489,0.23701,0.95137,0.84148,1.53849,0.14414,
1s17_65-63cm_20um_rec_voi_1073.bmp,22.09456,81,135.77153,27.05608,19.92766,46.59477,228.33850,8.43945,0.33403,0.65215,0.44957,61,20,9.26955,-4.13995,25.51792,99.44590,108.71544,73.24503,80.07234,,,,,,,,,,,,49.94586,0.49530,0.23698,0.95223,0.84089,1.53869,0.12355,
