
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_65-63cm_20um\1s17_65-63cm_20um_Rec\VOI\1s17_65-63cm_20um_rec_voi_

<<<<< Begin of task (7285dad2-17c2-4554-9d63-d0911d9ea203) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_65-63cm_20um\1s17_65-63cm_20um_Rec\VOI\1s17_65-63cm_20um_rec_voi_0095.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 563, 566
Total number of images, 671
Total Z-position range, 50, 720
Number of images inside VOI, 671
Z-position range of VOI, 50, 720
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 09:02:13 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 09:02:14 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 09:02:14 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
963 speckles removed
[ 12/02/20 09:02:18 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 09:02:18 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 09:02:21 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 09:03:24 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:03
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\65-48\1s17_65-63cm_20um\1s17_65-63cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_65-63cm_20um_rec_voi_0720.bmp,14.82580,120,135.11262,29.21655,21.62385,46.47122,294.05661,10.06473,0.24347,0.55677,1.11527,105,15,7.57464,-8.42118,20.58819,98.32143,105.89607,72.76998,78.37615,,,,,,,,,,,,127.05965,0.27684,0.19871,0.72024,1.08819,1.65636,0.04118,
1s17_65-63cm_20um_rec_voi_0719.bmp,14.80521,119,135.11262,29.18380,21.59961,46.47122,293.42645,10.05443,0.24524,0.55879,1.91639,103,16,7.61895,-3.53356,20.70212,98.30988,105.92883,72.76143,78.40039,,,,,,,,,,,,136.46817,0.27154,0.19892,0.72201,1.08586,1.66446,0.06177,
1s17_65-63cm_20um_rec_voi_0718.bmp,14.78461,125,135.11262,29.41779,21.77279,46.47122,296.11347,10.06579,0.23534,0.54740,0.71648,104,21,7.58524,-5.40727,20.49897,98.10959,105.69483,72.61319,78.22721,,,,,,,,,,,,139.90532,0.27735,0.19869,0.71388,1.09580,1.64886,0.04118,
1s17_65-63cm_20um_rec_voi_0717.bmp,14.76402,131,135.11262,29.57902,21.89212,46.47122,299.52872,10.12639,0.22579,0.53618,0.95086,114,17,7.68387,-7.30668,20.62071,97.84973,105.53360,72.42086,78.10788,,,,,,,,,,,,139.40501,0.29081,0.19750,0.70466,1.10844,1.66788,0.00000,
1s17_65-63cm_20um_rec_voi_0716.bmp,14.74343,127,135.11262,29.85060,22.09312,46.47122,304.10757,10.18765,0.23504,0.54705,0.05177,103,24,8.06097,-0.41730,21.26257,97.20105,105.26203,71.94076,77.90688,,,,,,,,,,,,139.11107,0.29175,0.19632,0.69227,1.12539,1.66578,0.00000,
1s17_65-63cm_20um_rec_voi_0715.bmp,14.72284,137,135.11262,29.94992,22.16663,46.47122,306.85268,10.24553,0.21861,0.52759,-0.70129,115,22,8.69497,6.09815,22.49966,96.46774,105.16270,71.39802,77.83337,,,,,,,,,,,,139.25876,0.27494,0.19521,0.68543,1.13554,1.66694,0.00000,
1s17_65-63cm_20um_rec_voi_0714.bmp,14.70225,138,135.11262,29.82812,22.07649,46.47122,305.86309,10.25418,0.21615,0.52460,-1.05765,115,23,8.93729,9.45323,23.05480,96.34721,105.28450,71.30882,77.92351,,,,,,,,,,,,135.72211,0.23980,0.19504,0.68844,1.13188,1.66505,0.00000,
1s17_65-63cm_20um_rec_voi_0713.bmp,14.68166,126,135.11262,29.84461,22.08869,46.47122,307.24003,10.29466,0.23686,0.54916,-0.59827,105,21,7.49842,4.48638,20.07985,97.76959,105.26802,72.36155,77.91131,,,,,,,,,,,,127.36161,0.18760,0.19428,0.68525,1.13698,1.66686,0.00000,
