
<<<<< Begin of task (0e19d8ec-c6d8-4a50-8667-e21f48cdc92a) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_67-65cm_20um\1s17_67-65cm_20um_Rec\VOI\1s17_67-65cm_20um_rec_voi_0070.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1051
Total Z-position range, 40, 1090
Number of images inside VOI, 1051
Z-position range of VOI, 40, 1090
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 12:04:09 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 12:04:10 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 12:04:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1443 speckles removed
[ 12/02/20 12:04:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 12:04:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 12:04:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 12:04:46 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:31
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_67-65cm_20um\1s17_67-65cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_67-65cm_20um_rec_voi_1090.bmp,22.44461,158,95.39543,25.88223,27.13152,36.54877,284.29807,10.98430,0.16381,0.45670,1.73842,139,19,7.21863,-12.45038,21.80800,62.29457,69.51320,65.30142,72.86848,,,,,,,,,,,,75.49121,0.45222,0.18208,0.48902,1.49010,1.63243,7.70140,
1s17_67-65cm_20um_rec_voi_1089.bmp,22.42402,153,95.39543,25.84656,27.09413,36.54877,277.89582,10.75175,0.16893,0.46378,1.96949,137,16,7.06949,-13.85817,21.47734,62.47938,69.54887,65.49515,72.90587,,,,,,,,,,,,78.73489,0.48158,0.18602,0.50054,1.45655,1.62675,8.36282,
1s17_67-65cm_20um_rec_voi_1088.bmp,22.40343,143,95.39543,25.97010,27.22363,36.54877,275.23514,10.59815,0.18161,0.48087,1.99919,131,12,7.33529,-14.59860,22.02433,62.09004,69.42533,65.08702,72.77637,,,,,,,,,,,,81.84987,0.50458,0.18871,0.50448,1.44260,1.58289,9.00761,
1s17_67-65cm_20um_rec_voi_1087.bmp,22.38284,143,95.39543,26.25259,27.51976,36.54877,277.56308,10.57279,0.18358,0.48347,0.88915,130,13,7.49350,-6.50543,22.20552,61.64934,69.14283,64.62504,72.48024,,,,,,,,,,,,84.77951,0.51964,0.18916,0.49821,1.45480,1.62303,9.14676,
1s17_67-65cm_20um_rec_voi_1086.bmp,22.36224,140,95.39543,26.50509,27.78444,36.54877,278.05485,10.49062,0.18932,0.49097,0.89140,123,17,7.30624,-6.39395,21.60886,61.58409,68.89034,64.55665,72.21556,,,,,,,,,,,,87.33682,0.53385,0.19065,0.49552,1.45738,1.61765,9.24118,
1s17_67-65cm_20um_rec_voi_1085.bmp,22.34165,143,95.39543,26.73517,28.02563,36.54877,278.95002,10.43382,0.18696,0.48790,0.88542,130,13,7.92195,-6.89485,22.85808,60.73831,68.66026,63.67004,71.97437,,,,,,,,,,,,90.31435,0.54065,0.19168,0.49228,1.46207,1.62938,9.35620,
1s17_67-65cm_20um_rec_voi_1084.bmp,22.32106,134,95.39543,26.93217,28.23214,36.54877,278.13186,10.32712,0.20099,0.50587,1.09483,124,10,8.16114,-8.86955,23.25555,60.30211,68.46326,63.21279,71.76786,,,,,,,,,,,,93.39585,0.54535,0.19366,0.49231,1.45778,1.62835,9.25178,
1s17_67-65cm_20um_rec_voi_1083.bmp,22.30047,128,95.39543,27.04045,28.34565,36.54877,277.10143,10.24766,0.21125,0.51863,1.12103,114,14,7.75368,-8.61539,22.28444,60.60130,68.35498,63.52642,71.65435,,,,,,,,,,,,96.11656,0.54972,0.19517,0.49336,1.45238,1.57425,9.61890,
