
<<<<< Begin of task (b99201bd-cc9b-4eb6-a20f-88bdb2b99e82) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_69-67cm_20um\1s17_69-67cm_20um_Rec\VOI\1s17_69-67cm_20um_rec_voi_0045.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 553, 551
Total number of images, 931
Total Z-position range, 30, 960
Number of images inside VOI, 931
Z-position range of VOI, 30, 960
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 11:17:19 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 11:17:20 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 11:17:20 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1317 speckles removed
[ 12/02/20 11:17:22 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:17:22 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 11:17:25 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:18:05 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_69-67cm_20um\1s17_69-67cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_69-67cm_20um_rec_voi_0960.bmp,19.76773,137,129.19563,30.54899,23.64553,45.44165,327.80838,10.73058,0.22299,0.53284,-0.56123,111,26,8.52823,4.81684,21.82404,90.11842,98.64665,69.75346,76.35447,,,,,,,,,,,,31.58427,0.29830,0.18638,0.60186,1.26865,1.66851,0.04118,
1s17_69-67cm_20um_rec_voi_0959.bmp,19.74714,144,129.19563,31.17408,24.12936,45.44165,330.20112,10.59217,0.21649,0.52501,-0.81454,120,24,8.94259,7.31536,22.29145,89.07897,98.02156,68.94890,75.87064,,,,,,,,,,,,27.13523,0.24605,0.18882,0.59371,1.27791,1.67423,0.02059,
1s17_69-67cm_20um_rec_voi_0958.bmp,19.72655,154,129.19563,31.60274,24.46116,45.44165,330.12704,10.44615,0.20521,0.51116,0.14307,134,20,8.52764,-1.22011,21.24984,89.06524,97.59289,68.93828,75.53884,,,,,,,,,,,,14.50529,0.17999,0.19146,0.59124,1.27762,1.67827,0.00000,
1s17_69-67cm_20um_rec_voi_0957.bmp,19.70596,163,129.19563,32.12507,24.86544,45.44165,336.27462,10.46767,0.19709,0.50094,0.59888,142,21,8.60842,-5.15589,21.13352,88.46215,97.07057,68.47147,75.13456,,,,,,,,,,,,167.44950,0.15142,0.19106,0.57733,1.30142,1.68164,0.00000,
1s17_69-67cm_20um_rec_voi_0956.bmp,19.68536,154,129.19563,32.68597,25.29960,45.44165,337.38913,10.32214,0.21225,0.51985,0.69456,134,20,8.68108,-6.02986,20.98550,87.82858,96.50966,67.98108,74.70040,,,,,,,,,,,,142.42525,0.16398,0.19376,0.57210,1.30573,1.68868,0.00000,
1s17_69-67cm_20um_rec_voi_0955.bmp,19.66477,159,129.19563,32.86485,25.43805,45.44165,340.10219,10.34851,0.20670,0.51301,-0.19595,130,29,8.94306,1.75261,21.39084,87.38772,96.33078,67.63984,74.56195,,,,,,,,,,,,133.22340,0.20026,0.19326,0.56648,1.31623,1.68976,0.00000,
1s17_69-67cm_20um_rec_voi_0954.bmp,19.64418,144,129.19563,32.98680,25.53244,45.44165,338.50813,10.26193,0.22908,0.54006,-0.36206,114,30,8.89928,3.22227,21.24640,87.30954,96.20883,67.57933,74.46756,,,,,,,,,,,,129.16615,0.22836,0.19490,0.56843,1.31006,1.68902,0.00000,
1s17_69-67cm_20um_rec_voi_0953.bmp,19.62359,148,129.19563,33.14093,25.65174,45.44165,336.02010,10.13913,0.22393,0.53396,-0.33015,115,33,8.77950,2.97104,20.94326,87.27520,96.05470,67.55275,74.34826,,,,,,,,,,,,125.34918,0.25571,0.19726,0.57172,1.30043,1.68489,0.14414,
