
<<<<< Begin of task (f98b6006-f483-4468-902e-b46afae67297) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_7-5cm_20um\1s17_7-5cm_20um_Rec\VOI\1s17_7-5cm_20um_rec_voi_0085.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 549, 575
Total number of images, 991
Total Z-position range, 70, 1060
Number of images inside VOI, 991
Z-position range of VOI, 70, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/23/20 17:49:24 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/23/20 17:49:25 ]	Thresholding done

-----------------------------------------------------------------
[ 11/23/20 17:49:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1837 speckles removed
[ 11/23/20 17:49:28 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 17:49:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/23/20 17:49:30 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 17:50:13 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_7-5cm_20um\1s17_7-5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_7-5cm_20um_rec_voi_1060.bmp,21.82687,78,133.84782,37.94231,28.34735,46.26531,277.52875,7.31449,0.48644,0.78699,-1.39507,57,21,7.34854,10.27437,16.22522,88.55697,95.90551,66.16243,71.65265,,,,,,,,,,,,133.60313,0.24117,0.27343,0.69114,1.03673,1.63430,0.10296,
1s17_7-5cm_20um_rec_voi_1059.bmp,21.80628,77,133.84782,37.89927,28.31520,46.26531,280.25973,7.39486,0.49220,0.79164,-1.40713,58,19,7.46021,10.49820,16.44686,88.48833,95.94854,66.11115,71.68480,,,,,,,,,,,,137.51528,0.23900,0.27046,0.68471,1.04693,1.63424,0.00000,
1s17_7-5cm_20um_rec_voi_1058.bmp,21.78568,67,133.84782,37.83774,28.26922,46.26531,277.77913,7.34132,0.56474,0.84797,-1.30978,44,23,7.33985,9.61373,16.24666,88.67023,96.01008,66.24705,71.73078,,,,,,,,,,,,138.39665,0.23347,0.27243,0.69127,1.03767,1.63212,0.00000,
1s17_7-5cm_20um_rec_voi_1057.bmp,21.76509,62,133.84782,37.79020,28.23371,46.26531,276.60224,7.31942,0.60952,0.88095,-1.25868,42,20,7.17957,9.03718,15.96533,88.87804,96.05762,66.40231,71.76629,,,,,,,,,,,,141.28904,0.22484,0.27325,0.69455,1.03327,1.63328,0.00000,
1s17_7-5cm_20um_rec_voi_1056.bmp,21.74450,68,133.84782,37.53940,28.04633,46.26531,274.96200,7.32462,0.55205,0.83839,-1.15768,45,23,7.13447,8.25970,15.97012,89.17395,96.30842,66.62339,71.95367,,,,,,,,,,,,142.82269,0.22883,0.27305,0.70052,1.02714,1.62241,0.00000,
1s17_7-5cm_20um_rec_voi_1055.bmp,21.72391,59,133.84782,37.31415,27.87804,46.26531,272.10404,7.29225,0.63244,0.89736,-1.31406,37,22,7.07272,9.29426,15.93427,89.46095,96.53367,66.83781,72.12196,,,,,,,,,,,,146.50661,0.24544,0.27426,0.70953,1.01647,1.62878,0.00000,
1s17_7-5cm_20um_rec_voi_1054.bmp,21.70332,69,133.84782,37.13813,27.74654,46.26531,272.34200,7.33322,0.53823,0.82783,-1.46367,52,17,7.17952,10.50941,16.20014,89.53016,96.70968,66.88952,72.25346,,,,,,,,,,,,149.92779,0.25683,0.27273,0.71021,1.01736,1.62710,0.00000,
1s17_7-5cm_20um_rec_voi_1053.bmp,21.68273,73,133.84782,36.99726,27.64128,46.26531,270.88647,7.32180,0.50681,0.80330,-1.36988,56,17,7.15116,9.79845,16.19801,89.69940,96.85056,67.01596,72.35872,,,,,,,,,,,,151.18487,0.27067,0.27316,0.71506,1.01192,1.62938,0.00000,
