
<<<<< Begin of task (9694288f-178b-4912-9172-c8d1191c3d7b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_71-69cm_20um\1s17_71-69cm_20um_Rec\VOI\1s17_71-69cm_20um_rec_voi_0224.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 575, 566
Total number of images, 872
Total Z-position range, 209, 1080
Number of images inside VOI, 872
Z-position range of VOI, 209, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 11:25:41 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 11:25:42 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 11:25:42 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1278 speckles removed
[ 12/02/20 11:25:45 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:25:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 11:25:47 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:26:27 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_71-69cm_20um\1s17_71-69cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_71-69cm_20um_rec_voi_1080.bmp,22.23870,212,137.99247,41.03034,29.73375,46.96542,454.86738,11.08612,0.19354,0.49641,1.27435,196,16,11.54550,-14.70344,21.95971,85.41663,96.96213,61.89949,70.26625,,,,,,,,,,,,49.84257,0.22269,0.18041,0.42633,1.64816,1.76736,0.18532,
1s17_71-69cm_20um_rec_voi_1079.bmp,22.21810,209,137.99247,40.69167,29.48832,46.96542,447.59066,10.99957,0.19470,0.49789,1.30424,198,11,11.45063,-14.92570,21.96035,85.85017,97.30080,62.21367,70.51168,,,,,,,,,,,,45.49653,0.24099,0.18183,0.43478,1.62179,1.76710,0.18532,
1s17_71-69cm_20um_rec_voi_1078.bmp,22.19751,210,137.99247,40.27466,29.18613,46.96542,439.98840,10.92470,0.19178,0.49415,1.57859,201,9,11.19904,-17.67167,21.75681,86.51877,97.71781,62.69819,70.81387,,,,,,,,,,,,44.19197,0.25455,0.18307,0.44418,1.59425,1.76458,0.18532,
1s17_71-69cm_20um_rec_voi_1077.bmp,22.17692,202,137.99247,40.10558,29.06360,46.96542,437.89514,10.91856,0.19854,0.50278,1.45432,194,8,11.37839,-16.53975,22.10084,86.50849,97.88688,62.69074,70.93640,,,,,,,,,,,,45.93422,0.25857,0.18317,0.44708,1.58666,1.76241,0.18532,
1s17_71-69cm_20um_rec_voi_1076.bmp,22.15633,215,137.99247,39.68624,28.75972,46.96542,434.35656,10.94476,0.18459,0.48479,1.76543,209,6,11.06844,-19.53489,21.80772,87.23778,98.30622,63.21923,71.24028,,,,,,,,,,,,49.86004,0.26032,0.18274,0.45265,1.57384,1.75395,0.18532,
1s17_71-69cm_20um_rec_voi_1075.bmp,22.13574,204,137.99247,39.26738,28.45618,46.96542,426.06526,10.85036,0.19249,0.49506,1.79736,197,7,10.87409,-19.53867,21.68682,87.85100,98.72509,63.66362,71.54382,,,,,,,,,,,,54.06471,0.26197,0.18433,0.46343,1.54380,1.75408,0.18532,
1s17_71-69cm_20um_rec_voi_1074.bmp,22.11515,206,137.99247,38.83410,28.14219,46.96542,420.75717,10.83474,0.18852,0.48992,1.66843,197,9,10.72473,-17.88722,21.64041,88.43363,99.15837,64.08584,71.85781,,,,,,,,,,,,56.82451,0.25346,0.18459,0.47133,1.52457,1.75067,0.18532,
1s17_71-69cm_20um_rec_voi_1073.bmp,22.09456,220,137.99247,38.29593,27.75219,46.96542,413.54576,10.79869,0.17407,0.47078,1.75012,206,14,10.60283,-18.55028,21.68323,89.09370,99.69654,64.56418,72.24781,,,,,,,,,,,,57.88742,0.24765,0.18521,0.48215,1.49844,1.74543,0.18532,
