
<<<<< Begin of task (47bc82c0-4981-487e-a274-d560e8ce2e5c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_72-70cm_20um\1s17_72-70cm_20um_Rec\VOI\1s17_72-70cm_20um_rec_voi_0090.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1031
Total Z-position range, 60, 1090
Number of images inside VOI, 1031
Z-position range of VOI, 60, 1090
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 11:59:34 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 11:59:34 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 11:59:34 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1709 speckles removed
[ 12/02/20 11:59:37 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:59:37 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 11:59:40 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 12:00:22 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_72-70cm_20um\1s17_72-70cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_72-70cm_20um_rec_voi_1090.bmp,22.44461,374,95.39543,36.61342,38.38069,36.54877,530.34782,14.48506,0.09790,0.35305,1.56560,348,26,12.95516,-20.15083,26.13583,45.82684,58.78200,48.03883,61.61931,,,,,,,,,,,,144.06287,0.13034,0.13807,0.22167,2.77973,1.80679,13.18963,
1s17_72-70cm_20um_rec_voi_1089.bmp,22.42402,357,95.39543,36.50626,38.26835,36.54877,526.55144,14.42359,0.10226,0.36083,1.59729,335,22,13.34885,-21.18989,26.77529,45.54032,58.88917,47.73848,61.73165,,,,,,,,,,,,150.42512,0.15892,0.13866,0.22368,2.75984,1.80631,13.21418,
1s17_72-70cm_20um_rec_voi_1088.bmp,22.40343,360,95.39543,36.41706,38.17485,36.54877,522.26293,14.34116,0.10116,0.35889,2.04806,345,15,13.32887,-27.21564,26.79389,45.64950,58.97837,47.85293,61.82515,,,,,,,,,,,,158.76950,0.15790,0.13946,0.22586,2.73736,1.80105,12.97665,
1s17_72-70cm_20um_rec_voi_1087.bmp,22.38284,358,95.39543,36.31100,38.06367,36.54877,521.16427,14.35279,0.10143,0.35936,2.12055,344,14,13.15153,-27.76272,26.58887,45.93290,59.08442,48.15000,61.93633,,,,,,,,,,,,172.72464,0.15232,0.13935,0.22674,2.73160,1.75311,13.06858,
1s17_72-70cm_20um_rec_voi_1086.bmp,22.36224,369,95.39543,36.25106,38.00084,36.54877,518.65126,14.30720,0.09824,0.35367,2.46432,355,14,13.32478,-32.78666,26.87758,45.81958,59.14437,48.03122,61.99916,,,,,,,,,,,,7.59365,0.15615,0.13979,0.22807,2.71843,1.80298,13.48937,
1s17_72-70cm_20um_rec_voi_1085.bmp,22.34165,353,95.39543,36.29717,38.04917,36.54877,512.83885,14.12889,0.10282,0.36183,2.48927,334,19,13.15206,-32.61623,26.59709,45.94620,59.09826,48.16395,61.95083,,,,,,,,,,,,14.64923,0.14225,0.14155,0.23047,2.68796,1.80353,13.40950,
1s17_72-70cm_20um_rec_voi_1084.bmp,22.32106,357,95.39543,36.40799,38.16535,36.54877,507.40772,13.93671,0.10198,0.36035,2.56556,341,16,13.07155,-33.42782,26.41809,45.91589,58.98743,48.13217,61.83465,,,,,,,,,,,,23.70464,0.13888,0.14351,0.23251,2.65950,1.78332,13.47627,
1s17_72-70cm_20um_rec_voi_1083.bmp,22.30047,346,95.39543,36.60908,38.37614,36.54877,503.04841,13.74108,0.10581,0.36704,2.47264,335,11,12.98383,-32.09084,26.18082,45.80252,58.78635,48.01333,61.62386,,,,,,,,,,,,34.84902,0.16633,0.14555,0.23372,2.63665,1.79777,13.22667,
