
<<<<< Begin of task (5d2c833f-3d02-4d7f-8b3a-98ffa899ddfe) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_74-72cm_20um\1s17_74-72cm_20um_Rec\VOI\1s17_74-72cm_20um_rec_voi_0071.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 542, 606
Total number of images, 921
Total Z-position range, 40, 960
Number of images inside VOI, 921
Z-position range of VOI, 40, 960
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 11:49:47 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 11:49:48 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 11:49:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
997 speckles removed
[ 12/02/20 11:49:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:49:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 11:49:54 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:50:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:41
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_74-72cm_20um\1s17_74-72cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_74-72cm_20um_rec_voi_0960.bmp,19.76773,295,139.26533,36.35218,26.10282,47.25369,482.40561,13.27033,0.12323,0.39610,2.40772,283,12,11.93627,-28.62457,24.71869,90.97687,102.91314,65.32629,73.89718,,,,,,,,,,,,11.77240,0.16885,0.15071,0.42667,1.73197,1.71912,0.08237,
1s17_74-72cm_20um_rec_voi_0959.bmp,19.74714,291,139.26533,36.84101,26.45383,47.25369,490.17689,13.30520,0.12660,0.40149,2.12229,281,10,12.55045,-26.63902,25.41016,89.87387,102.42432,64.53428,73.54617,,,,,,,,,,,,12.54910,0.18323,0.15032,0.41791,1.75987,1.77225,0.00000,
1s17_74-72cm_20um_rec_voi_0958.bmp,19.72655,297,139.26533,36.87350,26.47716,47.25369,495.52180,13.43843,0.12415,0.39759,2.07664,286,11,12.59539,-26.15724,25.46123,89.79644,102.39183,64.47868,73.52284,,,,,,,,,,,,10.49413,0.18802,0.14883,0.41327,1.77906,1.77236,0.00000,
1s17_74-72cm_20um_rec_voi_0957.bmp,19.70596,292,139.26533,37.00786,26.57363,47.25369,497.43776,13.44141,0.12674,0.40171,1.96079,283,9,12.52103,-24.55197,25.28026,89.73644,102.25747,64.43559,73.42637,,,,,,,,,,,,8.84203,0.18487,0.14879,0.41114,1.78594,1.70202,0.00000,
1s17_74-72cm_20um_rec_voi_0956.bmp,19.68536,287,139.26533,37.02285,26.58440,47.25369,496.92030,13.42199,0.12900,0.40527,1.79902,273,14,12.54859,-22.57762,25.31415,89.69388,102.24247,64.40503,73.41560,,,,,,,,,,,,3.62555,0.19401,0.14901,0.41150,1.78408,1.77591,0.00000,
1s17_74-72cm_20um_rec_voi_0955.bmp,19.66477,314,139.26533,36.94251,26.52671,47.25369,499.05888,13.50907,0.11765,0.38704,2.17132,302,12,12.62459,-27.41478,25.46970,89.69823,102.32282,64.40816,73.47329,,,,,,,,,,,,168.85573,0.20677,0.14805,0.41006,1.79176,1.79191,0.00000,
1s17_74-72cm_20um_rec_voi_0954.bmp,19.64418,308,139.26533,36.95565,26.53615,47.25369,496.93736,13.44686,0.11999,0.39086,1.84827,296,12,12.64346,-23.37130,25.49131,89.66622,102.30968,64.38517,73.46385,,,,,,,,,,,,159.13807,0.21343,0.14873,0.41176,1.78414,1.77655,0.00000,
1s17_74-72cm_20um_rec_voi_0953.bmp,19.62359,291,139.26533,37.16341,26.68533,47.25369,497.46981,13.38601,0.12771,0.40324,1.90282,281,10,12.91753,-24.58109,25.79330,89.18439,102.10192,64.03919,73.31467,,,,,,,,,,,,147.81173,0.21367,0.14941,0.41048,1.78605,1.77643,0.00000,
