
<<<<< Begin of task (e82438a9-dd02-4638-97b4-55dda4f5e6e1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_76-74cm_20um\1s17_76-74cm_20um_Rec\VOI\1s17_76-74cm_20um_rec_voi_0196.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 901
Total Z-position range, 180, 1080
Number of images inside VOI, 901
Z-position range of VOI, 180, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 11:36:08 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 11:36:09 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 11:36:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1332 speckles removed
[ 12/02/20 11:36:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:36:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 11:36:16 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:36:55 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:39
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_76-74cm_20um\1s17_76-74cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_76-74cm_20um_rec_voi_1080.bmp,22.23870,310,95.39543,37.43361,39.24047,36.54877,488.75391,13.05655,0.12075,0.39211,2.13609,293,17,12.61489,-26.86099,25.20534,45.34692,57.96182,47.53574,60.75953,,,,,,,,,,,,102.13638,0.25583,0.15318,0.23718,2.56173,1.79408,14.10943,
1s17_76-74cm_20um_rec_voi_1079.bmp,22.21810,321,95.39543,37.50861,39.31908,36.54877,488.54371,13.02484,0.11685,0.38572,2.25898,307,14,12.68348,-28.63184,25.26988,45.20334,57.88682,47.38523,60.68092,,,,,,,,,,,,104.69876,0.23128,0.15355,0.23698,2.56062,1.79558,14.35799,
1s17_76-74cm_20um_rec_voi_1078.bmp,22.19751,315,95.39543,37.95227,39.78416,36.54877,489.26758,12.89165,0.12048,0.39167,2.31303,305,10,12.60143,-29.12704,24.92682,44.84172,57.44315,47.00615,60.21584,,,,,,,,,,,,108.18425,0.19343,0.15514,0.23481,2.56442,1.79942,13.93470,
1s17_76-74cm_20um_rec_voi_1077.bmp,22.17692,305,95.39543,38.36663,40.21852,36.54877,490.67608,12.78914,0.12579,0.40020,2.03891,290,15,12.68459,-25.84105,24.84679,44.34420,57.02879,46.48462,59.78148,,,,,,,,,,,,111.32284,0.15429,0.15638,0.23245,2.57180,1.79975,13.28285,
1s17_76-74cm_20um_rec_voi_1076.bmp,22.15633,303,95.39543,38.70361,40.57177,36.54877,495.24080,12.79573,0.12773,0.40328,2.16433,290,13,12.71231,-27.49336,24.72446,43.97951,56.69182,46.10232,59.42823,,,,,,,,,,,,134.13084,0.09166,0.15630,0.22895,2.59573,1.80037,13.00267,
1s17_76-74cm_20um_rec_voi_1075.bmp,22.13574,301,95.39543,38.92881,40.80784,36.54877,500.24354,12.85021,0.12933,0.40580,1.11508,288,13,14.07257,-15.66761,26.55133,42.39405,56.46662,44.44033,59.19216,,,,,,,,,,,,6.53117,0.11734,0.15564,0.22576,2.62195,1.80131,12.63513,
1s17_76-74cm_20um_rec_voi_1074.bmp,22.11515,314,95.39543,38.88779,40.76483,36.54877,499.01977,12.83230,0.12385,0.39710,2.26465,304,10,12.90815,-29.18735,24.92116,43.59949,56.50764,45.70396,59.23517,,,,,,,,,,,,12.99423,0.17639,0.15586,0.22647,2.61553,1.80251,12.17712,
1s17_76-74cm_20um_rec_voi_1073.bmp,22.09456,302,95.39543,38.86161,40.73739,36.54877,499.26808,12.84734,0.12868,0.40477,2.02597,294,8,12.88122,-26.04162,24.89470,43.65260,56.53382,45.75963,59.26261,,,,,,,,,,,,16.35282,0.21014,0.15567,0.22647,2.61683,1.80127,11.81061,
