
<<<<< Begin of task (8c895481-1c30-4f00-bf4c-a09b4da097d2) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_78-76cm_20um\1s17_78-76cm_20um_Rec\VOI\1s17_78-76cm_20um_rec_voi_0055.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 595, 559
Total number of images, 1051
Total Z-position range, 40, 1090
Number of images inside VOI, 1051
Z-position range of VOI, 40, 1090
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 11:25:08 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 11:25:09 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 11:25:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1881 speckles removed
[ 12/02/20 11:25:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:25:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 11:25:16 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 11:26:09 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:53
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\80-63\1s17_78-76cm_20um\1s17_78-76cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_78-76cm_20um_rec_voi_1090.bmp,22.44461,277,141.02622,32.47572,23.02814,47.50079,420.73869,12.95549,0.11724,0.38636,2.28162,263,14,10.81531,-24.67809,24.98280,97.73519,108.55050,69.30285,76.97186,,,,,,,,,,,,179.10960,0.22373,0.15437,0.51600,1.49170,1.73965,0.00000,
1s17_78-76cm_20um_rec_voi_1089.bmp,22.42402,270,141.02622,32.83215,23.28088,47.50079,419.64074,12.78140,0.12160,0.39348,2.14576,251,19,10.78203,-23.13727,24.72138,97.41205,108.19408,69.07371,76.71912,,,,,,,,,,,,0.62867,0.22943,0.15648,0.51565,1.48781,1.72401,0.00000,
1s17_78-76cm_20um_rec_voi_1088.bmp,22.40343,264,141.02622,33.10282,23.47281,47.50079,420.83005,12.71282,0.12539,0.39956,1.94664,237,27,10.76628,-20.95908,24.54184,97.15712,107.92340,68.89294,76.52719,,,,,,,,,,,,2.78909,0.23189,0.15732,0.51291,1.49203,1.74070,0.00000,
1s17_78-76cm_20um_rec_voi_1087.bmp,22.38284,253,141.02622,33.24009,23.57015,47.50079,416.11937,12.51860,0.13138,0.40900,2.09028,233,20,10.64613,-22.25537,24.25848,97.14000,107.78613,68.88080,76.42985,,,,,,,,,,,,6.82023,0.24463,0.15976,0.51805,1.47533,1.73915,0.00000,
1s17_78-76cm_20um_rec_voi_1086.bmp,22.36224,249,141.02622,33.13282,23.49408,47.50079,416.34769,12.56602,0.13306,0.41161,2.06959,230,19,10.66240,-22.06859,24.34604,97.23100,107.89340,68.94533,76.50592,,,,,,,,,,,,9.28408,0.26074,0.15916,0.51829,1.47614,1.73800,0.00000,
1s17_78-76cm_20um_rec_voi_1085.bmp,22.34165,254,141.02622,32.83294,23.28144,47.50079,415.06517,12.64173,0.12926,0.40569,2.20786,237,17,10.64714,-23.50877,24.48740,97.54614,108.19328,69.16880,76.71856,,,,,,,,,,,,9.04317,0.26481,0.15821,0.52133,1.47159,1.72449,0.00000,
1s17_78-76cm_20um_rec_voi_1084.bmp,22.32106,257,141.02622,32.51897,23.05881,47.50079,416.08011,12.79500,0.12653,0.40138,1.96610,238,19,10.66474,-20.96957,24.69621,97.84252,108.50726,69.37896,76.94119,,,,,,,,,,,,8.08218,0.28412,0.15631,0.52157,1.47519,1.73557,0.00000,
1s17_78-76cm_20um_rec_voi_1083.bmp,22.30047,257,141.02622,31.87130,22.59956,47.50079,411.80416,12.92085,0.12401,0.39736,2.05908,246,11,10.61947,-21.86853,24.99242,98.53545,109.15492,69.87030,77.40044,,,,,,,,,,,,8.04478,0.29991,0.15479,0.53013,1.46003,1.73077,0.00000,
