
<<<<< Begin of task (094704fd-07aa-4b74-ad01-82b4d65d61e3) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_82-80cm_20um\1s17_82-80cm_20um_Rec\VOI\1s17_82-80cm_20um_rec_voi_0055.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 541, 573
Total number of images, 1036
Total Z-position range, 40, 1075
Number of images inside VOI, 1036
Z-position range of VOI, 40, 1075
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 14:35:45 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/02/20 14:35:46 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 14:35:46 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1883 speckles removed
[ 12/02/20 14:35:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 14:35:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 14:35:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 14:36:38 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_82-80cm_20um\1s17_82-80cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_82-80cm_20um_rec_voi_1075.bmp,22.13574,194,131.43862,31.70217,24.11938,45.85348,378.18921,11.92944,0.16341,0.45614,2.21238,188,6,8.71935,-19.28052,21.57105,91.01710,99.73644,69.24685,75.88062,,,,,,,,,,,,61.19476,0.37664,0.16765,0.52744,1.43865,1.72743,0.06177,
1s17_82-80cm_20um_rec_voi_1074.bmp,22.11515,203,131.43862,31.68394,24.10550,45.85348,380.79180,12.01845,0.15608,0.44579,2.16870,191,12,9.73113,-21.06500,23.49659,90.02355,99.75468,68.49094,75.89450,,,,,,,,,,,,61.49547,0.36269,0.16641,0.52393,1.44855,1.72690,0.00000,
1s17_82-80cm_20um_rec_voi_1073.bmp,22.09456,212,131.43862,31.66120,24.08821,45.85348,382.00866,12.06551,0.14935,0.43606,2.08028,197,15,9.76489,-20.29045,23.57184,90.01252,99.77741,68.48255,75.91179,,,,,,,,,,,,57.64342,0.34749,0.16576,0.52238,1.45318,1.72746,0.00000,
1s17_82-80cm_20um_rec_voi_1072.bmp,22.07396,197,131.43862,31.64191,24.07353,45.85348,377.71979,11.93733,0.16062,0.45222,1.91116,185,12,9.67495,-18.46585,23.41647,90.12176,99.79671,68.56566,75.92647,,,,,,,,,,,,54.54101,0.33317,0.16754,0.52842,1.43687,1.72577,0.00000,
1s17_82-80cm_20um_rec_voi_1071.bmp,22.05337,203,131.43862,31.57826,24.02510,45.85348,375.02964,11.87620,0.15556,0.44504,1.86912,188,15,9.64352,-17.99906,23.39423,90.21684,99.86036,68.63800,75.97490,,,,,,,,,,,,49.19679,0.31167,0.16840,0.53255,1.42663,1.72410,0.00000,
1s17_82-80cm_20um_rec_voi_1070.bmp,22.03278,207,131.43862,31.52860,23.98732,45.85348,371.94614,11.79710,0.15231,0.44037,1.51117,186,21,9.54897,-14.40496,23.24619,90.36106,99.91002,68.74772,76.01268,,,,,,,,,,,,43.37117,0.28200,0.16953,0.53723,1.41490,1.72390,0.00000,
1s17_82-80cm_20um_rec_voi_1069.bmp,22.01219,200,131.43862,31.48837,23.95671,45.85348,369.38852,11.73095,0.15744,0.44773,1.34104,175,25,9.44715,-12.64323,23.07813,90.50310,99.95025,68.85579,76.04329,,,,,,,,,,,,38.82763,0.25517,0.17049,0.54117,1.40517,1.71946,0.00000,
1s17_82-80cm_20um_rec_voi_1068.bmp,21.99160,205,131.43862,31.37945,23.87385,45.85348,366.36790,11.67541,0.15307,0.44147,0.91187,176,29,9.50307,-8.63887,23.24482,90.55610,100.05917,68.89611,76.12615,,,,,,,,,,,,35.17059,0.19353,0.17130,0.54622,1.39368,1.71698,0.00000,
