
<<<<< Begin of task (fe2040ab-6028-4643-b202-93bcdd906409) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_84-82cm_20um\1s17_84-82cm_20um_Rec\VOI\1s17_84-82cm_20um_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 871
Total Z-position range, 60, 930
Number of images inside VOI, 871
Z-position range of VOI, 60, 930
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 15:21:37 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 15:21:38 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 15:21:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1542 speckles removed
[ 12/02/20 15:21:40 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 15:21:40 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 15:21:42 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 15:22:11 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:29
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_84-82cm_20um\1s17_84-82cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_84-82cm_20um_rec_voi_0930.bmp,19.14999,165,95.39543,30.61640,32.09420,36.54877,330.38534,10.79112,0.18555,0.48606,1.28745,144,21,8.48858,-10.91406,21.70716,56.29044,64.77902,59.00748,67.90580,,,,,,,,,,,,174.67882,0.34961,0.18534,0.39214,1.73166,1.69445,10.76459,
1s17_84-82cm_20um_rec_voi_0929.bmp,19.12940,164,95.39543,30.59573,32.07254,36.54877,328.28916,10.72990,0.18656,0.48738,1.31830,145,19,8.48291,-11.16908,21.70728,56.31678,64.79970,59.03510,67.92746,,,,,,,,,,,,174.73262,0.37369,0.18640,0.39477,1.72068,1.69486,10.50647,
1s17_84-82cm_20um_rec_voi_0928.bmp,19.10880,153,95.39543,30.64205,32.12109,36.54877,326.02653,10.63984,0.20027,0.50497,1.41099,133,20,8.39875,-11.83678,21.51274,56.35463,64.75337,59.07477,67.87891,,,,,,,,,,,,175.05446,0.37858,0.18797,0.39723,1.70882,1.69259,10.19863,
1s17_84-82cm_20um_rec_voi_0927.bmp,19.08821,154,95.39543,30.48401,31.95542,36.54877,325.36175,10.67319,0.19795,0.50203,1.45861,136,18,8.35428,-12.14590,21.51042,56.55714,64.91142,59.28706,68.04458,,,,,,,,,,,,175.06079,0.38628,0.18739,0.39901,1.70533,1.69066,10.07009,
1s17_84-82cm_20um_rec_voi_0926.bmp,19.06762,162,95.39543,30.18286,31.63973,36.54877,321.98255,10.66773,0.18631,0.48705,1.55922,142,20,8.25882,-12.83930,21.48404,56.95375,65.21257,59.70280,68.36027,,,,,,,,,,,,174.43486,0.39295,0.18748,0.40507,1.68762,1.49678,9.96463,
1s17_84-82cm_20um_rec_voi_0925.bmp,19.04703,154,95.39543,29.94563,31.39105,36.54877,316.34536,10.56399,0.19445,0.49758,1.59135,135,19,8.10963,-12.86892,21.31014,57.34017,65.44980,60.10788,68.60895,,,,,,,,,,,,176.39811,0.41049,0.18932,0.41379,1.65807,1.67922,9.64327,
1s17_84-82cm_20um_rec_voi_0924.bmp,19.02644,151,95.39543,29.90026,31.34349,36.54877,314.61033,10.52199,0.19801,0.50212,1.05482,126,25,8.08504,-8.47721,21.28465,57.41013,65.49517,60.18122,68.65651,,,,,,,,,,,,176.23488,0.41424,0.19008,0.41636,1.64898,1.61675,9.58399,
1s17_84-82cm_20um_rec_voi_0923.bmp,19.00585,155,95.39543,29.85690,31.29804,36.54877,310.26101,10.39160,0.19263,0.49524,1.13783,134,21,8.09929,-9.16525,21.33853,57.43923,65.53852,60.21172,68.70196,,,,,,,,,,,,177.02009,0.41178,0.19246,0.42247,1.62618,1.67602,8.92817,
