
<<<<< Begin of task (f02e7867-7695-4879-8038-9206381dd8eb) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_86-84cm_20um_redo\1s17_86-84cm_20um_redo_Rec\VOI\1s17_86-84cm_20um_redo_rec_voi_0196.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 571
Total number of images, 901
Total Z-position range, 180, 1080
Number of images inside VOI, 901
Z-position range of VOI, 180, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 15:14:57 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 15:14:58 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 15:14:58 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1800 speckles removed
[ 12/02/20 15:15:00 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 15:15:00 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 15:15:03 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 15:15:32 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:29
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_86-84cm_20um_redo\1s17_86-84cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_86-84cm_20um_redo_rec_voi_1080.bmp,22.23870,224,129.76931,26.48967,20.41289,45.56520,327.71088,12.37127,0.11826,0.38803,2.54542,210,14,8.54349,-21.74149,24.38687,94.73615,103.27964,73.00351,79.58711,,,,,,,,,,,,159.07579,0.35978,0.16166,0.63031,1.26267,1.66151,0.37064,
1s17_86-84cm_20um_redo_rec_voi_1079.bmp,22.21810,223,129.76931,26.36867,20.31965,45.56520,323.59831,12.27208,0.11825,0.38801,2.98446,211,12,8.35677,-24.93926,24.06527,95.04387,103.40064,73.24064,79.68035,,,,,,,,,,,,154.92284,0.36660,0.16297,0.63907,1.24682,1.61664,0.37064,
1s17_86-84cm_20um_redo_rec_voi_1078.bmp,22.19751,199,129.76931,26.56636,20.47199,45.56520,323.99601,12.19573,0.13350,0.41228,2.89005,190,9,8.33281,-24.07906,23.87682,94.87014,103.20295,73.10676,79.52801,,,,,,,,,,,,150.84009,0.38295,0.16399,0.63706,1.24835,1.66669,0.37064,
1s17_86-84cm_20um_redo_rec_voi_1077.bmp,22.17692,208,129.76931,26.69557,20.57156,45.56520,326.66269,12.23659,0.12834,0.40424,2.97603,198,10,8.43415,-25.09864,24.00859,94.63959,103.07374,72.92910,79.42844,,,,,,,,,,,,149.36739,0.40293,0.16344,0.63107,1.25863,1.67074,0.37064,
1s17_86-84cm_20um_redo_rec_voi_1076.bmp,22.15633,209,129.76931,26.63521,20.52504,45.56520,324.28030,12.17487,0.12744,0.40282,2.92419,201,8,8.37188,-24.48004,23.91480,94.76223,103.13410,73.02361,79.47496,,,,,,,,,,,,147.53233,0.41874,0.16427,0.63608,1.24945,1.66610,0.37064,
1s17_86-84cm_20um_redo_rec_voi_1075.bmp,22.13574,200,129.76931,26.55427,20.46268,45.56520,323.61345,12.18687,0.13277,0.41116,2.45722,186,14,8.34257,-20.49273,23.90636,94.87247,103.21504,73.10856,79.53732,,,,,,,,,,,,146.95376,0.43760,0.16411,0.63789,1.24688,1.66390,0.37064,
1s17_86-84cm_20um_redo_rec_voi_1074.bmp,22.11515,221,129.76931,26.65715,20.54195,45.56520,325.92518,12.22656,0.12062,0.39189,2.97091,208,13,8.44539,-25.06402,24.05919,94.66677,103.11216,72.95005,79.45805,,,,,,,,,,,,145.33532,0.44515,0.16358,0.63274,1.25579,1.66536,0.37064,
1s17_86-84cm_20um_redo_rec_voi_1073.bmp,22.09456,209,129.76931,26.96529,20.77941,45.56520,327.18186,12.13344,0.12902,0.40531,2.76947,194,15,8.44989,-23.36932,23.85952,94.35412,102.80402,72.70912,79.22059,,,,,,,,,,,,144.97452,0.44128,0.16483,0.62842,1.26063,1.66896,0.28828,
