
<<<<< Begin of task (2160a0dc-ab18-4cdb-af38-8ca78eac017f) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_9-7cm_20um\1s17_9-7cm_20um_Rec\VOI\1s17_9-7cm_20um_rec_voi_0089.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 566, 624
Total number of images, 841
Total Z-position range, 60, 900
Number of images inside VOI, 841
Z-position range of VOI, 60, 900
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 11/23/20 19:56:12 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 11/23/20 19:56:13 ]	Thresholding done

-----------------------------------------------------------------
[ 11/23/20 19:56:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
798 speckles removed
[ 11/23/20 19:56:15 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 19:56:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 11/23/20 19:56:18 ]	Despeckle done

-----------------------------------------------------------------
[ 11/23/20 19:56:51 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\20-3\1s17_9-7cm_20um\1s17_9-7cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_9-7cm_20um_rec_voi_0900.bmp,18.53225,32,149.75182,16.43921,10.97763,48.98337,118.52695,7.21002,0.51373,0.80876,0.63193,23,9,3.01213,2.27776,15.48547,130.30048,133.31262,87.01095,89.02237,,,,,,,,,,,,158.18299,0.81873,0.27739,2.24949,0.39574,1.43930,0.00000,
1s17_9-7cm_20um_rec_voi_0899.bmp,18.51165,25,149.75182,16.62259,11.10009,48.98337,117.14087,7.04709,0.66490,0.92010,0.48990,15,10,2.95214,2.03895,15.08136,130.17710,133.12923,86.92856,88.89991,,,,,,,,,,,,158.18898,0.81853,0.28381,2.27298,0.39112,1.43983,0.00000,
1s17_9-7cm_20um_rec_voi_0898.bmp,18.49106,25,149.75182,16.76898,11.19785,48.98337,118.86519,7.08840,0.67076,0.92414,0.47838,13,12,2.98690,3.17672,15.11906,129.99594,132.98285,86.80758,88.80215,,,,,,,,,,,,158.08234,0.81430,0.28215,2.23754,0.39687,1.44118,0.00000,
1s17_9-7cm_20um_rec_voi_0897.bmp,18.47047,23,149.75182,16.88648,11.27631,48.98337,118.91723,7.04216,0.73419,0.96685,0.39325,8,15,3.01150,4.45217,15.13469,129.85385,132.86534,86.71270,88.72369,,,,,,,,,,,,157.64340,0.80913,0.28400,2.23459,0.39705,1.43958,0.00000,
1s17_9-7cm_20um_rec_voi_0896.bmp,18.44988,22,149.75182,16.97218,11.33354,48.98337,117.37383,6.91566,0.77146,0.99109,0.42466,10,12,2.96570,3.65678,14.87471,129.81394,132.77964,86.68605,88.66646,,,,,,,,,,,,157.26964,0.80478,0.28920,2.26251,0.39189,1.43348,0.00000,
1s17_9-7cm_20um_rec_voi_0895.bmp,18.42929,28,149.75182,17.02714,11.37024,48.98337,116.46817,6.84015,0.60811,0.87993,0.47120,19,9,3.17394,4.59485,15.71174,129.55074,132.72468,86.51029,88.62976,,,,,,,,,,,,156.80274,0.80100,0.29239,2.27916,0.38887,1.42667,0.00000,
1s17_9-7cm_20um_rec_voi_0894.bmp,18.40870,34,149.75182,17.10018,11.41901,48.98337,116.62755,6.82025,0.50295,0.80023,0.40152,24,10,3.19901,3.85149,15.75931,129.45263,132.65164,86.44478,88.58099,,,,,,,,,,,,156.29828,0.79715,0.29324,2.27479,0.38940,1.42535,0.00000,
1s17_9-7cm_20um_rec_voi_0893.bmp,18.38811,34,149.75182,17.23332,11.50792,48.98337,117.23408,6.80276,0.50686,0.80334,0.39232,25,9,3.21385,3.73208,15.71784,129.30465,132.51851,86.34596,88.49208,,,,,,,,,,,,155.73588,0.79466,0.29400,2.26075,0.39143,1.42043,0.00000,
