
<<<<< Begin of task (fa82e58f-d8ad-4473-b1a4-b1cfec321fab) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_92-90cm_20um\1s17_92-90cm_20um_Rec\VOI\1s17_92-90cm_20um_rec_voi_0056.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 564, 566
Total number of images, 1041
Total Z-position range, 40, 1080
Number of images inside VOI, 1041
Z-position range of VOI, 40, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 14:43:32 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 14:43:33 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 14:43:33 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4865 speckles removed
[ 12/02/20 14:43:38 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 14:43:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 14:43:43 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 14:45:04 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:21
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_92-90cm_20um\1s17_92-90cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_92-90cm_20um_rec_voi_1080.bmp,22.23870,284,135.35261,42.78143,31.60739,46.51240,557.92037,13.04118,0.15064,0.43795,0.09558,250,34,13.16578,-1.24179,23.53251,79.40540,92.57118,58.66558,68.39261,,,,,,,,,,,,66.37453,0.15537,0.15336,0.33184,2.06099,1.81954,0.06177,
1s17_92-90cm_20um_rec_voi_1079.bmp,22.21810,298,135.35261,42.54356,31.43165,46.51240,553.27278,13.00485,0.14276,0.42635,0.19550,269,29,14.25516,-2.77090,25.09768,78.55389,92.80905,58.03648,68.56835,,,,,,,,,,,,62.84043,0.15191,0.15379,0.33549,2.04382,1.80995,0.08237,
1s17_92-90cm_20um_rec_voi_1078.bmp,22.19751,291,135.35261,42.47503,31.38102,46.51240,552.32765,13.00358,0.14596,0.43110,0.40911,259,32,14.03293,-5.72622,24.83354,78.84465,92.87758,58.25130,68.61898,,,,,,,,,,,,49.69178,0.15342,0.15380,0.33631,2.04033,1.81025,0.08237,
1s17_92-90cm_20um_rec_voi_1077.bmp,22.17692,274,135.35261,42.67362,31.52774,46.51240,554.70983,12.99889,0.15574,0.44531,-0.17372,240,34,14.21869,2.48808,24.99229,78.46029,92.67899,57.96733,68.47226,,,,,,,,,,,,50.34017,0.15562,0.15386,0.33415,2.04913,1.80797,0.08237,
1s17_92-90cm_20um_rec_voi_1076.bmp,22.15633,274,135.35261,42.86761,31.67106,46.51240,551.96008,12.87592,0.15645,0.44632,0.03936,242,32,13.55666,-0.51670,24.02630,78.92834,92.48500,58.31313,68.32894,,,,,,,,,,,,49.19538,0.15758,0.15533,0.33511,2.03897,1.80716,0.08237,
1s17_92-90cm_20um_rec_voi_1075.bmp,22.13574,266,135.35261,43.02709,31.78888,46.51240,552.31038,12.83634,0.16176,0.45382,-0.24071,228,38,13.34190,3.22972,23.66887,78.98362,92.32552,58.35397,68.21112,,,,,,,,,,,,50.01588,0.14248,0.15581,0.33432,2.04026,1.70676,0.08237,
1s17_92-90cm_20um_rec_voi_1074.bmp,22.11515,253,135.35261,43.34308,32.02234,46.51240,545.94482,12.59589,0.17132,0.46704,0.43662,217,36,0.46672,14.81953,1.06534,91.54281,92.00953,67.63284,67.97766,,,,,,,,,,,,54.57616,0.12033,0.15878,0.33707,2.01675,1.80553,0.00000,
1s17_92-90cm_20um_rec_voi_1073.bmp,22.09456,256,135.35261,43.55646,32.17999,46.51240,542.16964,12.44752,0.17014,0.46544,-0.00827,222,34,13.82797,0.11432,24.09708,77.96818,91.79615,57.60375,67.82001,,,,,,,,,,,,55.59638,0.12020,0.16067,0.33863,2.00280,1.80690,0.00000,
