
<<<<< Begin of task (3be0a7f5-8619-4bf6-a523-d102578a4657) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_94-92cm_20um\1s17_94-92cm_20um_Rec\VOI\1s17_94-92cm_20um_rec_voi_0055.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 583, 554
Total number of images, 901
Total Z-position range, 40, 940
Number of images inside VOI, 901
Z-position range of VOI, 40, 940
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/02/20 14:34:27 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/02/20 14:34:28 ]	Thresholding done

-----------------------------------------------------------------
[ 12/02/20 14:34:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3591 speckles removed
[ 12/02/20 14:34:31 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 14:34:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/02/20 14:34:34 ]	Despeckle done

-----------------------------------------------------------------
[ 12/02/20 14:35:30 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:56
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\1s17_8Feb2020\95-78\1s17_94-92cm_20um\1s17_94-92cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
1s17_94-92cm_20um_rec_voi_0940.bmp,19.35590,287,136.94602,38.02536,27.76668,46.80068,515.63670,13.56034,0.13249,0.41072,0.82126,256,31,12.91403,-10.57937,25.35176,86.00663,98.92066,62.80331,72.23332,,,,,,,,,,,,36.51154,0.29255,0.14749,0.38368,1.88263,1.76702,0.00000,
1s17_94-92cm_20um_rec_voi_0939.bmp,19.33531,267,136.94602,38.16677,27.86994,46.80068,518.08355,13.57421,0.14295,0.42662,0.72409,233,34,12.85313,-9.26359,25.19239,85.92612,98.77925,62.74452,72.13006,,,,,,,,,,,,35.54153,0.27023,0.14734,0.38133,1.89156,1.76928,0.00000,
1s17_94-92cm_20um_rec_voi_0938.bmp,19.31472,274,136.94602,38.37543,28.02230,46.80068,524.48166,13.66712,0.14006,0.42229,0.79505,241,33,13.07817,-10.34312,25.41741,85.49242,98.57059,62.42782,71.97770,,,,,,,,,,,,40.89360,0.24372,0.14634,0.37588,1.91492,1.77000,0.04118,
1s17_94-92cm_20um_rec_voi_0937.bmp,19.29413,286,136.94602,38.41036,28.04781,46.80068,529.12233,13.77551,0.13430,0.41352,0.81646,256,30,13.25520,-10.79613,25.65577,85.28047,98.53566,62.27305,71.95219,,,,,,,,,,,,38.71776,0.22300,0.14519,0.37245,1.93186,1.77279,0.06177,
1s17_94-92cm_20um_rec_voi_0936.bmp,19.27354,277,136.94602,38.52871,28.13423,46.80068,531.40429,13.79242,0.13909,0.42083,0.93302,250,27,12.95458,-12.06209,25.16268,85.46274,98.41731,62.40615,71.86577,,,,,,,,,,,,32.27646,0.21640,0.14501,0.37040,1.94020,1.77255,0.08237,
1s17_94-92cm_20um_rec_voi_0935.bmp,19.25294,282,136.94602,38.73149,28.28230,46.80068,533.82751,13.78278,0.13735,0.41818,0.88850,253,29,12.95919,-11.48882,25.07065,85.25535,98.21453,62.25471,71.71770,,,,,,,,,,,,26.70887,0.18541,0.14511,0.36796,1.94904,1.77280,0.10296,
1s17_94-92cm_20um_rec_voi_0934.bmp,19.23235,292,136.94602,38.88350,28.39330,46.80068,536.47684,13.79703,0.13316,0.41176,0.71610,261,31,13.05650,-9.32390,25.13765,85.00603,98.06253,62.07265,71.60670,,,,,,,,,,,,22.92088,0.15269,0.14496,0.36558,1.95872,1.77496,0.12355,
1s17_94-92cm_20um_rec_voi_0933.bmp,19.21176,293,136.94602,39.27321,28.67788,46.80068,533.73016,13.59018,0.13404,0.41311,1.03318,269,24,12.93210,-13.33826,24.77162,84.74071,97.67281,61.87891,71.32212,,,,,,,,,,,,12.44788,0.14566,0.14717,0.36600,1.94869,1.76573,0.14414,
