
<<<<< Begin of task (a0921209-4c8f-4bee-bd60-bb90a0ff0d61) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_11-9cm_20um\2s16_11-9cm_20um_Rec\VOI\2s16_11-9cm_20um_rec_voi_0069.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 595, 568
Total number of images, 1031
Total Z-position range, 40, 1070
Number of images inside VOI, 1031
Z-position range of VOI, 40, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 09:24:25 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 09:24:25 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 09:24:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1734 speckles removed
[ 12/03/20 09:24:28 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:24:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 09:24:31 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:25:09 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:38
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_11-9cm_20um\2s16_11-9cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_11-9cm_20um_rec_voi_1070.bmp,22.03278,76,143.29677,29.55395,20.62430,47.87144,209.56407,7.09090,0.38887,0.70365,0.52470,57,19,6.85876,-3.59902,18.83617,106.88406,113.74282,74.58930,79.37570,,,,,,,,,,,,87.46458,0.43669,0.28205,1.08552,0.73122,1.53885,0.00000,
2s16_11-9cm_20um_rec_voi_1069.bmp,22.01219,76,143.29677,29.30151,20.44813,47.87144,207.08104,7.06725,0.38555,0.70064,1.39943,59,17,8.58345,-12.01257,22.65662,105.41181,113.99526,73.56189,79.55187,,,,,,,,,,,,86.15427,0.43358,0.28300,1.10097,0.72256,1.53615,0.00000,
2s16_11-9cm_20um_rec_voi_1068.bmp,21.99160,73,143.29677,29.19673,20.37501,47.87144,205.96411,7.05436,0.39996,0.71361,1.52748,59,14,9.45092,-14.43686,24.45405,104.64913,114.10004,73.02965,79.62499,,,,,,,,,,,,84.23913,0.42879,0.28351,1.10796,0.71866,1.53870,0.00000,
2s16_11-9cm_20um_rec_voi_1067.bmp,21.97101,66,143.29677,29.23123,20.39909,47.87144,205.54850,7.03181,0.44290,0.75094,0.66715,52,14,9.19185,-6.13257,23.92273,104.87369,114.06554,73.18636,79.60091,,,,,,,,,,,,82.24264,0.42345,0.28442,1.10986,0.71721,1.46164,0.00000,
2s16_11-9cm_20um_rec_voi_1066.bmp,21.95042,70,143.29677,29.35864,20.48800,47.87144,207.09103,7.05383,0.41941,0.73076,-0.55687,55,15,7.30275,4.06698,19.91945,106.63538,113.93813,74.41576,79.51200,,,,,,,,,,,,81.20728,0.42371,0.28353,1.10037,0.72259,1.54197,0.00000,
2s16_11-9cm_20um_rec_voi_1065.bmp,21.92982,61,143.29677,29.55824,20.62729,47.87144,207.45875,7.01864,0.48456,0.78547,-0.09462,47,14,12.53502,1.18605,29.77916,101.20350,113.73852,70.62511,79.37271,,,,,,,,,,,,79.26580,0.42989,0.28496,1.09649,0.72388,1.53105,0.00000,
2s16_11-9cm_20um_rec_voi_1064.bmp,21.90923,62,143.29677,29.78445,20.78515,47.87144,209.01128,7.01746,0.48039,0.78209,-0.00398,48,14,6.85823,0.02728,18.71651,106.65409,113.51232,74.42882,79.21485,,,,,,,,,,,,78.79398,0.43754,0.28500,1.08618,0.72930,1.54484,0.00000,
2s16_11-9cm_20um_rec_voi_1063.bmp,21.88864,71,143.29677,30.05099,20.97116,47.87144,209.78461,6.98095,0.42325,0.73410,-0.47476,58,13,6.21623,2.95162,17.14008,107.02954,113.24578,74.69083,79.02884,,,,,,,,,,,,80.28811,0.44351,0.28649,1.07964,0.73199,1.54717,0.00000,
