
<<<<< Begin of task (a6031984-633b-406b-a367-641b6f67379f) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_13-11cm_20um\2s16_13-11cm_20um_Rec\VOI\2s16_13-11cm_20um_rec_voi_0056.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 582, 616
Total number of images, 891
Total Z-position range, 40, 930
Number of images inside VOI, 891
Z-position range of VOI, 40, 930
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 09:02:23 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/03/20 09:02:24 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 09:02:24 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1491 speckles removed
[ 12/03/20 09:02:26 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:02:26 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 09:02:29 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:03:06 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_13-11cm_20um\2s16_13-11cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_13-11cm_20um_rec_voi_0930.bmp,19.14999,56,152.01092,24.85545,16.35109,49.31283,185.09435,7.44683,0.44385,0.75175,-0.64703,39,17,9.69525,6.27323,28.06094,117.46023,127.15548,77.27091,83.64891,,,,,,,,,,,,28.80647,0.54175,0.26857,1.37395,0.60882,1.48497,0.00000,
2s16_13-11cm_20um_rec_voi_0929.bmp,19.12940,56,152.01092,25.29275,16.63877,49.31283,187.30081,7.40532,0.45166,0.75833,0.92801,37,19,5.95070,6.09735,19.04623,120.76747,126.71817,79.44657,83.36123,,,,,,,,,,,,29.93802,0.52383,0.27008,1.35310,0.61608,1.48351,0.00000,
2s16_13-11cm_20um_rec_voi_0928.bmp,19.10880,59,152.01092,25.73080,16.92694,49.31283,189.82431,7.37732,0.43612,0.74517,-0.82353,46,13,6.06942,4.99834,19.08610,120.21070,126.28012,79.08030,83.07306,,,,,,,,,,,,30.43907,0.51013,0.27110,1.33049,0.62438,1.48946,0.00000,
2s16_13-11cm_20um_rec_voi_0927.bmp,19.08821,60,152.01092,26.13605,17.19353,49.31283,189.60961,7.25472,0.43560,0.74473,-0.40243,43,17,9.93693,4.01696,27.54674,115.93795,125.87488,76.26948,82.80647,,,,,,,,,,,,30.33612,0.50099,0.27568,1.32773,0.62367,1.49048,0.04118,
2s16_13-11cm_20um_rec_voi_0926.bmp,19.06762,63,152.01092,26.39893,17.36647,49.31283,190.97985,7.23438,0.41903,0.73043,-0.76252,46,17,6.16572,4.73332,18.93379,119.44627,125.61199,78.57743,82.63353,,,,,,,,,,,,29.90696,0.48630,0.27646,1.31545,0.62818,1.49231,0.08237,
2s16_13-11cm_20um_rec_voi_0925.bmp,19.04703,66,152.01092,26.59991,17.49868,49.31283,191.93826,7.21575,0.40303,0.71635,-1.83269,51,15,8.14000,14.95451,23.43126,117.27102,125.41101,77.14644,82.50132,,,,,,,,,,,,29.46337,0.46699,0.27717,1.30678,0.63133,1.49604,0.10296,
2s16_13-11cm_20um_rec_voi_0924.bmp,19.02644,62,152.01092,26.91023,17.70282,49.31283,194.20295,7.21670,0.43404,0.74339,-1.49185,44,18,7.20406,10.78199,21.11743,117.89664,125.10070,77.55800,82.29718,,,,,,,,,,,,27.85885,0.44487,0.27714,1.28835,0.63878,1.49683,0.10296,
2s16_13-11cm_20um_rec_voi_0923.bmp,19.00585,61,152.01092,27.05439,17.79766,49.31283,196.29621,7.25561,0.44351,0.75147,-0.95422,42,19,5.89436,5.65762,17.88948,119.06217,124.95653,78.32475,82.20234,,,,,,,,,,,,25.34830,0.42097,0.27565,1.27314,0.64566,1.50003,0.12355,
