
<<<<< Begin of task (aa6c0eb8-77ba-4b93-9641-130f68e6f559) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_17-15cm_20um\2s16_17-15cm_20um_Rec\VOI\2s16_17-15cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 612, 588
Total number of images, 1021
Total Z-position range, 50, 1070
Number of images inside VOI, 1021
Z-position range of VOI, 50, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 09:03:25 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 09:03:26 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 09:03:26 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2127 speckles removed
[ 12/03/20 09:03:29 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:03:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 09:03:32 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:04:18 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:46
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_17-15cm_20um\2s16_17-15cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_17-15cm_20um_rec_voi_1070.bmp,22.03278,64,152.58079,34.26073,22.45416,49.39520,249.45671,7.28113,0.53532,0.82559,0.19383,46,18,6.40629,-1.21299,15.75304,111.91377,118.32006,73.34722,77.54584,,,,,,,,,,,,147.05485,0.36895,0.27468,0.94862,0.81746,1.61151,0.02059,
2s16_17-15cm_20um_rec_voi_1069.bmp,22.01219,66,152.58079,34.13914,22.37447,49.39520,248.83191,7.28876,0.51726,0.81154,-0.10840,50,16,6.37624,0.72053,15.73783,112.06540,118.44164,73.44660,77.62553,,,,,,,,,,,,146.65663,0.37278,0.27440,0.95198,0.81541,1.60515,0.02059,
2s16_17-15cm_20um_rec_voi_1068.bmp,21.99160,69,152.58079,34.12012,22.36200,49.39520,249.29577,7.30642,0.49449,0.79348,0.21706,53,16,6.60187,-1.40427,16.21204,111.85880,118.46067,73.31120,77.63800,,,,,,,,,,,,146.00471,0.37197,0.27373,0.95036,0.81693,1.60851,0.02059,
2s16_17-15cm_20um_rec_voi_1067.bmp,21.97101,70,152.58079,34.22612,22.43147,49.39520,251.49137,7.34794,0.48894,0.78901,0.20286,54,16,6.74576,-1.33982,16.46437,111.60891,118.35467,73.14742,77.56853,,,,,,,,,,,,145.73856,0.36604,0.27219,0.94122,0.82413,1.61083,0.04118,
2s16_17-15cm_20um_rec_voi_1066.bmp,21.95042,71,152.58079,34.29682,22.47781,49.39520,249.15223,7.26459,0.48305,0.78425,-0.50550,52,19,6.73389,3.42204,16.41183,111.55008,118.28397,73.10886,77.52219,,,,,,,,,,,,145.99604,0.35512,0.27531,0.94949,0.81646,1.60293,0.02059,
2s16_17-15cm_20um_rec_voi_1065.bmp,21.92982,73,152.58079,34.43838,22.57059,49.39520,247.84059,7.19664,0.47176,0.77502,-0.89080,54,19,7.85353,7.05748,18.56981,110.28887,118.14240,72.28228,77.42941,,,,,,,,,,,,147.19431,0.34416,0.27791,0.95337,0.81216,1.60478,0.04118,
2s16_17-15cm_20um_rec_voi_1064.bmp,21.90923,69,152.58079,34.55271,22.64552,49.39520,248.57103,7.19397,0.50076,0.79849,-1.80563,48,21,10.00249,18.11474,22.44966,108.02559,118.02808,70.79894,77.35448,,,,,,,,,,,,147.91850,0.33952,0.27801,0.94965,0.81456,1.60525,0.04118,
2s16_17-15cm_20um_rec_voi_1063.bmp,21.88864,60,152.58079,34.72872,22.76088,49.39520,246.29806,7.09206,0.57881,0.85847,-1.17439,37,23,6.98305,8.22059,16.74119,110.86902,117.85206,72.66250,77.23912,,,,,,,,,,,,148.62025,0.33388,0.28201,0.95699,0.80711,1.60464,0.04118,
