
<<<<< Begin of task (56032c30-f143-4901-b94a-1fc716c9b60f) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_19-17cm_20um\2s16_19-17cm_20um_Rec\VOI\2s16_19-17cm_20um_rec_voi_0141.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 590, 563
Total number of images, 941
Total Z-position range, 140, 1080
Number of images inside VOI, 941
Z-position range of VOI, 140, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 11:23:02 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/03/20 11:23:02 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 11:23:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
827 speckles removed
[ 12/03/20 11:23:05 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:23:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 11:23:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:23:42 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:34
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_19-17cm_20um\2s16_19-17cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_19-17cm_20um_rec_voi_1080.bmp,22.23870,48,140.84178,30.37891,21.56953,47.45961,197.34748,6.49620,0.63289,0.89768,-2.16593,32,16,6.25439,13.54658,17.07297,104.20848,110.46287,73.98975,78.43047,,,,,,,,,,,,105.48121,0.28198,0.30787,1.11948,0.70060,1.50999,0.00000,
2s16_19-17cm_20um_rec_voi_1079.bmp,22.21810,47,140.84178,30.39682,21.58225,47.45961,200.71498,6.60316,0.64674,0.90744,-1.18171,34,13,6.48092,7.65866,17.57407,103.96404,110.44496,73.81619,78.41775,,,,,,,,,,,,109.80618,0.27960,0.30289,1.10052,0.71255,1.50741,0.00000,
2s16_19-17cm_20um_rec_voi_1078.bmp,22.19751,49,140.84178,30.38755,21.57566,47.45961,203.87156,6.70905,0.62015,0.88860,-0.15425,38,11,4.65081,6.49647,13.27347,105.80343,110.45423,75.12219,78.42434,,,,,,,,,,,,116.01434,0.28306,0.29810,1.08357,0.72376,1.50687,0.00000,
2s16_19-17cm_20um_rec_voi_1077.bmp,22.17692,54,140.84178,30.29760,21.51180,47.45961,204.94610,6.76443,0.56107,0.84521,-0.21030,43,11,7.60845,1.60015,20.07187,102.93572,110.54418,73.08607,78.48820,,,,,,,,,,,,120.23988,0.29470,0.29566,1.07876,0.72758,1.51026,0.00000,
2s16_19-17cm_20um_rec_voi_1076.bmp,22.15633,55,140.84178,30.14141,21.40090,47.45961,204.23343,6.77584,0.54803,0.83533,0.49671,40,15,6.04721,1.80592,16.71026,104.65316,110.70037,74.30548,78.59910,,,,,,,,,,,,123.67585,0.30313,0.29517,1.08406,0.72505,1.50915,0.00000,
2s16_19-17cm_20um_rec_voi_1075.bmp,22.13574,57,140.84178,30.04839,21.33486,47.45961,204.48017,6.80503,0.52716,0.81927,-0.69322,42,15,7.03191,4.87479,18.96401,103.76147,110.79339,73.67237,78.66514,,,,,,,,,,,,127.26458,0.30835,0.29390,1.08366,0.72592,1.50789,0.00000,
2s16_19-17cm_20um_rec_voi_1074.bmp,22.11515,52,140.84178,29.97250,21.28097,47.45961,205.42566,6.85381,0.57639,0.85667,-1.43108,33,19,0.41908,9.73684,1.37892,110.45021,110.86928,78.42148,78.71903,,,,,,,,,,,,131.72438,0.31621,0.29181,1.07941,0.72928,1.50899,0.00000,
2s16_19-17cm_20um_rec_voi_1073.bmp,22.09456,48,140.84178,29.95188,21.26633,47.45961,206.26066,6.88640,0.62400,0.89135,-0.64243,28,20,6.28683,4.03892,17.34838,104.60307,110.88990,74.26991,78.73367,,,,,,,,,,,,137.19638,0.31958,0.29043,1.07524,0.73224,1.51033,0.00000,
