
<<<<< Begin of task (4bddf653-9a2f-4323-b0a4-6709321aeedb) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_20-18cm_20um\2s16_20-18cm_20um_Rec\VOI\2s16_20-18cm_20um_rec_voi_0070.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 551, 563
Total number of images, 1041
Total Z-position range, 40, 1080
Number of images inside VOI, 1041
Z-position range of VOI, 40, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 11:37:11 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/03/20 11:37:12 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 11:37:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1399 speckles removed
[ 12/03/20 11:37:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:37:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 11:37:17 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:37:54 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_20-18cm_20um\2s16_20-18cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_20-18cm_20um_rec_voi_1080.bmp,22.23870,71,131.53190,31.18664,23.71032,45.85348,244.58479,7.84262,0.43925,0.74784,-1.14535,47,24,6.44048,7.37730,17.11659,93.90478,100.34526,71.39316,76.28968,,,,,,,,,,,,112.77325,0.41692,0.25502,0.82054,0.92975,1.60172,0.00000,
2s16_20-18cm_20um_rec_voi_1079.bmp,22.21810,75,131.53190,31.15054,23.68288,45.85348,244.25033,7.84097,0.41534,0.72721,-1.05545,49,26,6.44567,6.80367,17.14447,93.93568,100.38136,71.41666,76.31712,,,,,,,,,,,,114.80043,0.41480,0.25507,0.82195,0.92848,1.59868,0.00000,
2s16_20-18cm_20um_rec_voi_1078.bmp,22.19751,72,131.53190,31.15229,23.68421,45.85348,248.15164,7.96576,0.43267,0.74222,-0.96007,48,24,6.45187,6.19506,17.15734,93.92773,100.37961,71.41061,76.31579,,,,,,,,,,,,117.08320,0.41595,0.25107,0.80902,0.94331,1.60199,0.00000,
2s16_20-18cm_20um_rec_voi_1077.bmp,22.17692,68,131.53190,31.14577,23.67925,45.85348,248.22244,7.96970,0.45803,0.76366,-0.90118,43,25,6.47281,5.83355,17.20641,93.91332,100.38613,71.39965,76.32075,,,,,,,,,,,,118.86221,0.41948,0.25095,0.80884,0.94358,1.60167,0.00000,
2s16_20-18cm_20um_rec_voi_1076.bmp,22.15633,69,131.53190,31.16157,23.69126,45.85348,248.32065,7.96881,0.45162,0.75830,-0.96127,43,26,6.56551,6.31154,17.40264,93.80483,100.37033,71.31717,76.30874,,,,,,,,,,,,119.50480,0.42046,0.25098,0.80839,0.94396,1.60349,0.00000,
2s16_20-18cm_20um_rec_voi_1075.bmp,22.13574,67,131.53190,31.14106,23.67567,45.85348,248.87466,7.99185,0.46479,0.76928,-0.31769,50,17,6.43454,2.04424,17.12426,93.95630,100.39084,71.43233,76.32433,,,,,,,,,,,,120.35340,0.42001,0.25025,0.80676,0.94606,1.60039,0.00000,
2s16_20-18cm_20um_rec_voi_1074.bmp,22.11515,65,131.53190,31.11429,23.65532,45.85348,246.07044,7.90860,0.47868,0.78069,-0.47582,48,17,6.41965,3.05468,17.10359,93.99796,100.41761,71.46400,76.34468,,,,,,,,,,,,120.70012,0.41836,0.25289,0.81617,0.93540,1.59547,0.00000,
2s16_20-18cm_20um_rec_voi_1073.bmp,22.09456,62,131.53190,31.16602,23.69465,45.85348,244.85152,7.85636,0.50268,0.80002,-0.58342,44,18,6.34614,3.70275,16.91755,94.01974,100.36588,71.48056,76.30535,,,,,,,,,,,,121.04349,0.41079,0.25457,0.81981,0.93077,1.59598,0.00000,
