
<<<<< Begin of task (680e206e-72a6-4721-b4bc-b6381a45bc56) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_28-26cm_20um\2s16_28-26cm_20um_Rec\VOI\2s16_28-26cm_20um_rec_voi_0072.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 547, 568
Total number of images, 901
Total Z-position range, 40, 940
Number of images inside VOI, 901
Z-position range of VOI, 40, 940
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 11:51:44 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 11:51:45 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 11:51:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
981 speckles removed
[ 12/03/20 11:51:47 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:51:47 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 11:51:49 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:52:21 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_28-26cm_20um\2s16_28-26cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_28-26cm_20um_rec_voi_0940.bmp,19.35590,50,131.73669,19.60313,14.88054,45.89466,152.56307,7.78259,0.39206,0.70653,0.04808,39,11,5.63190,-0.27078,22.31778,106.50166,112.13356,80.84434,85.11946,,,,,,,,,,,,160.78527,0.46649,0.25698,1.47000,0.57905,1.45546,0.00000,
2s16_28-26cm_20um_rec_voi_0939.bmp,19.33531,56,131.73669,19.95665,15.14889,45.89466,155.55114,7.79445,0.35637,0.67360,-0.10341,43,13,6.02252,0.62282,23.18210,105.75753,111.78005,80.27948,84.85111,,,,,,,,,,,,158.21417,0.48128,0.25659,1.43721,0.59039,1.46115,0.00000,
2s16_28-26cm_20um_rec_voi_0938.bmp,19.31472,53,131.73669,20.44107,15.51661,45.89466,158.23145,7.74086,0.38568,0.70076,-0.04600,43,10,4.53860,0.20878,18.16918,106.75702,111.29562,81.03818,84.48339,,,,,,,,,,,,156.01468,0.49895,0.25837,1.40674,0.60056,1.47157,0.00000,
2s16_28-26cm_20um_rec_voi_0937.bmp,19.29413,62,131.73669,20.92418,15.88333,45.89466,161.46626,7.71673,0.33749,0.65552,2.16485,53,9,4.93637,-10.68674,19.08843,105.87615,110.81252,80.36952,84.11667,,,,,,,,,,,,154.41540,0.51413,0.25918,1.37258,0.61284,1.46779,0.00000,
2s16_28-26cm_20um_rec_voi_0936.bmp,19.27354,61,131.73669,21.51026,16.32822,45.89466,166.53225,7.74199,0.35263,0.67006,-0.09411,53,8,4.78675,0.45052,18.20265,105.43968,110.22644,80.03820,83.67178,,,,,,,,,,,,153.72802,0.52660,0.25833,1.32378,0.63206,1.47857,0.00000,
2s16_28-26cm_20um_rec_voi_0935.bmp,19.25294,60,131.73669,22.05049,16.73831,45.89466,170.15062,7.71641,0.36751,0.68405,0.05648,52,8,5.65496,-0.31938,20.41099,104.03125,109.68620,78.96907,83.26169,,,,,,,,,,,,152.88416,0.53890,0.25919,1.28928,0.64580,1.48332,0.00000,
2s16_28-26cm_20um_rec_voi_0934.bmp,19.23235,59,131.73669,22.62216,17.17225,45.89466,174.84475,7.72892,0.38343,0.69871,0.47463,52,7,6.09677,-2.89391,21.22910,103.01777,109.11454,78.19975,82.82775,,,,,,,,,,,,152.28627,0.55592,0.25877,1.24813,0.66361,1.49634,0.00000,
2s16_28-26cm_20um_rec_voi_0933.bmp,19.21176,66,131.73669,23.18794,17.60173,45.89466,179.12912,7.72510,0.35133,0.66883,0.21075,60,6,6.06264,-1.27779,20.72656,102.48612,108.54876,77.79618,82.39827,,,,,,,,,,,,151.39821,0.57031,0.25890,1.21196,0.67988,1.49464,0.00000,
