
<<<<< Begin of task (82541d5c-b6c8-4d5d-a8da-08eea36ac6ec) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_30-28cm_20um\2s16_30-28cm_20um_Rec\VOI\2s16_30-28cm_20um_rec_voi_0416.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 554, 542
Total number of images, 681
Total Z-position range, 400, 1080
Number of images inside VOI, 681
Z-position range of VOI, 400, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 11:45:49 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 11:45:50 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 11:45:50 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
826 speckles removed
[ 12/03/20 11:45:53 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:45:53 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 11:45:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:46:38 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_30-28cm_20um\2s16_30-28cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_30-28cm_20um_rec_voi_1080.bmp,22.23870,89,127.31517,37.50018,29.45460,45.11219,279.59345,7.45579,0.42135,0.73245,-1.01738,68,21,6.75806,6.87604,15.26961,83.05693,89.81499,65.23726,70.54540,,,,,,,,,,,,120.42662,0.40609,0.26825,0.64247,1.09804,1.65035,0.00000,
2s16_30-28cm_20um_rec_voi_1079.bmp,22.21810,88,127.31517,37.42301,29.39399,45.11219,278.86215,7.45162,0.42526,0.73584,-0.21937,67,21,7.12276,1.56261,15.98975,82.76940,89.89216,65.01142,70.60601,,,,,,,,,,,,120.03198,0.39986,0.26840,0.64471,1.09516,1.64900,0.00000,
2s16_30-28cm_20um_rec_voi_1078.bmp,22.19751,91,127.31517,37.12753,29.16191,45.11219,278.93831,7.51298,0.40799,0.72075,-0.82665,70,21,6.55496,5.41930,15.00592,83.63268,90.18764,65.68948,70.83809,,,,,,,,,,,,119.60556,0.39112,0.26621,0.64665,1.09546,1.64478,0.00000,
2s16_30-28cm_20um_rec_voi_1077.bmp,22.17692,99,127.31517,36.79760,28.90276,45.11219,275.45055,7.48556,0.37169,0.68793,-0.05334,76,23,7.15191,0.41070,16.27301,83.36566,90.51757,65.47975,71.09724,,,,,,,,,,,,118.55576,0.37521,0.26718,0.65723,1.08177,1.61914,0.00000,
2s16_30-28cm_20um_rec_voi_1076.bmp,22.15633,95,127.31517,36.61454,28.75898,45.11219,278.06848,7.59448,0.38542,0.70052,-0.36987,76,19,7.26310,2.71623,16.55308,83.43753,90.70063,65.53620,71.24102,,,,,,,,,,,,115.59658,0.36004,0.26335,0.65236,1.09205,1.64172,0.00000,
2s16_30-28cm_20um_rec_voi_1075.bmp,22.13574,97,127.31517,36.44584,28.62647,45.11219,278.42070,7.63930,0.37573,0.69166,0.39033,79,18,7.81929,-3.05229,17.66467,83.05004,90.86933,65.23185,71.37353,,,,,,,,,,,,110.51085,0.33962,0.26180,0.65275,1.09343,1.64121,0.00000,
2s16_30-28cm_20um_rec_voi_1074.bmp,22.11515,94,127.31517,36.24571,28.46928,45.11219,278.44240,7.68208,0.38559,0.70068,-0.57410,70,24,7.31181,4.19795,16.78656,83.75765,91.06946,65.78765,71.53072,,,,,,,,,,,,106.12867,0.32140,0.26035,0.65414,1.09352,1.64043,0.00000,
2s16_30-28cm_20um_rec_voi_1073.bmp,22.09456,90,127.31517,36.09789,28.35317,45.11219,276.64535,7.66375,0.40109,0.71462,-0.82498,65,25,6.69695,5.52493,15.64896,84.52033,91.21728,66.38669,71.64683,,,,,,,,,,,,102.55536,0.30932,0.26097,0.65945,1.08646,1.63890,0.00000,
