
<<<<< Begin of task (d527dc6c-3403-419e-a026-4f0bfda76855) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_32-30cm_20um\2s16_32-30cm_20um_Rec\VOI\2s16_32-30cm_20um_rec_voi_0057.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 575, 542
Total number of images, 1041
Total Z-position range, 40, 1080
Number of images inside VOI, 1041
Z-position range of VOI, 40, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 11:34:46 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 11:34:47 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 11:34:47 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2682 speckles removed
[ 12/03/20 11:34:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:34:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 11:34:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 11:35:57 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:02
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\34-17\2s16_32-30cm_20um\2s16_32-30cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_32-30cm_20um_rec_voi_1080.bmp,22.23870,72,132.14120,29.52952,22.34694,45.97703,209.81909,7.10540,0.41013,0.72263,0.70128,50,22,5.73743,6.47920,16.26856,96.87425,102.61168,73.31117,77.65306,,,,,,,,,,,,26.60365,0.42727,0.28148,0.97810,0.79392,1.53623,0.18532,
2s16_32-30cm_20um_rec_voi_1079.bmp,22.21810,67,132.14120,29.40338,22.25148,45.97703,209.77326,7.13433,0.43886,0.74751,-1.06584,51,16,6.60881,7.06711,18.35159,96.12901,102.73782,72.74719,77.74852,,,,,,,,,,,,27.47421,0.43261,0.28033,0.97951,0.79375,1.53341,0.18532,
2s16_32-30cm_20um_rec_voi_1078.bmp,22.19751,70,132.14120,29.40528,22.25293,45.97703,209.90145,7.13822,0.42008,0.73134,-1.24801,54,16,6.61930,8.28554,18.37440,96.11661,102.73591,72.73781,77.74707,,,,,,,,,,,,28.06590,0.43681,0.28018,0.97890,0.79423,1.53471,0.18532,
2s16_32-30cm_20um_rec_voi_1077.bmp,22.17692,68,132.14120,29.36034,22.21892,45.97703,211.49980,7.20359,0.43177,0.74145,-1.80316,45,23,7.04331,12.72722,19.34781,95.73755,102.78085,72.45095,77.78108,,,,,,,,,,,,27.85853,0.43688,0.27764,0.97192,0.80028,1.53563,0.18532,
2s16_32-30cm_20um_rec_voi_1076.bmp,22.15633,69,132.14120,29.37168,22.22750,45.97703,215.18142,7.32615,0.42568,0.73620,-0.09074,49,20,7.65176,0.71184,20.66733,95.11776,102.76951,71.98191,77.77250,,,,,,,,,,,,27.81062,0.43864,0.27299,0.95519,0.81421,1.54208,0.18532,
2s16_32-30cm_20um_rec_voi_1075.bmp,22.13574,63,132.14120,29.29849,22.17211,45.97703,215.62408,7.35956,0.46506,0.76950,-0.42767,44,19,7.72596,3.32341,20.86718,95.11675,102.84271,71.98115,77.82789,,,,,,,,,,,,27.48180,0.44045,0.27176,0.95391,0.81589,1.54173,0.18532,
2s16_32-30cm_20um_rec_voi_1074.bmp,22.11515,65,132.14120,29.29504,22.16950,45.97703,215.45385,7.35462,0.45069,0.75752,-0.73359,51,14,6.02760,4.44283,17.06442,96.81855,102.84615,73.26901,77.83050,,,,,,,,,,,,26.96701,0.44271,0.27194,0.95469,0.81524,1.54248,0.18532,
2s16_32-30cm_20um_rec_voi_1073.bmp,22.09456,63,132.14120,29.26674,22.14808,45.97703,213.62304,7.29917,0.46455,0.76908,-0.12575,43,20,6.08951,9.23224,17.22329,96.78495,102.87445,73.24358,77.85192,,,,,,,,,,,,26.51093,0.43991,0.27400,0.96314,0.80831,1.54279,0.18532,
