
<<<<< Begin of task (2fc7a37e-9ace-44cf-ac09-eb62cf4ac0df) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_34-32cm_20um\2s16_34-32cm_20um_Rec\VOI\2s16_34-32cm_20um_rec_voi_0161.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 568, 595
Total number of images, 911
Total Z-position range, 160, 1070
Number of images inside VOI, 911
Z-position range of VOI, 160, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 14:57:27 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/03/20 14:57:28 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 14:57:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1533 speckles removed
[ 12/03/20 14:57:32 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 14:57:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 14:57:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 14:58:19 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_34-32cm_20um\2s16_34-32cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_34-32cm_20um_rec_voi_1070.bmp,22.03278,71,143.29677,28.73075,20.04982,47.87144,223.09209,7.76492,0.40466,0.71779,-1.74616,46,25,6.85579,11.97129,19.26513,107.71023,114.56602,75.16585,79.95018,,,,,,,,,,,,130.18623,0.31335,0.25757,1.02707,0.77843,1.57416,0.00000,
2s16_34-32cm_20um_rec_voi_1069.bmp,22.01219,70,143.29677,28.90104,20.16866,47.87144,223.30835,7.72666,0.41287,0.72504,-1.20897,47,23,6.97987,8.43871,19.45287,107.41587,114.39573,74.96042,79.83134,,,,,,,,,,,,127.69988,0.31759,0.25884,1.02455,0.77918,1.57472,0.00000,
2s16_34-32cm_20um_rec_voi_1068.bmp,21.99160,73,143.29677,28.98250,20.22551,47.87144,223.51805,7.71217,0.39702,0.71099,-1.28328,49,24,7.98386,10.24555,21.59763,106.33041,114.31427,74.20294,79.77449,,,,,,,,,,,,126.58719,0.32317,0.25933,1.02286,0.77991,1.57787,0.00000,
2s16_34-32cm_20um_rec_voi_1067.bmp,21.97101,72,143.29677,29.16482,20.35274,47.87144,223.87870,7.67633,0.40507,0.71816,-0.75135,47,25,8.21685,6.17380,21.98096,105.91510,114.13195,73.91311,79.64726,,,,,,,,,,,,127.36886,0.33752,0.26054,1.01959,0.78117,1.57698,0.00000,
2s16_34-32cm_20um_rec_voi_1066.bmp,21.95042,68,143.29677,29.33792,20.47354,47.87144,222.96561,7.59991,0.43144,0.74117,-0.61087,46,22,7.58243,4.63198,20.53727,106.37642,113.95885,74.23504,79.52646,,,,,,,,,,,,129.29143,0.34977,0.26316,1.02221,0.77799,1.57881,0.00000,
2s16_34-32cm_20um_rec_voi_1065.bmp,21.92982,68,143.29677,29.38117,20.50372,47.87144,223.48878,7.60653,0.43208,0.74171,-1.03034,48,20,7.71090,7.94487,20.78855,106.20470,113.91560,74.11521,79.49628,,,,,,,,,,,,128.48060,0.35807,0.26293,1.01943,0.77981,1.58018,0.00000,
2s16_34-32cm_20um_rec_voi_1064.bmp,21.90923,68,143.29677,29.43640,20.54226,47.87144,224.47060,7.62561,0.43289,0.74241,-0.90722,50,18,7.77700,7.05555,20.89838,106.08338,113.86037,74.03054,79.45774,,,,,,,,,,,,128.19673,0.36604,0.26227,1.01448,0.78324,1.57289,0.00000,
2s16_34-32cm_20um_rec_voi_1063.bmp,21.88864,76,143.29677,29.42002,20.53083,47.87144,226.17358,7.68774,0.38711,0.70205,1.59313,56,20,9.06597,-14.44357,23.55655,104.81078,113.87675,73.14246,79.46917,,,,,,,,,,,,127.25858,0.37579,0.26015,1.00699,0.78918,1.57315,0.00000,
