
<<<<< Begin of task (80df2245-601c-4bbc-8d5a-00bec11b7760) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_36-34cm_20um\2s16_36-34cm_20um_Rec\VOI\2s16_36-34cm_20um_rec_voi_0056.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 605, 563
Total number of images, 1051
Total Z-position range, 40, 1090
Number of images inside VOI, 1051
Z-position range of VOI, 40, 1090
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:55:19 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 15:55:21 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:55:21 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1212 speckles removed
[ 12/03/20 15:55:25 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:55:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:55:29 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:56:15 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:46
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_36-34cm_20um\2s16_36-34cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_36-34cm_20um_rec_voi_1090.bmp,22.44461,40,144.42250,26.25827,18.18156,48.07735,179.13255,6.82195,0.65646,0.91424,-0.28055,18,22,4.80541,12.78224,15.46954,113.35883,118.16424,78.49111,81.81844,,,,,,,,,,,,165.72651,0.40121,0.29317,1.31929,0.62017,1.49510,0.00000,
2s16_36-34cm_20um_rec_voi_1089.bmp,22.42402,36,144.42250,26.60632,18.42256,48.07735,180.09231,6.76878,0.73906,0.97005,-0.50823,10,26,4.02270,14.76194,13.13361,113.79349,117.81618,78.79207,81.57744,,,,,,,,,,,,166.83731,0.39873,0.29547,1.30840,0.62349,1.49907,0.00000,
2s16_36-34cm_20um_rec_voi_1088.bmp,22.40343,36,144.42250,26.80725,18.56168,48.07735,180.64147,6.73853,0.74465,0.97371,-0.00570,12,24,3.50080,13.84628,11.55072,114.11446,117.61526,79.01432,81.43832,,,,,,,,,,,,167.22957,0.39734,0.29680,1.30220,0.62539,1.50368,0.00000,
2s16_36-34cm_20um_rec_voi_1087.bmp,22.38284,39,144.42250,26.96736,18.67255,48.07735,180.88064,6.70739,0.69147,0.93830,-3.28669,16,23,6.14786,20.20749,18.56506,111.30728,117.45514,77.07059,81.32745,,,,,,,,,,,,167.11802,0.39427,0.29818,1.29870,0.62622,1.50587,0.00000,
2s16_36-34cm_20um_rec_voi_1086.bmp,22.36224,40,144.42250,27.17147,18.81387,48.07735,181.27627,6.67157,0.67929,0.93000,-2.47118,16,24,6.06110,14.97885,18.23844,111.18994,117.25104,76.98934,81.18613,,,,,,,,,,,,168.54277,0.39854,0.29978,1.29362,0.62759,1.39180,0.00000,
2s16_36-34cm_20um_rec_voi_1085.bmp,22.34165,35,144.42250,27.41336,18.98136,48.07735,180.77208,6.59431,0.78324,0.99862,-2.03931,12,23,4.79184,9.77246,14.87909,112.21730,117.00914,77.70070,81.01864,,,,,,,,,,,,169.72244,0.40027,0.30329,1.29455,0.62584,1.50921,0.00000,
2s16_36-34cm_20um_rec_voi_1084.bmp,22.32106,34,144.42250,27.52811,19.06082,48.07735,181.19476,6.58217,0.80965,1.01532,-0.49669,9,25,4.89419,13.27850,15.09512,112.00021,116.89440,77.55039,80.93918,,,,,,,,,,,,170.36890,0.40591,0.30385,1.29026,0.62731,1.51220,0.00000,
2s16_36-34cm_20um_rec_voi_1083.bmp,22.30047,38,144.42250,27.55509,19.07950,48.07735,181.37327,6.58221,0.72513,0.96087,-0.19252,14,24,4.91162,12.21688,15.12818,111.95580,116.86742,77.51963,80.92050,,,,,,,,,,,,172.51748,0.41283,0.30385,1.28870,0.62793,1.51271,0.00000,
