
<<<<< Begin of task (1c4fc5d3-db59-4d2f-aea6-cc867479aff7) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_37-35cm_20um\2s16_37-35cm_20um_Rec\VOI\2s16_37-35cm_20um_rec_voi_0056.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 617, 597
Total number of images, 861
Total Z-position range, 40, 900
Number of images inside VOI, 861
Z-position range of VOI, 40, 900
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:11:11 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/03/20 15:11:11 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:11:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
994 speckles removed
[ 12/03/20 15:11:14 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:11:14 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:11:16 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:11:52 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_37-35cm_20um\2s16_37-35cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_37-35cm_20um_rec_voi_0900.bmp,18.53225,32,156.18186,20.11390,12.87851,49.97176,134.74099,6.69890,0.62856,0.89460,0.43498,28,4,3.47112,1.97949,14.71747,132.59684,136.06796,84.89900,87.12149,,,,,,,,,,,,155.94601,0.79288,0.29856,2.01970,0.43136,1.43009,0.00000,
2s16_37-35cm_20um_rec_voi_0899.bmp,18.51165,33,156.18186,20.30741,13.00241,49.97176,136.33384,6.71350,0.61538,0.88517,0.79498,23,10,6.91271,-3.67118,25.39560,128.96174,135.87445,82.57152,86.99759,,,,,,,,,,,,156.55600,0.79187,0.29791,1.99326,0.43646,1.43409,0.00000,
2s16_37-35cm_20um_rec_voi_0898.bmp,18.49106,34,156.18186,20.44033,13.08752,49.97176,136.41035,6.67359,0.60119,0.87490,0.81895,27,7,6.90026,-4.70161,25.23815,128.84127,135.74153,82.49439,86.91248,,,,,,,,,,,,157.08190,0.79104,0.29969,1.99019,0.43670,1.43716,0.00000,
2s16_37-35cm_20um_rec_voi_0897.bmp,18.47047,34,156.18186,20.59027,13.18352,49.97176,136.88713,6.64815,0.60560,0.87811,0.88354,28,6,7.45666,-6.92084,26.58637,128.13493,135.59159,82.04213,86.81648,,,,,,,,,,,,157.64693,0.79056,0.30084,1.98107,0.43823,1.43351,0.00000,
2s16_37-35cm_20um_rec_voi_0896.bmp,18.44988,33,156.18186,20.73942,13.27902,49.97176,138.59682,6.68277,0.62847,0.89453,1.38924,23,10,8.17196,-15.87163,28.26554,127.27049,135.44245,81.48865,86.72098,,,,,,,,,,,,158.26141,0.78974,0.29928,1.95448,0.44370,1.42944,0.00000,
2s16_37-35cm_20um_rec_voi_0895.bmp,18.42929,34,156.18186,20.89672,13.37974,49.97176,140.42642,6.72002,0.61461,0.88462,0.39213,21,13,3.71110,3.27372,15.08099,131.57404,135.28514,84.24412,86.62026,,,,,,,,,,,,159.13901,0.78714,0.29762,1.92678,0.44956,1.43006,0.00000,
2s16_37-35cm_20um_rec_voi_0894.bmp,18.40870,34,156.18186,21.05737,13.48259,49.97176,141.18099,6.70459,0.61933,0.88801,0.19599,18,16,3.69674,4.61362,14.93385,131.42775,135.12450,84.15046,86.51741,,,,,,,,,,,,159.93101,0.78470,0.29830,1.91420,0.45198,1.42576,0.00000,
2s16_37-35cm_20um_rec_voi_0893.bmp,18.38811,32,156.18186,21.25039,13.60619,49.97176,143.28595,6.74274,0.66407,0.91953,0.28834,10,22,3.70628,5.80086,14.85086,131.22519,134.93147,84.02076,86.39381,,,,,,,,,,,,160.63704,0.78272,0.29662,1.88339,0.45872,1.43018,0.00000,
