
<<<<< Begin of task (7656de72-6a50-4228-a3cb-ee4bdbf6c935) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_39-37cm_20um\2s16_39-37cm_20um_Rec\VOI\2s16_39-37cm_20um_rec_voi_0431.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 575, 559
Total number of images, 681
Total Z-position range, 400, 1080
Number of images inside VOI, 681
Z-position range of VOI, 400, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:45:30 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 15:45:31 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:45:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1011 speckles removed
[ 12/03/20 15:45:33 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:45:33 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:45:36 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:46:00 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:24
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_39-37cm_20um\2s16_39-37cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_39-37cm_20um_rec_voi_1080.bmp,22.23870,72,136.28585,30.73793,22.55402,46.67714,218.84426,7.11968,0.42692,0.73727,-1.03290,48,24,8.18144,8.45127,21.02152,97.36647,105.54791,71.44283,77.44598,,,,,,,,,,,,55.86816,0.29581,0.28091,0.96459,0.80289,1.53306,0.00000,
2s16_39-37cm_20um_rec_voi_1079.bmp,22.21810,70,136.28585,30.83461,22.62495,46.67714,220.08681,7.13766,0.44049,0.74890,-0.70563,41,29,8.73027,6.16053,22.06570,96.72097,105.45124,70.96920,77.37505,,,,,,,,,,,,57.69380,0.31912,0.28020,0.95827,0.80745,1.53588,0.00000,
2s16_39-37cm_20um_rec_voi_1078.bmp,22.19751,69,136.28585,30.85284,22.63833,46.67714,218.65783,7.08712,0.44714,0.75453,-1.99915,41,28,8.53347,17.09188,21.66609,96.89953,105.43301,71.10022,77.36167,,,,,,,,,,,,58.99205,0.33715,0.28220,0.96437,0.80220,1.53529,0.00000,
2s16_39-37cm_20um_rec_voi_1077.bmp,22.17692,73,136.28585,30.84526,22.63277,46.67714,219.55350,7.11790,0.42254,0.73348,-1.86126,46,27,8.49579,15.84605,21.59523,96.94480,105.44059,71.13343,77.36723,,,,,,,,,,,,60.87142,0.35494,0.28098,0.96050,0.80549,1.53209,0.02059,
2s16_39-37cm_20um_rec_voi_1076.bmp,22.15633,70,136.28585,30.91363,22.68294,46.67714,218.87045,7.08006,0.44162,0.74986,-2.00070,45,25,9.79945,19.63965,24.06953,95.57277,105.37221,70.12670,77.31706,,,,,,,,,,,,61.66581,0.36871,0.28248,0.96287,0.80298,1.53343,0.04118,
2s16_39-37cm_20um_rec_voi_1075.bmp,22.13574,66,136.28585,31.03076,22.76888,46.67714,220.80312,7.11562,0.47016,0.77371,-2.09618,43,23,9.51012,19.96947,23.45809,95.74497,105.25508,70.25305,77.23112,,,,,,,,,,,,61.51882,0.37268,0.28107,0.95338,0.81007,1.53741,0.06177,
2s16_39-37cm_20um_rec_voi_1074.bmp,22.11515,74,136.28585,31.09908,22.81901,46.67714,224.77458,7.22769,0.42026,0.73150,-1.83008,52,22,8.42917,15.46112,21.32442,96.75760,105.18677,70.99607,77.18099,,,,,,,,,,,,60.09529,0.37221,0.27671,0.93593,0.82464,1.54384,0.06177,
2s16_39-37cm_20um_rec_voi_1073.bmp,22.09456,70,136.28585,31.14879,22.85549,46.67714,227.66787,7.30904,0.44498,0.75271,-2.22527,55,15,9.62046,21.44377,23.59735,95.51659,105.13705,70.08548,77.14451,,,,,,,,,,,,57.78372,0.36674,0.27363,0.92360,0.83526,1.54871,0.06177,
