
<<<<< Begin of task (991036ce-ea01-40d2-89d4-9b2f4df18bf0) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_4-2cm_20um\2s16_4-2cm_20um_Rec\VOI\2s16_4-2cm_20um_rec_voi_0195.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 564, 585
Total number of images, 891
Total Z-position range, 180, 1070
Number of images inside VOI, 891
Z-position range of VOI, 180, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 08:49:30 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/03/20 08:49:31 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 08:49:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3292 speckles removed
[ 12/03/20 08:49:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 08:49:35 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 08:49:38 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 08:50:21 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_4-2cm_20um\2s16_4-2cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_4-2cm_20um_rec_voi_1070.bmp,22.03278,150,139.89625,22.82897,16.31850,47.29488,272.21659,11.92418,0.15219,0.44020,1.31985,136,14,7.09392,-9.36375,23.70735,109.97336,117.06728,78.61066,83.68150,,,,,,,,,,,,154.20681,0.50488,0.16773,0.86010,0.97292,1.58357,0.00000,
2s16_4-2cm_20um_rec_voi_1069.bmp,22.01219,155,139.89625,22.95405,16.40791,47.29488,274.92395,11.97715,0.14809,0.43423,1.77581,140,15,7.07415,-12.53689,23.55837,109.86805,116.94220,78.53538,83.59209,,,,,,,,,,,,153.44985,0.49951,0.16698,0.85072,0.98260,1.60106,0.00000,
2s16_4-2cm_20um_rec_voi_1068.bmp,21.99160,163,139.89625,23.06842,16.48966,47.29488,276.63950,11.99213,0.14152,0.42449,1.50055,149,14,7.07426,-10.60251,23.46925,109.75357,116.82783,78.45354,83.51034,,,,,,,,,,,,152.16558,0.49701,0.16678,0.84462,0.98873,1.60227,0.02059,
2s16_4-2cm_20um_rec_voi_1067.bmp,21.97101,154,139.89625,23.25604,16.62378,47.29488,275.90699,11.86388,0.15101,0.43849,1.02032,139,15,7.16325,-7.29411,23.54837,109.47696,116.64020,78.25582,83.37622,,,,,,,,,,,,151.02824,0.50155,0.16858,0.84550,0.98611,1.59958,0.02059,
2s16_4-2cm_20um_rec_voi_1066.bmp,21.95042,145,139.89625,23.37996,16.71236,47.29488,273.39555,11.69358,0.16124,0.45310,1.59094,135,10,7.00944,-11.13874,23.06541,109.50685,116.51629,78.27719,83.28764,,,,,,,,,,,,150.38109,0.50384,0.17103,0.85236,0.97714,1.59748,0.04118,
2s16_4-2cm_20um_rec_voi_1065.bmp,21.92982,148,139.89625,23.59726,16.86769,47.29488,272.88137,11.56411,0.15944,0.45056,1.19695,134,14,7.01988,-8.38985,22.92794,109.27910,116.29899,78.11439,83.13231,,,,,,,,,,,,149.45409,0.49992,0.17295,0.85238,0.97530,1.59491,0.06177,
2s16_4-2cm_20um_rec_voi_1064.bmp,21.90923,137,139.89625,23.84536,17.04503,47.29488,271.68328,11.39355,0.17405,0.47076,0.76245,118,19,7.07638,-5.38058,22.88481,108.97451,116.05089,77.89666,82.95497,,,,,,,,,,,,147.67284,0.49063,0.17554,0.85431,0.97102,1.59167,0.06177,
2s16_4-2cm_20um_rec_voi_1063.bmp,21.88864,142,139.89625,24.08270,17.21468,47.29488,273.02626,11.33703,0.16960,0.46469,0.88503,127,15,6.99412,-6.17547,22.50592,108.81943,115.81355,77.78581,82.78532,,,,,,,,,,,,145.09804,0.47594,0.17641,0.84837,0.97582,1.59293,0.04118,
