
<<<<< Begin of task (f0ab02d1-6f9b-4207-896a-b6fa08d15deb) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_41-39cm_20um\2s16_41-39cm_20um_Rec\VOI\2s16_41-39cm_20um_rec_voi_0056.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 558, 570
Total number of images, 1041
Total Z-position range, 40, 1080
Number of images inside VOI, 1041
Z-position range of VOI, 40, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:29:40 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/03/20 15:29:41 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:29:41 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1279 speckles removed
[ 12/03/20 15:29:45 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:29:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:29:48 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:30:20 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_41-39cm_20um\2s16_41-39cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_41-39cm_20um_rec_voi_1080.bmp,22.23870,51,134.85907,23.49646,17.42297,46.43004,172.77612,7.35328,0.46071,0.76590,2.12836,38,13,6.13986,-13.04693,20.71735,105.22275,111.36261,78.02423,82.57703,,,,,,,,,,,,67.59919,0.46100,0.27199,1.28910,0.64058,1.41969,0.10296,
2s16_41-39cm_20um_rec_voi_1079.bmp,22.21810,52,134.85907,23.47541,17.40737,46.43004,171.18327,7.29202,0.45145,0.75816,0.79005,41,11,5.42334,-4.25759,18.76670,105.96031,111.38365,78.57114,82.59263,,,,,,,,,,,,67.40518,0.46935,0.27427,1.30134,0.63467,1.41724,0.02059,
2s16_41-39cm_20um_rec_voi_1078.bmp,22.19751,47,134.85907,23.39242,17.34582,46.43004,169.41362,7.24225,0.49771,0.79606,-2.51382,31,16,7.31070,18.41180,23.81093,104.15596,111.46665,77.23319,82.65418,,,,,,,,,,,,67.90719,0.48273,0.27616,1.31591,0.62811,1.41541,0.00000,
2s16_41-39cm_20um_rec_voi_1077.bmp,22.17692,45,134.85907,23.27104,17.25582,46.43004,168.06579,7.22210,0.51713,0.81144,-2.72683,31,14,6.50938,17.78734,21.85791,105.07864,111.58802,77.91737,82.74418,,,,,,,,,,,,68.06202,0.49115,0.27693,1.32791,0.62312,1.41391,0.06177,
2s16_41-39cm_20um_rec_voi_1076.bmp,22.15633,50,134.85907,23.20273,17.20517,46.43004,168.02840,7.24175,0.46405,0.76867,-2.69177,37,13,8.53581,23.00493,26.89414,103.12054,111.65634,76.46541,82.79483,,,,,,,,,,,,67.64814,0.48902,0.27618,1.32902,0.62298,1.41395,0.10296,
2s16_41-39cm_20um_rec_voi_1075.bmp,22.13574,48,134.85907,23.06530,17.10326,46.43004,168.44108,7.30279,0.48053,0.78219,-1.55653,34,14,7.82920,12.21040,25.34173,103.96457,111.79377,77.09127,82.89674,,,,,,,,,,,,66.93587,0.48315,0.27387,1.32739,0.62451,1.41411,0.12355,
2s16_41-39cm_20um_rec_voi_1074.bmp,22.11515,50,134.85907,22.95437,17.02100,46.43004,167.72720,7.30698,0.45909,0.76454,-3.06377,37,13,7.56727,23.21862,24.79314,104.33743,111.90470,77.36775,82.97900,,,,,,,,,,,,66.38541,0.47333,0.27371,1.33437,0.62186,1.41129,0.16473,
2s16_41-39cm_20um_rec_voi_1073.bmp,22.09456,51,134.85907,22.87184,16.95981,46.43004,166.73674,7.29004,0.44847,0.75565,-0.72288,39,12,7.89858,5.73093,25.66939,104.08865,111.98722,77.18328,83.04019,,,,,,,,,,,,66.18756,0.46347,0.27435,1.34328,0.61819,1.41230,0.18532,
